"BottomBalanced2.champName","BottomBalanced2.winRate.x","BottomBalanced2.gamesPlayed.x","BottomBalanced2.gamesWon.x","BottomBalanced2.winRate.y","BottomBalanced2.gamesPlayed.y","BottomBalanced2.gamesWon.y"
"Aphelios",0.4898,1212748,594004,0.498,1812269,902510
"Corki",0.4668,18385,8582,0.4759,26392,12560
"Draven",0.4882,791828,386570,0.4907,741765,363984
"Ezreal",0.4743,1991035,944348,0.4859,3331315,1618686
"Jinx",0.5163,2341277,1208801,0.5152,2506533,1291366
"Miss Fortune",0.529,3776223,1997622,0.5215,4169396,2174340
"Senna",0.5332,1512542,806487,0.5228,1251409,654237
"Ziggs",0.5231,47991,25104,0.529,59884,31679
