"BottomBalanced7.champName","BottomBalanced7.winRate.x","BottomBalanced7.gamesPlayed.x","BottomBalanced7.gamesWon.x","BottomBalanced7.winRate.y","BottomBalanced7.gamesPlayed.y","BottomBalanced7.gamesWon.y"
"Aphelios",0.4778,1231603,588460,0.4689,1022782,479582
"Ashe",0.5081,2410230,1224638,0.513,3120031,1600576
"Corki",0.4797,30745,14748,0.4833,37698,18219
"Kalista",0.4974,872147,433806,0.4886,640593,312994
"Tristana",0.4852,1570698,762103,0.4918,1960815,964329
"Varus",0.5054,1958261,989705,0.5012,1925574,965098
"Xayah",0.4705,871104,409854,0.4841,1199376,580618
