"BottomBalanced9.champName","BottomBalanced9.winRate.x","BottomBalanced9.gamesPlayed.x","BottomBalanced9.gamesWon.x","BottomBalanced9.winRate.y","BottomBalanced9.gamesPlayed.y","BottomBalanced9.gamesWon.y"
"Miss Fortune",0.5197,4251910,2209718,0.5095,3059513,1558822
"Quinn",0.4939,52325,25843,0.5007,39640,19848
"Sivir",0.5011,618972,310167,0.5078,738817,375171
