"BottomBalanced8.champName","BottomBalanced8.winRate.x","BottomBalanced8.gamesPlayed.x","BottomBalanced8.gamesWon.x","BottomBalanced8.winRate.y","BottomBalanced8.gamesPlayed.y","BottomBalanced8.gamesWon.y"
"Aphelios",0.4689,1022782,479582,0.477,1191781,568480
"Ashe",0.513,3120031,1600576,0.5103,2864736,1461875
"Kalista",0.4886,640593,312994,0.489,601027,293902
"Quinn",0.4831,45606,22032,0.4939,52325,25843
"Tristana",0.4918,1960815,964329,0.4909,1694893,832023
"Varus",0.5012,1925574,965098,0.505,2204016,1113028
"Xayah",0.4841,1199376,580618,0.4826,976498,471258
