"BottomBalanced5.champName","BottomBalanced5.winRate.x","BottomBalanced5.gamesPlayed.x","BottomBalanced5.gamesWon.x","BottomBalanced5.winRate.y","BottomBalanced5.gamesPlayed.y","BottomBalanced5.gamesWon.y"
"Aphelios",0.487,1444792,703614,0.4729,1049278,496204
"Draven",0.4887,663052,324034,0.4993,868971,433877
"Kai'Sa",0.4668,2863411,1336640,0.4703,2777516,1306266
"Senna",0.5237,559725,293128,0.4954,293145,145224
"Sivir",0.5074,662406,336105,0.5062,639108,323516
"Veigar",0.5252,106812,56098,0.5371,129513,69561
