"TopBalanced2.champName","TopBalanced2.winRate.x","TopBalanced2.gamesPlayed.x","TopBalanced2.gamesWon.x","TopBalanced2.winRate.y","TopBalanced2.gamesPlayed.y","TopBalanced2.gamesWon.y"
"Akali",0.4626,537804,248788,0.4237,313412,132793
"Karma",0.4905,57558,28232,0.4921,64337,31660
"Malphite",0.5151,704123,362694,0.515,811536,417941
"Rumble",0.4925,302078,148773,0.4815,291880,140540
"Sett",0.5542,2512043,1392174,0.5173,2227783,1152432
"Trundle",0.4937,145938,72050,0.4987,168613,84087
"Viktor",0.4965,26355,13085,0.4954,36036,17852
