"TopBalanced12.champName","TopBalanced12.winRate.x","TopBalanced12.gamesPlayed.x","TopBalanced12.gamesWon.x","TopBalanced12.winRate.y","TopBalanced12.gamesPlayed.y","TopBalanced12.gamesWon.y"
"Akali",0.4648,375464,174516,0.4631,357889,165738
"Cassiopeia",0.5107,94456,48239,0.5038,84969,42807
"Fiddlesticks",0.5099,162315,82764,0.5113,184949,94564
"Gnar",0.4883,434662,212245,0.4891,544011,266076
"Ornn",0.5007,757160,379110,0.4997,732927,366244
"Ryze",0.4649,125087,58153,0.4695,137715,64657
"Trundle",0.4858,102754,49918,0.4866,95870,46650
"Volibear",0.51,970077,494739,0.5119,1151704,589557
"Yasuo",0.4857,398013,193315,0.4833,394447,190636
"Yorick",0.5215,403474,210412,0.5175,536957,277875
