"TopBalanced11.champName","TopBalanced11.winRate.x","TopBalanced11.gamesPlayed.x","TopBalanced11.gamesWon.x","TopBalanced11.winRate.y","TopBalanced11.gamesPlayed.y","TopBalanced11.gamesWon.y"
"Akali",0.4534,283212,128408,0.4648,375464,174516
"Cassiopeia",0.5182,85542,44328,0.5107,94456,48239
"Fiddlesticks",0.5244,149995,78657,0.5099,162315,82764
"Gangplank",0.4716,420451,198285,0.4696,375601,176382
"Hecarim",0.5015,97135,48713,0.4987,95236,47494
"Trundle",0.4982,121620,60591,0.4858,102754,49918
"Vayne",0.4976,365484,181865,0.4946,390313,193049
"Volibear",0.4356,931338,405691,0.51,970077,494739
"Yasuo",0.4944,374365,185086,0.4857,398013,193315
