"TopBalanced4.champName","TopBalanced4.winRate.x","TopBalanced4.gamesPlayed.x","TopBalanced4.gamesWon.x","TopBalanced4.winRate.y","TopBalanced4.gamesPlayed.y","TopBalanced4.gamesWon.y"
"Garen",0.5351,2295078,1228096,0.5424,3382714,1834784
"Gnar",0.4836,456418,220724,0.4896,449246,219951
"Jayce",0.4756,168567,80170,0.4737,186907,88538
"Lissandra",0.4744,22649,10745,0.4823,31835,15354
"Neeko",0.4924,36014,17733,0.5032,106572,53627
"Ornn",0.5251,2021037,1061247,0.4959,1384212,686431
"Sett",0.5185,1958495,1015480,0.5016,1931294,968737
"Singed",0.5191,383561,199107,0.5169,377490,195125
"Sylas",0.4755,349314,166099,0.474,433298,205383
"Udyr",0.4397,28878,12698,0.4407,26407,11638
