"TopBalanced13.champName","TopBalanced13.winRate.x","TopBalanced13.gamesPlayed.x","TopBalanced13.gamesWon.x","TopBalanced13.winRate.y","TopBalanced13.gamesPlayed.y","TopBalanced13.gamesWon.y"
"Cassiopeia",0.5038,84969,42807,0.5081,79453,40370
"Gnar",0.4891,544011,266076,0.4884,461972,225627
"Ornn",0.4997,732927,366244,0.4994,697655,348409
"Riven",0.4773,483273,230666,0.4891,670385,327885
"Ryze",0.4695,137715,64657,0.4709,130059,61245
"Trundle",0.4866,95870,46650,0.4808,81593,39230
"Volibear",0.5119,1151704,589557,0.5037,924984,465914
"Wukong",0.518,800551,414685,0.5045,690407,348310
"Yorick",0.5175,536957,277875,0.5196,488072,253602
