"TopBalanced8.champName","TopBalanced8.winRate.x","TopBalanced8.gamesPlayed.x","TopBalanced8.gamesWon.x","TopBalanced8.winRate.y","TopBalanced8.gamesPlayed.y","TopBalanced8.gamesWon.y"
"Gnar",0.4877,510758,249097,0.4915,600066,294932
"Kalista",0.457,67253,30735,0.4623,67913,31396
"Lissandra",0.4798,29540,14173,0.4855,38434,18660
"Quinn",0.4994,322475,161044,0.511,458290,234186
"Ryze",0.4603,206353,94984,0.4647,201210,93502
"Sett",0.4945,1701127,841207,0.4972,1566813,779019
"Trundle",0.5035,230673,116144,0.4967,196231,97468
"Urgot",0.534,1006151,537285,0.5331,1069759,570289
"Wukong",0.5297,841171,445568,0.5161,575485,297008
