"TopBalanced5.champName","TopBalanced5.winRate.x","TopBalanced5.gamesPlayed.x","TopBalanced5.gamesWon.x","TopBalanced5.winRate.y","TopBalanced5.gamesPlayed.y","TopBalanced5.gamesWon.y"
"Darius",0.514,2280171,1172008,0.4938,2121996,1047842
"Garen",0.5424,3382714,1834784,0.5305,3131137,1661068
"Lissandra",0.4823,31835,15354,0.4853,28496,13829
"Neeko",0.5032,106572,53627,0.51,71891,36664
"Ornn",0.4959,1384212,686431,0.4931,1118447,551506
"Ryze",0.4496,292137,131345,0.4531,308152,139624
"Sett",0.5016,1931294,968737,0.5018,1944230,975615
"Urgot",0.5101,501172,255648,0.5117,703910,360191
"Wukong",0.4981,74229,36973,0.5438,1162162,631984
