"TopBalanced3.champName","TopBalanced3.winRate.x","TopBalanced3.gamesPlayed.x","TopBalanced3.gamesWon.x","TopBalanced3.winRate.y","TopBalanced3.gamesPlayed.y","TopBalanced3.gamesWon.y"
"Akali",0.4237,313412,132793,0.4353,238541,103837
"Garen",0.5115,1895858,969731,0.5351,2295078,1228096
"Gnar",0.4856,397667,193107,0.4836,456418,220724
"Jayce",0.4564,147892,67498,0.4756,168567,80170
"Malphite",0.515,811536,417941,0.5144,810235,416785
"Rumble",0.4815,291880,140540,0.4809,234308,112679
"Sett",0.5173,2227783,1152432,0.5185,1958495,1015480
"Singed",0.5384,471836,254037,0.5191,383561,199107
"Sona",0.5693,384580,218941,0.5162,85478,44124
"Sylas",0.4814,251487,121066,0.4755,349314,166099
"Udyr",0.4389,27588,12108,0.4397,28878,12698
