"TopBalanced6.champName","TopBalanced6.winRate.x","TopBalanced6.gamesPlayed.x","TopBalanced6.gamesWon.x","TopBalanced6.winRate.y","TopBalanced6.gamesPlayed.y","TopBalanced6.gamesWon.y"
"Akali",0.4462,295480,131843,0.4497,387719,174357
"Darius",0.4938,2121996,1047842,0.4981,2180145,1085930
"Garen",0.5305,3131137,1661068,0.5159,2821079,1455395
"Nasus",0.5077,1422818,722365,0.5273,2007566,1058590
"Riven",0.4769,625266,298189,0.4835,726285,351159
"Ryze",0.4531,308152,139624,0.451,275521,124260
"Urgot",0.5117,703910,360191,0.4992,688326,343612
"Wukong",0.5438,1162162,631984,0.5246,915536,480290
