"TopBalanced9.champName","TopBalanced9.winRate.x","TopBalanced9.gamesPlayed.x","TopBalanced9.gamesWon.x","TopBalanced9.winRate.y","TopBalanced9.gamesPlayed.y","TopBalanced9.gamesWon.y"
"Gnar",0.4915,600066,294932,0.4895,475253,232636
"Irelia",0.4583,960412,440157,0.4631,1009319,467416
"Kled",0.5207,499229,259949,0.5175,382478,197932
"Maokai",0.5279,1117926,590153,0.5166,816649,421881
"Quinn",0.511,458290,234186,0.5139,386821,198787
"Trundle",0.4967,196231,97468,0.4943,157805,78003
"Udyr",0.4399,27369,12040,0.451,39513,17820
"Wukong",0.5161,575485,297008,0.5175,530250,274404
