"SupportMerged13.champName","SupportMerged13.winRate.x","SupportMerged13.gamesPlayed.x","SupportMerged13.gamesWon.x","SupportMerged13.winRate.y","SupportMerged13.gamesPlayed.y","SupportMerged13.gamesWon.y","SupportMerged13.HOlessequal","SupportMerged13.HOgreaterequal","SupportMerged13.HOequal"
"Anivia",0.4528,31481,14255,0.4517,32195,14542,0.6125,0.3875,0.775
"Annie",0.4831,56358,27227,0.4843,56636,27429,0.3438,0.6562,0.6877
"Bard",0.5149,716871,369117,0.5136,709865,364587,0.9398,0.0602,0.1204
"Blitzcrank",0.5136,1640245,842430,0.5131,1549891,795249,0.8141,0.1859,0.3717
"Brand",0.5252,875385,459752,0.5262,854784,449787,0.094,0.906,0.1879
"Braum",0.4861,505004,245482,0.4884,475505,232237,0.0113,0.9887,0.0227
"Fiddlesticks",0.4873,93072,45354,0.4907,84239,41336,0.0764,0.9236,0.1528
"Galio",0.5143,253227,130235,0.5127,240067,123082,0.8699,0.1301,0.2603
"Janna",0.5222,611165,319150,0.5204,596182,310253,0.9761,0.0239,0.0478
"Karma",0.4998,999188,499394,0.4966,1059826,526310,1,0,0
"Leona",0.5085,1634095,830937,0.5089,1601248,814875,0.2358,0.7642,0.4717
"Lulu",0.5144,1592030,818940,0.5154,1707980,880293,0.0346,0.9654,0.0693
"Lux",0.5041,1759432,886930,0.5025,1763294,886055,0.9987,0.0013,0.0027
"Malphite",0.4885,495466,242035,0.4879,482181,235256,0.7235,0.2765,0.553
"Maokai",0.5224,213634,111602,0.5226,215695,112722,0.4476,0.5524,0.8952
"Morgana",0.4946,1684408,833108,0.4948,1655895,819337,0.3572,0.6428,0.7144
"Nami",0.5154,844992,435509,0.5127,788548,404289,0.9997,3e-04,6e-04
"Nautilus",0.5015,1823337,914404,0.4999,1791998,895820,0.9988,0.0012,0.0023
"Neeko",0.4846,134801,65325,0.4835,143194,69234,0.72,0.28,0.56
"Pantheon",0.4956,161256,79918,0.4994,232989,116355,0.0094,0.9906,0.0188
"Poppy",0.4786,57199,27375,0.4827,53489,25819,0.086,0.914,0.1719
"Senna",0.5004,2096722,1049200,0.4999,1885711,942667,0.8405,0.1595,0.3189
"Sett",0.4793,512769,245770,0.4811,531682,255792,0.0328,0.9672,0.0657
"Shaco",0.5246,183811,96427,0.5228,200361,104749,0.8674,0.1326,0.2652
"Shen",0.4881,136957,66849,0.4889,132427,64744,0.3387,0.6613,0.6775
"Sion",0.4962,26478,13138,0.5028,27658,13906,0.0624,0.9376,0.1248
"Sona",0.525,578750,303844,0.5237,567357,297125,0.9183,0.0817,0.1635
"Soraka",0.5182,1099262,569638,0.5176,1077451,557689,0.8121,0.1879,0.3757
"Swain",0.5219,565485,295127,0.5207,574693,299243,0.9002,0.0998,0.1997
"Tahm Kench",0.4488,121919,54717,0.4516,116468,52597,0.0846,0.9154,0.1692
"Taliyah",0.4988,14716,7340,0.5076,14298,7258,0.0659,0.9341,0.1319
"Taric",0.5224,329994,172389,0.5231,336810,176185,0.284,0.716,0.5679
"Thresh",0.4876,2386919,1163862,0.4863,2426165,1179844,0.9978,0.0022,0.0043
"Veigar",0.4827,178175,86005,0.4814,175834,84646,0.7809,0.2191,0.4381
"Vel'Koz",0.5157,411625,212275,0.512,410011,209926,0.9996,4e-04,8e-04
"Xerath",0.5075,425544,215964,0.5075,418561,212420,0.5001,0.4999,0.9998
"Ziggs",0.4886,38789,18952,0.4862,38373,18657,0.7468,0.2532,0.5065
"Zilean",0.5189,416772,216263,0.5153,398617,205407,0.9994,6e-04,0.0011
"Zyra",0.518,657587,340630,0.518,670061,347092,0.4997,0.5003,0.9994
