"SupportMerged9.champName","SupportMerged9.winRate.x","SupportMerged9.gamesPlayed.x","SupportMerged9.gamesWon.x","SupportMerged9.winRate.y","SupportMerged9.gamesPlayed.y","SupportMerged9.gamesWon.y","SupportMerged9.HOlessequal","SupportMerged9.HOgreaterequal","SupportMerged9.HOequal"
"Alistar",0.5046,781929,394561,0.504,689437,347476,0.7662,0.2338,0.4677
"Anivia",0.4427,42238,18699,0.4533,36677,16626,0.0014,0.9986,0.0028
"Blitzcrank",0.5149,2209749,1137800,0.5152,1949201,1004228,0.2708,0.7292,0.5417
"Brand",0.5233,1110441,581094,0.5227,977578,510980,0.8069,0.1931,0.3862
"Braum",0.4852,781460,379164,0.4846,660824,320235,0.7637,0.2363,0.4726
"Galio",0.5083,300207,152595,0.5124,268649,137656,0.001,0.999,0.002
"Ivern",0.4488,10645,4777,0.4485,10989,4929,0.5127,0.4873,0.9745
"Janna",0.5242,895243,469286,0.5232,841246,440140,0.9062,0.0938,0.1875
"Karma",0.4968,823896,409312,0.4958,762114,377856,0.896,0.104,0.2079
"Leona",0.5082,2410932,1225236,0.508,2092433,1062956,0.6641,0.3359,0.6718
"Lulu",0.5103,1637432,835582,0.509,1528882,778201,0.9896,0.0104,0.0207
"Lux",0.4893,2105600,1030270,0.4885,1786870,872886,0.9422,0.0578,0.1156
"Malphite",0.4931,509573,251270,0.4936,418988,206812,0.3159,0.6841,0.6317
"Morgana",0.4954,2452065,1214753,0.494,2068456,1021817,0.9985,0.0015,0.003
"Nautilus",0.5015,2348190,1177617,0.501,2067013,1035574,0.8526,0.1474,0.2948
"Neeko",0.4851,178239,86464,0.4845,152237,73759,0.6347,0.3653,0.7307
"Pantheon",0.4854,101069,49059,0.4904,116653,57207,0.0099,0.9901,0.0199
"Poppy",0.4832,74342,35922,0.4814,69594,33503,0.7518,0.2482,0.4964
"Pyke",0.4887,1824141,891458,0.4896,1571696,769502,0.0491,0.9509,0.0982
"Rakan",0.4858,732280,355742,0.4864,622565,302816,0.2431,0.7569,0.4861
"Senna",0.496,1581264,784307,0.4956,1405889,696759,0.7548,0.2452,0.4904
"Sett",0.4837,487613,235858,0.4827,442789,213734,0.8324,0.1676,0.3352
"Shaco",0.5288,225425,119205,0.528,193318,102072,0.6976,0.3024,0.6049
"Shen",0.4874,175099,85343,0.4871,159538,77711,0.5685,0.4315,0.8631
"Sion",0.5013,41539,20824,0.5036,34282,17264,0.2664,0.7336,0.5328
"Sona",0.5245,771426,404613,0.5217,668468,348740,0.9996,4e-04,8e-04
"Swain",0.5225,734472,383762,0.5187,658496,341562,1,0,0
"Tahm Kench",0.4516,158298,71487,0.4504,129776,58451,0.7399,0.2601,0.5201
"Taliyah",0.4975,14162,7046,0.4959,12670,6283,0.6053,0.3947,0.7894
"Thresh",0.4871,3275640,1595564,0.4874,2840000,1384216,0.2295,0.7705,0.459
"Veigar",0.483,272999,131859,0.484,223935,108385,0.2413,0.7587,0.4826
"Vel'Koz",0.5158,527401,272033,0.5141,446413,229501,0.9527,0.0473,0.0946
"Volibear",0.4943,103197,51010,0.4949,81214,40193,0.3982,0.6018,0.7964
"Xerath",0.511,590009,301495,0.5091,500183,254643,0.9761,0.0239,0.0479
"Yuumi",0.4959,2303339,1142226,0.4965,2147317,1066143,0.1029,0.8971,0.2059
"Ziggs",0.4914,50983,25053,0.4917,44891,22073,0.4627,0.5373,0.9254
"Zilean",0.5173,583132,301654,0.5148,508295,261670,0.9954,0.0046,0.0091
"Zyra",0.5207,894626,465832,0.5184,760764,394380,0.9984,0.0016,0.0032
