"SupportMerged7.champName","SupportMerged7.winRate.x","SupportMerged7.gamesPlayed.x","SupportMerged7.gamesWon.x","SupportMerged7.winRate.y","SupportMerged7.gamesPlayed.y","SupportMerged7.gamesWon.y","SupportMerged7.HOlessequal","SupportMerged7.HOgreaterequal","SupportMerged7.HOequal"
"Alistar",0.5045,815048,411192,0.5043,837891,422548,0.6019,0.3981,0.7962
"Anivia",0.4517,44006,19878,0.4548,42385,19277,0.1804,0.8196,0.3608
"Annie",0.4646,70988,32981,0.4671,71550,33421,0.172,0.828,0.3441
"Bard",0.5135,697613,358224,0.5135,787232,404244,0.4996,0.5004,0.9992
"Blitzcrank",0.5162,2265937,1169677,0.5153,2236809,1152628,0.972,0.028,0.056
"Brand",0.524,1159614,607638,0.5242,1146630,601063,0.3809,0.6191,0.7618
"Braum",0.484,846586,409748,0.4835,835967,404190,0.742,0.258,0.516
"Janna",0.5226,862158,450564,0.5231,864222,452075,0.2553,0.7447,0.5105
"Karma",0.4947,776676,384222,0.4958,786433,389913,0.0847,0.9153,0.1695
"Leona",0.5087,2590551,1317813,0.5077,2528984,1283965,0.9882,0.0118,0.0237
"Lulu",0.506,1320609,668228,0.5081,1517501,771042,2e-04,0.9998,4e-04
"Lux",0.4939,2384583,1177746,0.4912,2207011,1084084,1,0,0
"Malphite",0.4916,515816,253575,0.4917,522564,256945,0.4591,0.5409,0.9182
"Maokai",0.5259,334229,175771,0.5259,365521,192227,0.5004,0.4996,0.9992
"Morgana",0.498,2464543,1227342,0.4964,2600204,1290741,0.9998,2e-04,3e-04
"Nami",0.5328,1591017,847694,0.5338,1583064,845040,0.0371,0.9629,0.0741
"Nautilus",0.5016,2493536,1250758,0.4998,2430767,1214897,1,0,1e-04
"Neeko",0.4896,174999,85680,0.4884,176664,86283,0.7619,0.2381,0.4762
"Pantheon",0.4849,92839,45018,0.4825,90279,43560,0.8479,0.1521,0.3043
"Poppy",0.4797,71570,34332,0.4792,73825,35377,0.5753,0.4247,0.8495
"Pyke",0.4902,1962830,962179,0.4875,1872679,912931,1,0,0
"Rakan",0.4825,747886,360855,0.486,818958,398014,0,1,0
"Shaco",0.5275,236060,124522,0.5286,226003,119465,0.2275,0.7725,0.455
"Shen",0.4872,182966,89141,0.4885,180153,88005,0.2164,0.7836,0.4327
"Sion",0.5059,41205,20846,0.5045,42340,21361,0.657,0.343,0.6861
"Sona",0.5227,762582,398602,0.5221,755759,394582,0.7704,0.2296,0.4591
"Swain",0.5229,743423,388736,0.5228,759873,397262,0.5487,0.4513,0.9027
"Tahm Kench",0.4478,191781,85880,0.4468,169981,75948,0.7269,0.2731,0.5462
"Taliyah",0.5054,14818,7489,0.4955,14762,7315,0.9552,0.0448,0.0896
"Taric",0.526,627480,330054,0.5272,611205,322227,0.0905,0.9095,0.181
"Thresh",0.4869,3315745,1614436,0.4851,3300425,1601036,1,0,0
"Veigar",0.4842,285750,138360,0.483,285866,138073,0.8181,0.1819,0.3638
"Vel'Koz",0.517,523639,270721,0.5161,528999,273016,0.8222,0.1778,0.3555
"Volibear",0.4979,102586,51078,0.4926,103335,50903,0.9919,0.0081,0.0161
"Xerath",0.5126,608693,312016,0.5103,606883,309692,0.9944,0.0056,0.0112
"Yuumi",0.4892,1773629,867659,0.4915,2044259,1004753,0,1,0
"Ziggs",0.4938,49786,24584,0.4923,50612,24916,0.6826,0.3174,0.6348
"Zilean",0.5169,589435,304679,0.5174,598176,309496,0.293,0.707,0.586
"Zyra",0.5174,807672,417889,0.5174,976208,505090,0.4997,0.5003,0.9994
