"SupportMerged4.champName","SupportMerged4.winRate.x","SupportMerged4.gamesPlayed.x","SupportMerged4.gamesWon.x","SupportMerged4.winRate.y","SupportMerged4.gamesPlayed.y","SupportMerged4.gamesWon.y","SupportMerged4.HOlessequal","SupportMerged4.HOgreaterequal","SupportMerged4.HOequal"
"Anivia",0.4483,42473,19041,0.4585,44907,20590,0.0012,0.9988,0.0025
"Annie",0.4636,59727,27689,0.4711,66943,31537,0.0037,0.9963,0.0075
"Brand",0.5216,916861,478235,0.5227,1045005,546224,0.062,0.938,0.124
"Braum",0.484,671830,325166,0.4851,709142,344005,0.0981,0.9019,0.1961
"Fiddlesticks",0.4923,297369,146395,0.4897,350870,171821,0.9816,0.0184,0.0369
"Galio",0.4769,134135,63969,0.4821,149408,72030,0.0028,0.9972,0.0056
"Ivern",0.434,7917,3436,0.4268,9437,4028,0.8291,0.1709,0.3418
"Janna",0.5247,654643,343491,0.5219,815474,425596,0.9996,4e-04,7e-04
"Karma",0.497,568129,282360,0.498,669484,333403,0.1337,0.8663,0.2675
"Leona",0.5086,2130608,1083627,0.509,2277133,1159061,0.2005,0.7995,0.4009
"Lulu",0.511,890917,455259,0.5082,1039848,528451,0.9999,1e-04,1e-04
"Malphite",0.4917,373249,183527,0.4901,438733,215023,0.9249,0.0751,0.1503
"Maokai",0.5266,153606,80889,0.5255,213312,112095,0.7453,0.2547,0.5093
"Morgana",0.4902,1914586,938530,0.4867,2101492,1022796,1,0,0
"Nami",0.5351,1340349,717221,0.5309,1423575,755776,1,0,0
"Nautilus",0.5024,2179492,1094977,0.5029,2348031,1180825,0.1439,0.8561,0.2877
"Poppy",0.4811,58493,28141,0.4828,69915,33755,0.2718,0.7282,0.5437
"Pyke",0.4892,1752602,857373,0.488,1914110,934086,0.9892,0.0108,0.0217
"Rakan",0.4928,670827,330584,0.487,690141,336099,1,0,0
"Senna",0.5084,2017159,1025524,0.5153,2577532,1328202,0,1,0
"Shaco",0.5234,236520,123795,0.5246,272157,142774,0.1964,0.8036,0.3928
"Shen",0.4843,141477,68517,0.4865,168455,81953,0.1111,0.8889,0.2222
"Sion",0.4945,28864,14273,0.502,34225,17181,0.0301,0.9699,0.0602
"Swain",0.5199,638026,331710,0.5206,692842,360694,0.2096,0.7904,0.4192
"Tahm Kench",0.4449,139518,62072,0.4514,188494,85086,1e-04,0.9999,2e-04
"Taliyah",0.4961,18593,9224,0.5021,17761,8918,0.126,0.874,0.2519
"Taric",0.5277,400300,211238,0.5266,492838,259528,0.8498,0.1502,0.3003
"Thresh",0.4908,2735012,1342344,0.4864,2970969,1445079,1,0,0
"Veigar",0.4775,230246,109942,0.4803,251543,120816,0.0259,0.9741,0.0518
"Vel'Koz",0.5074,428587,217465,0.511,480541,245556,3e-04,0.9997,6e-04
"Volibear",0.498,63210,31479,0.4972,95150,47309,0.6227,0.3773,0.7545
"Xerath",0.5007,404193,202379,0.5006,458765,229658,0.5363,0.4637,0.9273
"Yuumi",0.4881,1263070,616504,0.4903,1704854,835890,1e-04,0.9999,2e-04
"Ziggs",0.4898,45724,22396,0.493,52045,25658,0.1599,0.8401,0.3198
"Zilean",0.5196,420549,218517,0.5205,503843,262250,0.1942,0.8058,0.3884
"Zyra",0.5153,636076,327770,0.5154,697957,359727,0.4541,0.5459,0.9082
