"SupportMerged6.champName","SupportMerged6.winRate.x","SupportMerged6.gamesPlayed.x","SupportMerged6.gamesWon.x","SupportMerged6.winRate.y","SupportMerged6.gamesPlayed.y","SupportMerged6.gamesWon.y","SupportMerged6.HOlessequal","SupportMerged6.HOgreaterequal","SupportMerged6.HOequal"
"Alistar",0.5039,765491,385731,0.5045,815048,411192,0.2253,0.7747,0.4507
"Annie",0.467,71799,33530,0.4646,70988,32981,0.8182,0.1818,0.3636
"Bard",0.5113,642562,328542,0.5135,697613,358224,0.0055,0.9945,0.0109
"Blitzcrank",0.5149,2260014,1163681,0.5162,2265937,1169677,0.0028,0.9972,0.0056
"Brand",0.5232,1147268,600251,0.524,1159614,607638,0.1119,0.8881,0.2239
"Braum",0.4833,791699,382628,0.484,846586,409748,0.1849,0.8151,0.3699
"Janna",0.5219,838610,437671,0.5226,862158,450564,0.1805,0.8195,0.361
"Karma",0.4968,760254,377694,0.4947,776676,384222,0.9954,0.0046,0.0093
"Leona",0.5087,2478764,1260947,0.5087,2590551,1317813,0.5,0.5,1
"Lulu",0.5073,1200541,609034,0.506,1320609,668228,0.9804,0.0196,0.0392
"Lux",0.4952,2325293,1151485,0.4939,2384583,1177746,0.9976,0.0024,0.0048
"Malphite",0.4921,499001,245558,0.4916,515816,253575,0.6926,0.3074,0.6148
"Maokai",0.5267,273761,144190,0.5259,334229,175771,0.733,0.267,0.534
"Nami",0.5323,1531746,815348,0.5328,1591017,847694,0.1878,0.8122,0.3757
"Nautilus",0.5018,2432434,1220595,0.5016,2493536,1250758,0.6712,0.3288,0.6576
"Neeko",0.4898,185305,90762,0.4896,174999,85680,0.5466,0.4534,0.9068
"Pantheon",0.4824,97111,46846,0.4849,92839,45018,0.1372,0.8628,0.2743
"Poppy",0.4809,72675,34949,0.4797,71570,34332,0.6753,0.3247,0.6494
"Pyke",0.4875,1935399,943507,0.4902,1962830,962179,0,1,0
"Rakan",0.4832,731664,353540,0.4825,747886,360855,0.8028,0.1972,0.3943
"Sett",0.5006,246157,123226,0.4975,391535,194789,0.992,0.008,0.016
"Shen",0.489,184700,90318,0.4872,182966,89141,0.8623,0.1377,0.2753
"Sion",0.5015,38501,19308,0.5059,41205,20846,0.1064,0.8936,0.2127
"Sona",0.523,768876,402122,0.5227,762582,398602,0.6446,0.3554,0.7108
"Swain",0.523,709125,370872,0.5229,743423,388736,0.5477,0.4523,0.9046
"Tahm Kench",0.4494,191477,86050,0.4478,191781,85880,0.8401,0.1599,0.3197
"Taliyah",0.5092,16838,8574,0.5054,14818,7489,0.7505,0.2495,0.4991
"Taric",0.5282,543882,287278,0.526,627480,330054,0.9913,0.0087,0.0174
"Thresh",0.4868,3156245,1536460,0.4869,3315745,1614436,0.3996,0.6004,0.7993
"Vel'Koz",0.5162,517499,267133,0.517,523639,270721,0.2073,0.7927,0.4145
"Volibear",0.499,103468,51631,0.4979,102586,51078,0.6913,0.3087,0.6174
"Yuumi",0.4902,1729966,848029,0.4892,1773629,867659,0.9694,0.0306,0.0612
"Ziggs",0.495,52459,25967,0.4938,49786,24584,0.6497,0.3503,0.7006
"Zilean",0.5195,552864,287213,0.5169,589435,304679,0.9973,0.0027,0.0054
"Zyra",0.5176,754240,390395,0.5174,807672,417889,0.5992,0.4008,0.8015
