"SupportMerged1.champName","SupportMerged1.winRate.x","SupportMerged1.gamesPlayed.x","SupportMerged1.gamesWon.x","SupportMerged1.winRate.y","SupportMerged1.gamesPlayed.y","SupportMerged1.gamesWon.y","SupportMerged1.HOlessequal","SupportMerged1.HOgreaterequal","SupportMerged1.HOequal"
"Alistar",0.4914,578689,284368,0.4898,484239,237180,0.9499,0.0501,0.1001
"Anivia",0.4463,28749,12831,0.4463,31295,13967,0.501,0.499,0.9981
"Annie",0.4607,65297,30082,0.4688,56267,26378,0.0024,0.9976,0.0047
"Bard",0.5091,568672,289511,0.5124,514877,263823,3e-04,0.9997,6e-04
"Blitzcrank",0.523,2262559,1183318,0.5229,1953264,1021362,0.581,0.419,0.838
"Brand",0.5185,1050194,544526,0.5192,885311,459653,0.1661,0.8339,0.3322
"Braum",0.4889,704365,344364,0.486,654535,318104,0.9996,4e-04,7e-04
"Fiddlesticks",0.4927,340378,167704,0.4931,288152,142088,0.3755,0.6245,0.751
"Galio",0.4681,138687,64919,0.4722,115927,54741,0.0194,0.9806,0.0387
"Janna",0.5161,901922,465482,0.5182,684467,354691,0.0044,0.9956,0.0087
"Leona",0.5166,3078760,1590487,0.5162,2561225,1322104,0.828,0.172,0.3439
"Lux",0.4811,1922563,924945,0.482,1530316,737612,0.0482,0.9518,0.0964
"Malphite",0.4828,491697,237391,0.4861,446805,217192,7e-04,0.9993,0.0014
"Maokai",0.5175,107220,55486,0.5191,100465,52151,0.233,0.767,0.466
"Morgana",0.4905,2406590,1180432,0.4893,1865575,912826,0.9931,0.0069,0.0139
"Neeko",0.4677,157626,73722,0.4736,126533,59926,9e-04,0.9991,0.0017
"Poppy",0.4666,55914,26089,0.4756,52284,24866,0.0015,0.9985,0.003
"Pyke",0.4828,1966035,949202,0.4872,1662467,809954,0,1,0
"Rakan",0.4901,828938,406263,0.4897,640146,313479,0.6853,0.3147,0.6294
"Senna",0.4876,1991097,970859,0.4869,1458476,710132,0.9006,0.0994,0.1988
"Shaco",0.523,205130,107283,0.5234,191162,100054,0.4008,0.5992,0.8016
"Shen",0.4789,135000,64652,0.4802,125003,60026,0.2549,0.7451,0.5097
"Sion",0.4858,22212,10791,0.4911,25449,12498,0.1249,0.8751,0.2499
"Soraka",0.5167,1516356,783501,0.5176,1173889,607605,0.0714,0.9286,0.1429
"Swain",0.5183,778541,403518,0.5193,633441,328946,0.1185,0.8815,0.2369
"Tahm Kench",0.4461,138433,61755,0.4603,149734,68923,0,1,0
"Taric",0.5308,364909,193694,0.5263,340583,179249,0.9999,1e-04,2e-04
"Veigar",0.4725,262922,124231,0.4759,218700,104079,0.0094,0.9906,0.0187
"Vel'Koz",0.5083,484059,246047,0.5063,410669,207922,0.9703,0.0297,0.0595
"Volibear",0.485,61845,29995,0.4901,54591,26755,0.0413,0.9587,0.0825
"Xerath",0.4965,471100,233901,0.498,385205,191832,0.0836,0.9164,0.1672
"Yuumi",0.4573,601462,275049,0.4661,542631,252920,0,1,0
"Zilean",0.5138,432276,222103,0.514,358509,184274,0.429,0.571,0.858
