"SupportMerged12.champName","SupportMerged12.winRate.x","SupportMerged12.gamesPlayed.x","SupportMerged12.gamesWon.x","SupportMerged12.winRate.y","SupportMerged12.gamesPlayed.y","SupportMerged12.gamesWon.y","SupportMerged12.HOlessequal","SupportMerged12.HOgreaterequal","SupportMerged12.HOequal"
"Alistar",0.5038,515806,259863,0.5054,520006,262811,0.0517,0.9483,0.1034
"Anivia",0.4441,30591,13585,0.4528,31481,14255,0.0144,0.9856,0.0288
"Annie",0.4812,59180,28477,0.4831,56358,27227,0.2575,0.7425,0.5149
"Bard",0.5158,686663,354181,0.5149,716871,369117,0.8569,0.1431,0.2861
"Blitzcrank",0.5133,1578336,810160,0.5136,1640245,842430,0.2952,0.7048,0.5903
"Braum",0.4879,496044,242020,0.4861,505004,245482,0.9643,0.0357,0.0714
"Galio",0.5097,216581,110391,0.5143,253227,130235,8e-04,0.9992,0.0017
"Janna",0.5215,619884,323270,0.5222,611165,319150,0.2189,0.7811,0.4378
"Karma",0.4961,826343,409949,0.4998,999188,499394,0,1,0
"Leona",0.5071,1627771,825443,0.5085,1634095,830937,0.0057,0.9943,0.0115
"Lulu",0.5129,1463428,750592,0.5144,1592030,818940,0.0044,0.9956,0.0088
"Lux",0.5005,1676998,839337,0.5041,1759432,886930,0,1,0
"Malphite",0.4868,494422,240685,0.4885,495466,242035,0.0454,0.9546,0.0909
"Maokai",0.518,213759,110727,0.5224,213634,111602,0.002,0.998,0.004
"Morgana",0.4912,1659396,815095,0.4946,1684408,833108,0,1,0
"Nami",0.5175,883069,456988,0.5154,844992,435509,0.9971,0.0029,0.0058
"Nautilus",0.5009,1712386,857734,0.5015,1823337,914404,0.1296,0.8704,0.2592
"Neeko",0.4842,122569,59348,0.4846,134801,65325,0.4192,0.5808,0.8383
"Pantheon",0.4922,93075,45812,0.4956,161256,79918,0.0497,0.9503,0.0993
"Poppy",0.4793,59278,28412,0.4786,57199,27375,0.5956,0.4044,0.8088
"Pyke",0.4894,1292960,632775,0.4924,1410782,694669,0,1,0
"Sett",0.4781,445344,212919,0.4793,512769,245770,0.1205,0.8795,0.2411
"Shaco",0.5211,170852,89031,0.5246,183811,96427,0.0186,0.9814,0.0371
"Shen",0.4872,131935,64279,0.4881,136957,66849,0.3203,0.6797,0.6406
"Sion",0.4969,27676,13752,0.4962,26478,13138,0.5653,0.4347,0.8693
"Sona",0.5213,556440,290072,0.525,578750,303844,0,1,1e-04
"Soraka",0.5147,1075667,553646,0.5182,1099262,569638,0,1,0
"Swain",0.5161,542257,279859,0.5219,565485,295127,0,1,0
"Tahm Kench",0.4522,109357,49451,0.4488,121919,54717,0.9496,0.0504,0.1009
"Taliyah",0.489,11081,5419,0.4988,14716,7340,0.0607,0.9393,0.1214
"Taric",0.5244,351097,184115,0.5224,329994,172389,0.9506,0.0494,0.0988
"Thresh",0.4863,2381803,1158271,0.4876,2386919,1163862,0.0023,0.9977,0.0045
"Veigar",0.4817,172733,83205,0.4827,178175,86005,0.2762,0.7238,0.5524
"Vel'Koz",0.51,385722,196718,0.5157,411625,212275,0,1,0
"Xerath",0.5038,391541,197258,0.5075,425544,215964,4e-04,0.9996,8e-04
"Ziggs",0.4843,36101,17484,0.4886,38789,18952,0.1206,0.8794,0.2412
"Zilean",0.5175,405033,209605,0.5189,416772,216263,0.1022,0.8978,0.2045
"Zyra",0.5157,638360,329202,0.518,657587,340630,0.0044,0.9956,0.0088
