"SupportMerged2.champName","SupportMerged2.winRate.x","SupportMerged2.gamesPlayed.x","SupportMerged2.gamesWon.x","SupportMerged2.winRate.y","SupportMerged2.gamesPlayed.y","SupportMerged2.gamesWon.y","SupportMerged2.HOlessequal","SupportMerged2.HOgreaterequal","SupportMerged2.HOequal"
"Alistar",0.4898,484239,237180,0.49,548283,268659,0.4192,0.5808,0.8383
"Anivia",0.4463,31295,13967,0.4535,36727,16656,0.0298,0.9702,0.0597
"Bard",0.5124,514877,263823,0.5157,675341,348273,2e-04,0.9998,4e-04
"Blitzcrank",0.5229,1953264,1021362,0.5253,2233637,1173330,0,1,0
"Brand",0.5192,885311,459653,0.5191,953658,495044,0.5536,0.4464,0.8928
"Braum",0.486,654535,318104,0.4841,752725,364394,0.9878,0.0122,0.0245
"Fiddlesticks",0.4931,288152,142088,0.4928,314109,154793,0.5922,0.4078,0.8157
"Janna",0.5182,684467,354691,0.5182,686444,355715,0.5003,0.4997,0.9993
"Lux",0.482,1530316,737612,0.4823,1628698,785521,0.2968,0.7032,0.5936
"Maokai",0.5191,100465,52151,0.5206,117622,61234,0.2418,0.7582,0.4836
"Morgana",0.4893,1865575,912826,0.4892,1963818,960700,0.5775,0.4225,0.8449
"Nami",0.5306,1425528,756385,0.5307,1465077,777516,0.4325,0.5675,0.8649
"Neeko",0.4736,126533,59926,0.4736,128076,60657,0.4996,0.5004,0.9993
"Poppy",0.4756,52284,24866,0.4744,57279,27173,0.6541,0.3459,0.6917
"Pyke",0.4872,1662467,809954,0.488,1869528,912330,0.0666,0.9334,0.1332
"Rakan",0.4897,640146,313479,0.49,716902,351282,0.3632,0.6368,0.7264
"Shaco",0.5234,191162,100054,0.5238,219653,115054,0.399,0.601,0.798
"Shen",0.4802,125003,60026,0.4816,141141,67974,0.2342,0.7658,0.4684
"Sion",0.4911,25449,12498,0.4866,29006,14114,0.8533,0.1467,0.2934
"Soraka",0.5176,1173889,607605,0.5222,1501506,784086,0,1,0
"Swain",0.5193,633441,328946,0.5185,691076,358323,0.8213,0.1787,0.3573
"Tahm Kench",0.4603,149734,68923,0.4521,154000,69623,1,0,0
"Taliyah",0.4967,27108,13465,0.5011,22404,11227,0.1649,0.8351,0.3298
"Taric",0.5263,340583,179249,0.5273,403364,212694,0.1947,0.8053,0.3895
"Veigar",0.4759,218700,104079,0.4776,236314,112864,0.1252,0.8748,0.2504
"Vel'Koz",0.5063,410669,207922,0.5057,447736,226420,0.711,0.289,0.578
"Volibear",0.4901,54591,26755,0.4927,56125,27653,0.193,0.807,0.3861
"Xerath",0.498,385205,191832,0.4959,422642,209588,0.9703,0.0297,0.0593
"Zilean",0.514,358509,184274,0.5163,399532,206278,0.0228,0.9772,0.0456
"Zyra",0.5161,627638,323924,0.5168,676572,349652,0.2123,0.7877,0.4246
