"SupportMerged10.champName","SupportMerged10.winRate.x","SupportMerged10.gamesPlayed.x","SupportMerged10.gamesWon.x","SupportMerged10.winRate.y","SupportMerged10.gamesPlayed.y","SupportMerged10.gamesWon.y","SupportMerged10.HOlessequal","SupportMerged10.HOgreaterequal","SupportMerged10.HOequal"
"Alistar",0.504,689437,347476,0.5045,547732,276331,0.29,0.71,0.58
"Anivia",0.4533,36677,16626,0.4485,29928,13423,0.8921,0.1079,0.2157
"Bard",0.5117,661734,338609,0.5101,674790,344210,0.9679,0.0321,0.0643
"Blitzcrank",0.5152,1949201,1004228,0.513,1563757,802207,1,0,0
"Brand",0.5227,977578,510980,0.5222,811747,423894,0.7476,0.2524,0.5047
"Braum",0.4846,660824,320235,0.4849,517927,251143,0.3728,0.6272,0.7457
"Galio",0.5124,268649,137656,0.5121,217317,111288,0.5827,0.4173,0.8346
"Karma",0.4958,762114,377856,0.4957,700977,347474,0.5482,0.4518,0.9035
"Leona",0.508,2092433,1062956,0.509,1681892,856083,0.0267,0.9733,0.0534
"Lulu",0.509,1528882,778201,0.5108,1356869,693089,0.0011,0.9989,0.0023
"Malphite",0.4936,418988,206812,0.4892,484743,237136,1,0,0
"Morgana",0.494,2068456,1021817,0.4921,1676869,825187,0.9999,1e-04,3e-04
"Nami",0.518,1093134,566243,0.5173,916725,474222,0.8385,0.1615,0.323
"Nautilus",0.501,2067013,1035574,0.5008,1706539,854635,0.6506,0.3494,0.6988
"Neeko",0.4845,152237,73759,0.4831,122806,59328,0.7671,0.2329,0.4659
"Pantheon",0.4904,116653,57207,0.4867,82092,39954,0.9481,0.0519,0.1037
"Poppy",0.4814,69594,33503,0.4795,59926,28735,0.7523,0.2477,0.4954
"Pyke",0.4896,1571696,769502,0.4877,1280361,624432,0.9993,7e-04,0.0014
"Rakan",0.4864,622565,302816,0.4866,499793,243199,0.417,0.583,0.8341
"Senna",0.4956,1405889,696759,0.4971,1517008,754105,0.0052,0.9948,0.0104
"Sett",0.4827,442789,213734,0.483,375203,181223,0.3932,0.6068,0.7864
"Shaco",0.528,193318,102072,0.5237,155623,81500,0.9943,0.0057,0.0115
"Shen",0.4871,159538,77711,0.4884,130306,63641,0.2437,0.7563,0.4873
"Sion",0.5036,34282,17264,0.4979,27634,13759,0.9203,0.0797,0.1595
"Sona",0.5217,668468,348740,0.5205,527803,274721,0.9042,0.0958,0.1916
"Swain",0.5187,658496,341562,0.5177,542409,280805,0.8626,0.1374,0.2749
"Tahm Kench",0.4504,129776,58451,0.4493,101968,45814,0.7016,0.2984,0.5968
"Taliyah",0.4959,12670,6283,0.5013,10136,5081,0.2094,0.7906,0.4188
"Thresh",0.4874,2840000,1384216,0.4867,2321904,1130071,0.9432,0.0568,0.1135
"Veigar",0.484,223935,108385,0.4814,173375,83463,0.9481,0.0519,0.1038
"Vel'Koz",0.5141,446413,229501,0.5137,378202,194282,0.6418,0.3582,0.7165
"Xerath",0.5091,500183,254643,0.5031,395195,198823,1,0,0
"Yuumi",0.4965,2147317,1066143,0.5007,1887977,945310,0,1,0
"Ziggs",0.4917,44891,22073,0.4855,34802,16896,0.9591,0.0409,0.0818
"Zilean",0.5148,508295,261670,0.5156,396617,204496,0.2246,0.7754,0.4492
"Zyra",0.5184,760764,394380,0.5179,629377,325954,0.7217,0.2783,0.5566
