"SupportMerged11.champName","SupportMerged11.winRate.x","SupportMerged11.gamesPlayed.x","SupportMerged11.gamesWon.x","SupportMerged11.winRate.y","SupportMerged11.gamesPlayed.y","SupportMerged11.gamesWon.y","SupportMerged11.HOlessequal","SupportMerged11.HOgreaterequal","SupportMerged11.HOequal"
"Alistar",0.5045,547732,276331,0.5038,515806,259863,0.7649,0.2351,0.4702
"Anivia",0.4485,29928,13423,0.4441,30591,13585,0.8632,0.1368,0.2736
"Annie",0.4769,62570,29840,0.4812,59180,28477,0.0672,0.9328,0.1345
"Bard",0.5101,674790,344210,0.5158,686663,354181,0,1,0
"Blitzcrank",0.513,1563757,802207,0.5133,1578336,810160,0.2972,0.7028,0.5944
"Braum",0.4849,517927,251143,0.4879,496044,242020,0.0013,0.9987,0.0025
"Galio",0.5121,217317,111288,0.5097,216581,110391,0.9432,0.0568,0.1136
"Karma",0.4957,700977,347474,0.4961,826343,409949,0.3108,0.6892,0.6216
"Leona",0.509,1681892,856083,0.5071,1627771,825443,0.9997,3e-04,5e-04
"Lulu",0.5108,1356869,693089,0.5129,1463428,750592,2e-04,0.9998,4e-04
"Malphite",0.4892,484743,237136,0.4868,494422,240685,0.9912,0.0088,0.0176
"Maokai",0.5219,223722,116761,0.518,213759,110727,0.9951,0.0049,0.0098
"Morgana",0.4921,1676869,825187,0.4912,1659396,815095,0.9499,0.0501,0.1001
"Nami",0.5173,916725,474222,0.5175,883069,456988,0.3944,0.6056,0.7888
"Nautilus",0.5008,1706539,854635,0.5009,1712386,857734,0.4268,0.5732,0.8537
"Neeko",0.4831,122806,59328,0.4842,122569,59348,0.2933,0.7067,0.5865
"Pantheon",0.4867,82092,39954,0.4922,93075,45812,0.0107,0.9893,0.0214
"Poppy",0.4795,59926,28735,0.4793,59278,28412,0.5285,0.4715,0.9429
"Pyke",0.4877,1280361,624432,0.4894,1292960,632775,0.0032,0.9968,0.0064
"Rakan",0.4866,499793,243199,0.4912,522440,256623,0,1,0
"Sett",0.483,375203,181223,0.4781,445344,212919,1,0,0
"Shaco",0.5237,155623,81500,0.5211,170852,89031,0.9314,0.0686,0.1372
"Shen",0.4884,130306,63641,0.4872,131935,64279,0.7297,0.2703,0.5406
"Sion",0.4979,27634,13759,0.4969,27676,13752,0.5937,0.4063,0.8125
"Sona",0.5205,527803,274721,0.5213,556440,290072,0.2021,0.7979,0.4043
"Soraka",0.5146,1055717,543272,0.5147,1075667,553646,0.4419,0.5581,0.8837
"Swain",0.5177,542409,280805,0.5161,542257,279859,0.9522,0.0478,0.0956
"Tahm Kench",0.4493,101968,45814,0.4522,109357,49451,0.0903,0.9097,0.1806
"Taliyah",0.5013,10136,5081,0.489,11081,5419,0.9626,0.0374,0.0747
"Taric",0.521,358262,186655,0.5244,351097,184115,0.0021,0.9979,0.0042
"Thresh",0.4867,2321904,1130071,0.4863,2381803,1158271,0.8073,0.1927,0.3855
"Veigar",0.4814,173375,83463,0.4817,172733,83205,0.4309,0.5691,0.8618
"Vel'Koz",0.5137,378202,194282,0.51,385722,196718,0.9994,6e-04,0.0012
"Xerath",0.5031,395195,198823,0.5038,391541,197258,0.2679,0.7321,0.5358
"Yuumi",0.5007,1887977,945310,0.5024,2082229,1046112,4e-04,0.9996,7e-04
"Ziggs",0.4855,34802,16896,0.4843,36101,17484,0.6235,0.3765,0.753
"Zilean",0.5156,396617,204496,0.5175,405033,209605,0.0443,0.9557,0.0887
"Zyra",0.5179,629377,325954,0.5157,638360,329202,0.9934,0.0066,0.0132
