"SupportMerged8.champName","SupportMerged8.winRate.x","SupportMerged8.gamesPlayed.x","SupportMerged8.gamesWon.x","SupportMerged8.winRate.y","SupportMerged8.gamesPlayed.y","SupportMerged8.gamesWon.y","SupportMerged8.HOlessequal","SupportMerged8.HOgreaterequal","SupportMerged8.HOequal"
"Alistar",0.5043,837891,422548,0.5046,781929,394561,0.3514,0.6486,0.7027
"Anivia",0.4548,42385,19277,0.4427,42238,18699,0.9998,2e-04,4e-04
"Annie",0.4671,71550,33421,0.4695,70758,33221,0.182,0.818,0.364
"Blitzcrank",0.5153,2236809,1152628,0.5149,2209749,1137800,0.8006,0.1994,0.3987
"Brand",0.5242,1146630,601063,0.5233,1110441,581094,0.9119,0.0881,0.1762
"Braum",0.4835,835967,404190,0.4852,781460,379164,0.0153,0.9847,0.0307
"Galio",0.5097,297705,151740,0.5083,300207,152595,0.8605,0.1395,0.279
"Ivern",0.4552,10688,4865,0.4488,10645,4777,0.8272,0.1728,0.3456
"Janna",0.5231,864222,452075,0.5242,895243,469286,0.0723,0.9277,0.1445
"Karma",0.4958,786433,389913,0.4968,823896,409312,0.102,0.898,0.204
"Leona",0.5077,2528984,1283965,0.5082,2410932,1225236,0.1332,0.8668,0.2663
"Lulu",0.5081,1517501,771042,0.5103,1637432,835582,0,1,1e-04
"Lux",0.4912,2207011,1084084,0.4893,2105600,1030270,1,0,1e-04
"Malphite",0.4917,522564,256945,0.4931,509573,251270,0.0777,0.9223,0.1553
"Maokai",0.5259,365521,192227,0.5244,372060,195108,0.9013,0.0987,0.1973
"Morgana",0.4964,2600204,1290741,0.4954,2452065,1214753,0.9877,0.0123,0.0247
"Nautilus",0.4998,2430767,1214897,0.5015,2348190,1177617,1e-04,0.9999,2e-04
"Neeko",0.4884,176664,86283,0.4851,178239,86464,0.9754,0.0246,0.0492
"Pantheon",0.4825,90279,43560,0.4854,101069,49059,0.1028,0.8972,0.2056
"Poppy",0.4792,73825,35377,0.4832,74342,35922,0.0618,0.9382,0.1235
"Pyke",0.4875,1872679,912931,0.4887,1824141,891458,0.0105,0.9895,0.021
"Rakan",0.486,818958,398014,0.4858,732280,355742,0.5982,0.4018,0.8035
"Shaco",0.5286,226003,119465,0.5288,225425,119205,0.4459,0.5541,0.8919
"Shen",0.4885,180153,88005,0.4874,175099,85343,0.7446,0.2554,0.5109
"Sion",0.5045,42340,21361,0.5013,41539,20824,0.8229,0.1771,0.3542
"Sona",0.5221,755759,394582,0.5245,771426,404613,0.0015,0.9985,0.003
"Swain",0.5228,759873,397262,0.5225,734472,383762,0.6432,0.3568,0.7136
"Tahm Kench",0.4468,169981,75948,0.4516,158298,71487,0.0029,0.9971,0.0058
"Taliyah",0.4955,14762,7315,0.4975,14162,7046,0.3669,0.6331,0.7339
"Taric",0.5272,611205,322227,0.5279,570646,301244,0.223,0.777,0.446
"Thresh",0.4851,3300425,1601036,0.4871,3275640,1595564,0,1,0
"Veigar",0.483,285866,138073,0.483,272999,131859,0.4992,0.5008,0.9984
"Vel'Koz",0.5161,528999,273016,0.5158,527401,272033,0.6212,0.3788,0.7576
"Volibear",0.4926,103335,50903,0.4943,103197,51010,0.2205,0.7795,0.4409
"Xerath",0.5103,606883,309692,0.511,590009,301495,0.2214,0.7786,0.4429
"Yuumi",0.4915,2044259,1004753,0.4959,2303339,1142226,0,1,0
"Ziggs",0.4923,50612,24916,0.4914,50983,25053,0.6123,0.3877,0.7754
"Zilean",0.5174,598176,309496,0.5173,583132,301654,0.5432,0.4568,0.9135
"Zyra",0.5174,976208,505090,0.5207,894626,465832,0,1,0
