"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"Annie",1.99,46.67,0.05,0.64,10939
"Olaf",0.14,46.34,0.01,7.14,1819
"Galio",0.71,47.78,0.04,1.61,8163
"Xin Zhao",0.27,47.14,0.01,0.55,2323
"Urgot",0.84,44.99,0.03,1.85,6155
"LeBlanc",0.38,41.75,0.02,10.97,4989
"Vladimir",1.02,47.02,0.08,8.21,16043
"Fiddlesticks",0.39,36.13,0.04,16.49,8201
"Kayle",1.11,49.17,0.04,0.58,7504
"Master Yi",0.31,51.61,0.04,36.3,8064
"Alistar",0.34,34.03,0.01,0.6,2809
"Ryze",0.91,43.45,0.04,0.72,7661
"Sion",1.41,51.63,0.03,0.15,6299
"Soraka",0.43,31.47,0.02,1.1,4230
"Warwick",0.03,36.21,0,6.48,696
"Nunu",0.49,13.95,0.01,0.42,2982
"Tryndamere",0.26,45.43,0.02,5.43,3271
"Jax",0.17,47.37,0.02,10.12,4169
"Morgana",0.94,43.17,0.13,34.83,26792
"Zilean",1.49,48.22,0.06,0.91,11177
"Singed",1.09,46.2,0.02,0.35,4600
"Evelynn",0.03,32.47,0,2.79,194
"Karthus",0.97,48.92,0.02,0.98,4839
"Cho'Gath",1.54,50.25,0.05,0.93,10722
"Amumu",0.06,33.71,0,1.43,795
"Rammus",0.12,26.19,0.01,5.98,1069
"Anivia",1.83,45.26,0.04,0.46,7662
"Shaco",0.19,41.99,0.01,9.81,2634
"Dr. Mundo",0.37,45.97,0.01,1.74,2900
"Sona",0.61,44.04,0.02,0.26,4707
"Kassadin",0.17,41.06,0.01,9.71,1907
"Irelia",1.26,44.62,0.12,5.42,23326
"Janna",0.31,32.16,0.01,0.26,2736
"Gangplank",0.31,35.16,0.01,0.59,1493
"Karma",0.81,42.5,0.04,0.34,7344
"Taric",0.79,48.13,0.03,0.7,5358
"Trundle",0.27,42.86,0.01,1.12,2977
"Blitzcrank",0.29,29.01,0.03,31.36,6576
"Malphite",0.4,41.74,0.04,3.49,8773
"Katarina",0.69,48.36,0.06,9.74,11946
"Nocturne",0.15,44.17,0.01,4.43,1895
"Maokai",0.99,56.03,0.07,1.66,14332
"Renekton",0.26,44.03,0.03,6.78,5112
"Jarvan IV",0.19,44.15,0.02,1.43,3110
"Elise",0.02,35.99,0,9.25,289
"Orianna",0.98,47.76,0.04,0.45,7335
"Wukong",0.4,54.84,0.05,28.48,9389
"Brand",1.67,46.1,0.12,8.56,24325
"Lee Sin",0.08,37.82,0.01,19.39,2676
"Rumble",0.71,47.36,0.02,0.47,3889
"Skarner",0.11,43.88,0,0.08,139
"Nasus",0.2,43.48,0.02,10.77,4411
"Nidalee",0.43,38.61,0.01,0.41,2041
"Udyr",0.12,37.72,0,0.49,464
"Poppy",0.35,44.44,0.01,0.41,2187
"Gragas",0.13,39,0,0.25,818
"Pantheon",1.01,46.13,0.06,3.64,12275
"Mordekaiser",0.43,47.85,0.05,21.07,11035
"Yorick",0.24,46.07,0.01,1.24,1322
"Akali",0.29,36.75,0.02,5.02,3774
"Kennen",1.95,45.37,0.03,0.34,6432
"Garen",0.43,46.79,0.07,20.3,13339
"Leona",0.32,36.03,0.04,26.64,8395
"Malzahar",1.2,51.1,0.05,5.23,9986
"Talon",0.36,42.53,0.02,4.28,3595
"Riven",0.32,42.9,0.01,0.85,2641
"Shen",0.34,47.86,0.02,0.78,4496
"Lux",1.3,45.74,0.25,5.63,49975
"Xerath",1.83,49.33,0.12,1.97,24057
"Shyvana",0.06,39.36,0,2.1,658
"Ahri",0.66,47.58,0.05,3.12,10117
"Graves",1.79,51.48,0.12,1.57,24557
"Fizz",0.37,48.68,0.03,20.65,6695
"Volibear",0.57,51.37,0.03,1.21,6151
"Rengar",1.32,50.72,0.05,1.97,10904
"Nautilus",0.68,44.05,0.09,27.63,17535
"Viktor",1.68,48.91,0.04,0.23,7463
"Sejuani",0.04,41.05,0,0.5,285
"Fiora",0.18,49.69,0.01,7.36,2570
"Lulu",0.43,34.91,0.03,1.73,5953
"Hecarim",0.07,34.74,0,0.9,521
"Kha'Zix",0.03,38.81,0,2.08,402
"Darius",0.27,45.12,0.03,47.8,6093
"Jayce",1.84,44.7,0.03,0.24,7040
"Lissandra",0.6,45.67,0.01,0.36,2286
"Diana",0.28,47.07,0.03,19.72,5968
"Aurelion Sol",0.98,45.77,0.01,0.14,1372
"Kayn",0.04,40.35,0,2.73,565
"Zoe",0.8,42.77,0.03,2.54,6091
"Zyra",1.26,45.47,0.06,2.1,11251
"Gnar",0.64,44.4,0.02,0.68,3320
"Zac",0.09,46.28,0.01,11.86,1558
"Camille",0.34,49.83,0.01,0.47,1726
"Braum",0.28,31.48,0.01,0.98,2379
"Zed",0.54,46.15,0.06,30.55,11586
"Kled",0.49,52.11,0.01,1.79,2790
"Ekko",0.18,45.86,0.03,18.53,5827
"Qiyana",0.44,46.15,0.01,1.04,2104
"Vi",0.06,41.46,0,0.71,591
"Aatrox",0.31,42.92,0.02,4.16,4017
"Nami",0.19,32.17,0.02,0.67,3068
"Azir",1.52,43.58,0.03,0.3,6436
"Yuumi",0.21,20.89,0.02,11.61,3729
"Thresh",0.53,31.58,0.09,6.54,17870
"Illaoi",0.23,41.7,0.01,9.82,2067
"Rek'Sai",0.03,33.78,0,1.41,148
"Ivern",0.3,26.24,0,0.18,503
"Bard",0.52,36.95,0.02,0.74,3713
"Rakan",0.31,28.95,0.01,0.34,2342
"Ornn",0.31,45.85,0.02,4.11,3880
"Sylas",0.3,43.18,0.04,12.33,7198
"Pyke",0.82,42.83,0.09,18.33,18364
"Sett",0.74,50.7,0.11,28.65,22744
"Miss Fortune",97.64,52.18,21.8,10.25,4417391
"Yasuo",12.44,53.01,2.34,48.32,473322
"Cassiopeia",12.04,53.48,0.54,3.43,109644
"Vayne",83.67,51.02,13.39,12.49,2712878
"Jhin",97.72,51.83,15.58,4.6,3156246
"Caitlyn",98.54,50.29,19.98,17.45,4048416
"Jinx",99.2,51.33,13.05,1.95,2644325
"Syndra",7.01,51.59,0.47,2.69,95047
"Veigar",7.44,52.94,0.64,3.7,130425
"Taliyah",10.9,52.51,0.1,0.07,19739
"Senna",9.98,49.3,1.06,13.65,215752
"Kog'Maw",92.99,51.64,1.16,0.12,234949
"Twitch",73.5,50.83,2.82,0.57,570495
"Aphelios",98.38,47.78,6.08,16.56,1231603
"Vel'Koz",2.46,52.08,0.13,1.17,26766
"Tahm Kench",14.63,51.08,0.27,0.62,54356
"Draven",96.86,49.83,4.87,7.88,986026
"Heimerdinger",20.41,51.67,0.51,1.34,102995
"Varus",95.48,50.54,9.67,3.23,1958261
"Ashe",95.78,50.81,11.9,1.82,2410230
"Kalista",83.51,49.74,4.3,2.06,872147
"Swain",3.77,53.94,0.19,2.12,37608
"Ziggs",14.01,52.56,0.38,0.23,77040
"Kindred",9.89,49.79,0.2,0.3,41285
"Lucian",82.95,48.76,12.8,3.12,2592655
"Ezreal",95.31,48.51,22.15,5.02,4487386
"Kai'Sa",98.03,47.23,14.15,2.12,2866493
"Quinn",10.79,48.85,0.22,1.24,44206
"Sivir",98.45,50.44,2.92,0.37,591712
"Twisted Fate",2.61,45.68,0.09,0.26,18293
"Tristana",91.77,48.52,7.75,1.54,1570698
"Neeko",3.47,49.76,0.13,0.73,26236
"Xayah",99.2,47.05,4.3,0.6,871104
"Corki",13.13,47.97,0.15,0.22,30745
"Teemo",2.46,47.45,0.19,10.42,39407
