"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"Olaf",0.15,49.05,0.01,7.14,2000
"Galio",0.9,45.29,0.03,0.49,5412
"Xin Zhao",0.32,46.27,0.01,0.43,2185
"Urgot",0.82,46.61,0.03,2.01,6145
"LeBlanc",0.45,39.74,0.03,11.33,5569
"Vladimir",1.12,47.22,0.09,8.3,17767
"Fiddlesticks",0.76,38.62,0.02,0.81,4565
"Kayle",1.12,46.91,0.04,0.59,7339
"Master Yi",0.32,51.97,0.04,36.11,8539
"Alistar",0.34,32.5,0.01,0.61,2649
"Ryze",0.97,43.98,0.05,0.91,9131
"Sion",1.28,49.06,0.03,0.13,5149
"Soraka",0.49,34.74,0.03,1.49,5130
"Warwick",0.04,32.28,0,5.63,697
"Nunu",0.5,15.16,0.02,0.45,2981
"Tryndamere",0.3,46.83,0.02,5.45,3626
"Jax",0.17,45.65,0.02,10.39,4140
"Morgana",0.98,44.05,0.14,33.41,27546
"Zilean",1,46.99,0.04,0.76,7035
"Singed",1.19,48.51,0.03,0.37,5141
"Evelynn",0.04,34.44,0,2.94,241
"Karthus",1.1,49.03,0.03,0.95,5142
"Cho'Gath",1.3,49.56,0.05,1,9084
"Amumu",0.07,37.27,0,1.46,856
"Rammus",0.11,25.12,0.01,6.01,1011
"Shaco",0.2,39.74,0.01,10.31,2881
"Dr. Mundo",0.41,46.45,0.02,1.71,3126
"Sona",0.71,43.54,0.03,0.28,5538
"Kassadin",0.2,42.06,0.01,8.93,1945
"Irelia",1.37,45.05,0.13,5,25137
"Janna",0.35,33.58,0.02,0.28,3032
"Gangplank",0.35,39.16,0.01,0.6,1614
"Karma",0.9,43.17,0.04,0.37,8075
"Taric",0.86,48.92,0.03,0.62,5145
"Trundle",0.24,39.59,0.01,0.91,2301
"Blitzcrank",0.32,30.35,0.04,31.94,7262
"Malphite",0.42,40.24,0.05,3.31,8924
"Katarina",0.81,49.2,0.07,9.56,13552
"Nocturne",0.15,46.16,0.01,4.84,2134
"Maokai",0.45,52.18,0.03,0.73,4929
"Renekton",0.28,44.94,0.03,5.82,5091
"Jarvan IV",0.22,45.38,0.02,1.37,3398
"Elise",0.03,38.6,0,9.06,342
"Orianna",1.1,47.3,0.04,0.47,7918
"Wukong",0.52,55.36,0.08,32.33,15515
"Brand",1.8,47.17,0.14,8.45,26579
"Lee Sin",0.09,37.84,0.02,20.72,3179
"Rumble",0.76,50.12,0.02,0.55,4322
"Skarner",0.12,39.58,0,0.09,144
"Nasus",0.23,40.53,0.02,5.76,3536
"Nidalee",0.45,35.48,0.01,0.48,2218
"Udyr",0.14,35,0,0.5,540
"Poppy",0.32,42.03,0.01,0.46,2065
"Gragas",0.15,38.94,0,0.26,904
"Pantheon",1.04,45.84,0.07,3.3,13230
"Mordekaiser",0.46,48.11,0.06,20.22,11703
"Yorick",0.22,46.66,0.01,1.25,1151
"Akali",0.35,35.06,0.02,4.71,3403
"Kennen",2,46.42,0.03,0.39,6768
"Garen",0.45,47.44,0.08,25.76,15980
"Leona",0.33,35.7,0.04,26.72,8306
"Malzahar",1.35,50.89,0.05,5.25,10652
"Talon",0.38,42.27,0.02,4.94,4618
"Riven",0.36,43.56,0.01,0.76,2569
"Shen",0.32,47.76,0.02,0.79,4196
"Lux",1.46,46.48,0.28,4.83,53767
"Xerath",1.92,49.91,0.12,1.71,24117
"Shyvana",0.06,44.67,0,1.69,553
"Ahri",0.72,47.33,0.05,3.32,10601
"Fizz",0.43,49.63,0.04,19.93,7364
"Volibear",0.62,50.79,0.03,1.09,6306
"Rengar",1.48,51.74,0.06,2.01,11613
"Nautilus",0.59,41.79,0.08,28.25,14985
"Viktor",1.96,50.71,0.04,0.22,8284
"Sejuani",0.04,36.99,0,0.55,292
"Fiora",0.2,48.59,0.01,7.15,2692
"Lulu",0.47,38.48,0.03,1.55,5983
"Hecarim",0.07,37.52,0,0.96,525
"Kha'Zix",0.04,37.44,0,2.2,406
"Darius",0.29,46.12,0.03,48.25,6371
"Jayce",2,45.96,0.03,0.23,6706
"Lissandra",0.69,44.38,0.01,0.36,2544
"Diana",0.31,48.47,0.03,20.58,6474
"Aurelion Sol",1.12,44.47,0.01,0.15,1401
"Kayn",0.05,36.58,0,3.52,749
"Zoe",0.98,43.55,0.04,2.61,6943
"Zyra",1.29,46.6,0.06,1.92,10914
"Gnar",0.7,43.48,0.02,0.68,3390
"Zac",0.08,45.19,0.01,12.21,1434
"Camille",0.37,47.55,0.01,0.51,1977
"Braum",0.3,30.38,0.01,1.02,2423
"Zed",0.57,45.46,0.06,30.75,11881
"Kled",0.51,54.29,0.01,1.84,2914
"Ekko",0.21,47.57,0.03,18.52,6420
"Qiyana",0.5,43.9,0.01,1.4,2476
"Vi",0.06,40.23,0,0.71,527
"Aatrox",0.32,42.68,0.02,4.1,3810
"Nami",0.21,33.96,0.02,0.67,3266
"Azir",1.86,44.87,0.03,0.24,6202
"Yuumi",0.22,22.04,0.02,10.48,3847
"Thresh",0.59,32.27,0.1,6.3,18657
"Illaoi",0.28,41.41,0.01,9.24,2282
"Rek'Sai",0.03,38.46,0,1.36,169
"Ivern",0.39,29.91,0,0.16,428
"Bard",0.58,37,0.02,0.63,3838
"Rakan",0.33,30.34,0.01,0.36,2469
"Ornn",0.28,44.44,0.02,6.3,3591
"Sylas",0.35,43.05,0.04,11.32,7924
"Pyke",0.9,42.44,0.1,18.98,19644
"Sett",0.58,50.41,0.08,32.25,16502
"Miss Fortune",97.38,52.01,21.7,10.08,4233330
"Yasuo",12.66,53,2.51,49.1,489678
"Cassiopeia",11.79,53.89,0.52,3.64,101369
"Jhin",97.51,51.92,15.13,4.21,2952313
"Syndra",6.62,51.77,0.38,2.02,74184
"Vayne",82.87,51.06,13.38,11.89,2609520
"Caitlyn",98.43,50.37,21.17,16.93,4129390
"Taliyah",12.3,52.09,0.13,0.08,24968
"Graves",2.05,51.1,0.12,1.07,24344
"Kog'Maw",92.93,51.78,1.17,0.11,227362
"Tahm Kench",15.55,50.42,0.3,0.69,57947
"Heimerdinger",22.09,52.13,0.58,1.32,113272
"Jinx",99.14,51.4,13.37,1.97,2608334
"Senna",12.95,49.54,1.5,19.48,293145
"Vel'Koz",2.62,52.36,0.14,1.11,27606
"Ashe",95.62,50.95,11.93,1.78,2327400
"Swain",4.02,54.21,0.2,1.95,38696
"Veigar",7.58,53.71,0.66,3.58,129513
"Kindred",8.2,50.18,0.19,0.37,36911
"Twitch",73.84,50.64,2.75,0.54,536997
"Ziggs",14.28,53.24,0.39,0.22,75202
"Draven",96.8,49.93,4.45,7.91,868971
"Ezreal",94.94,48.42,23.07,4.69,4499405
"Lucian",83.15,48.83,13.08,3.22,2551813
"Varus",94.8,50.37,7.94,1.26,1549382
"Aphelios",98.05,47.29,5.38,21.9,1049278
"Kalista",80.5,49.77,3.62,1.31,705957
"Neeko",4.13,50.64,0.16,0.76,31249
"Sivir",98.4,50.62,3.28,0.4,639108
"Kai'Sa",97.38,47.03,14.24,2.15,2777516
"Quinn",10.22,49.42,0.23,1.42,44606
"Tristana",91.91,48.86,7.58,1.47,1479471
"Twisted Fate",2.64,46.36,0.11,0.33,20537
"Anivia",2.07,47.83,0.05,0.51,8901
"Xayah",99.18,47.43,4.51,0.69,879834
"Annie",2.24,47.83,0.06,0.69,11868
"Teemo",2.41,47.85,0.21,10.42,40391
"Corki",17.54,47.81,0.13,0.23,25137
