"JungleRisk13.champName","JungleRisk13.winRate.x","JungleRisk13.gamesPlayed.x","JungleRisk13.gamesWon.x","JungleRisk13.winRate.y","JungleRisk13.gamesPlayed.y","JungleRisk13.gamesWon.y","JungleRisk13.HOlessequal","JungleRisk13.HOgreaterequal","JungleRisk13.HOequal","JungleRisk13.riskDifference","JungleRisk13.riskLower","JungleRisk13.riskUpper"
"Ekko",0.5072,1630859,827172,0.5053,1552414,784435,0.9996,4e-04,7e-04,0.0019,0.0013,0.0025
"Elise",0.498,633349,315408,0.5004,575864,288162,0.0042,0.9958,0.0084,-0.0024,-0.0033,-0.0015
"Evelynn",0.4888,708628,346377,0.4841,688318,333215,1,0,0,0.0047,0.0039,0.0055
"Fiddlesticks",0.5093,854650,435273,0.5073,778488,394927,0.9947,0.0053,0.0107,0.002,0.0012,0.0028
"Graves",0.5046,1450964,732156,0.5004,1317080,659067,1,0,0,0.0042,0.0036,0.0048
"Hecarim",0.5022,629466,316118,0.5084,633694,322170,0,1,0,-0.0062,-0.0071,-0.0053
"Jarvan IV",0.4923,681428,335467,0.4905,577486,283257,0.9779,0.0221,0.0441,0.0018,9e-04,0.0027
"Kayn",0.5084,2464162,1252780,0.5076,2343251,1189434,0.9603,0.0397,0.0794,8e-04,3e-04,0.0013
"Olaf",0.4873,704180,343147,0.4947,638812,316020,0,1,0,-0.0074,-0.0083,-0.0065
"Rek'Sai",0.4877,348310,169871,0.4912,310427,152482,0.0023,0.9977,0.0046,-0.0035,-0.0047,-0.0023
"Shaco",0.504,750874,378440,0.5024,784929,394348,0.9763,0.0237,0.0475,0.0016,8e-04,0.0024
"Skarner",0.4966,84079,41754,0.4908,89853,44100,0.9922,0.0078,0.0156,0.0058,0.0034,0.0082
"Zac",0.5152,943653,486170,0.5138,874473,449304,0.9705,0.0295,0.0591,0.0014,7e-04,0.0021
