"JungleRisk10.champName","JungleRisk10.winRate.x","JungleRisk10.gamesPlayed.x","JungleRisk10.gamesWon.x","JungleRisk10.winRate.y","JungleRisk10.gamesPlayed.y","JungleRisk10.gamesWon.y","JungleRisk10.HOlessequal","JungleRisk10.HOgreaterequal","JungleRisk10.HOequal","JungleRisk10.riskDifference","JungleRisk10.riskLower","JungleRisk10.riskUpper"
"Camille",0.4363,48363,21101,0.4475,41332,18496,4e-04,0.9996,8e-04,-0.0112,-0.0145,-0.0079
"Elise",0.498,872166,434339,0.4994,675759,337474,0.0421,0.9579,0.0841,-0.0014,-0.0022,-6e-04
"Gragas",0.4454,335623,149486,0.452,274456,124054,0,1,0,-0.0066,-0.0079,-0.0053
"Jax",0.4933,926391,456989,0.495,747228,369878,0.0144,0.9856,0.0288,-0.0017,-0.0025,-9e-04
"Karthus",0.4715,245793,115891,0.4757,188479,89659,0.003,0.997,0.006,-0.0042,-0.0057,-0.0027
"Kindred",0.4874,337222,164362,0.4897,303569,148658,0.0329,0.9671,0.0658,-0.0023,-0.0036,-0.001
"Lee Sin",0.4756,2810630,1336736,0.4779,2316739,1107170,0,1,0,-0.0023,-0.0027,-0.0019
"Master Yi",0.5128,1893868,971176,0.5139,1560656,802021,0.0209,0.9791,0.0418,-0.0011,-0.0016,-6e-04
"Nocturne",0.4966,677832,336611,0.4935,539861,266421,0.9997,3e-04,7e-04,0.0031,0.0022,0.004
"Nunu",0.5108,566309,289271,0.5125,455435,233410,0.0439,0.9561,0.0878,-0.0017,-0.0027,-7e-04
"Olaf",0.5003,842425,421465,0.503,746225,375351,3e-04,0.9997,7e-04,-0.0027,-0.0035,-0.0019
"Pantheon",0.4429,190913,84555,0.4492,129610,58221,2e-04,0.9998,4e-04,-0.0063,-0.0081,-0.0045
"Qiyana",0.3826,30195,11553,0.3918,21046,8246,0.0177,0.9823,0.0355,-0.0092,-0.0136,-0.0048
"Rammus",0.5188,649086,336746,0.5221,530962,277215,2e-04,0.9998,4e-04,-0.0033,-0.0042,-0.0024
"Rek'Sai",0.4915,444716,218578,0.4934,372963,184020,0.0435,0.9565,0.087,-0.0019,-0.003,-8e-04
"Rengar",0.4767,487118,232209,0.4803,400588,192402,4e-04,0.9996,7e-04,-0.0036,-0.0047,-0.0025
"Shaco",0.5061,844734,427520,0.5092,702935,357935,1e-04,0.9999,1e-04,-0.0031,-0.0039,-0.0023
"Sylas",0.4678,495974,232017,0.4715,389362,183584,3e-04,0.9997,5e-04,-0.0037,-0.0048,-0.0026
"Trundle",0.5209,969746,505141,0.5234,816121,427158,4e-04,0.9996,9e-04,-0.0025,-0.0033,-0.0017
"Wukong",0.5118,588191,301036,0.5156,455532,234872,1e-04,0.9999,1e-04,-0.0038,-0.0048,-0.0028
"Zac",0.5151,1240630,639049,0.518,1032598,534886,0,1,0,-0.0029,-0.0036,-0.0022
