"JungleRisk5.champName","JungleRisk5.winRate.x","JungleRisk5.gamesPlayed.x","JungleRisk5.gamesWon.x","JungleRisk5.winRate.y","JungleRisk5.gamesPlayed.y","JungleRisk5.gamesWon.y","JungleRisk5.HOlessequal","JungleRisk5.HOgreaterequal","JungleRisk5.HOequal","JungleRisk5.riskDifference","JungleRisk5.riskLower","JungleRisk5.riskUpper"
"Camille",0.4494,53483,24035,0.4381,52037,22797,0.9999,1e-04,2e-04,0.0113,0.0082,0.0144
"Cho'Gath",0.4926,76859,37861,0.4863,78621,38233,0.9936,0.0064,0.0129,0.0063,0.0038,0.0088
"Dr. Mundo",0.5107,329804,168431,0.5146,215872,111088,0.0024,0.9976,0.0048,-0.0039,-0.0053,-0.0025
"Elise",0.5078,1228812,623991,0.5028,1191729,599201,1,0,0,0.005,0.0044,0.0056
"Evelynn",0.478,557967,266708,0.4717,572431,270016,1,0,0,0.0063,0.0054,0.0072
"Fiddlesticks",0.4697,174487,81957,0.4662,202402,94360,0.9842,0.0158,0.0317,0.0035,0.0019,0.0051
"Gragas",0.4575,588266,269132,0.4525,505103,228559,1,0,0,0.005,0.004,0.006
"Jarvan IV",0.5055,1468899,742528,0.5021,1457111,731615,1,0,0,0.0034,0.0028,0.004
"Jax",0.5005,1121848,561485,0.4981,1214544,604964,0.9999,1e-04,2e-04,0.0024,0.0017,0.0031
"Karthus",0.4845,422935,204912,0.4878,389914,190200,0.0015,0.9985,0.0029,-0.0033,-0.0044,-0.0022
"Kha'Zix",0.4939,1018433,503004,0.4906,1071258,525559,1,0,0,0.0033,0.0026,0.004
"Lee Sin",0.4797,3640733,1746460,0.4765,3413416,1626493,1,0,0,0.0032,0.0028,0.0036
"Malphite",0.4772,241532,115259,0.4719,267393,126183,0.9999,1e-04,2e-04,0.0053,0.0039,0.0067
"Master Yi",0.5155,2492844,1285061,0.5164,2477243,1279248,0.0224,0.9776,0.0447,-9e-04,-0.0013,-5e-04
"Nocturne",0.5092,968233,493024,0.5049,960464,484938,1,0,0,0.0043,0.0036,0.005
"Olaf",0.5027,1097788,551858,0.499,1104455,551123,1,0,0,0.0037,0.003,0.0044
"Pantheon",0.4557,243539,110981,0.451,258831,116733,0.9996,4e-04,8e-04,0.0047,0.0033,0.0061
"Poppy",0.5062,190713,96539,0.5032,159671,80346,0.9617,0.0383,0.0766,0.003,0.0013,0.0047
"Qiyana",0.3746,104489,39142,0.3823,45841,17525,0.0023,0.9977,0.0046,-0.0077,-0.0104,-0.005
"Rek'Sai",0.4919,548581,269847,0.4881,511406,249617,1,0,1e-04,0.0038,0.0028,0.0048
"Rengar",0.4745,540372,256407,0.47,553158,259984,1,0,0,0.0045,0.0035,0.0055
"Sejuani",0.5034,696649,350693,0.499,665097,331883,1,0,0,0.0044,0.0035,0.0053
"Sylas",0.4787,287072,137421,0.4715,290486,136964,1,0,0,0.0072,0.0059,0.0085
"Trundle",0.5296,639353,338601,0.525,719628,377805,1,0,0,0.0046,0.0037,0.0055
"Udyr",0.5088,344839,175454,0.5045,361906,182582,0.9998,2e-04,3e-04,0.0043,0.0031,0.0055
"Vi",0.5119,860898,440694,0.508,927299,471068,1,0,0,0.0039,0.0032,0.0046
"Volibear",0.5319,454746,241879,0.5288,523973,277077,0.9989,0.0011,0.0022,0.0031,0.0021,0.0041
"Warwick",0.5291,1601353,847276,0.5261,1837206,966554,1,0,0,0.003,0.0025,0.0035
"Xin Zhao",0.4913,616890,303078,0.4835,622995,301218,1,0,0,0.0078,0.0069,0.0087
"Zac",0.5258,1673342,879843,0.5204,1647592,857407,1,0,0,0.0054,0.0049,0.0059
