"JungleRisk7.champName","JungleRisk7.winRate.x","JungleRisk7.gamesPlayed.x","JungleRisk7.gamesWon.x","JungleRisk7.winRate.y","JungleRisk7.gamesPlayed.y","JungleRisk7.gamesWon.y","JungleRisk7.HOlessequal","JungleRisk7.HOgreaterequal","JungleRisk7.HOequal","JungleRisk7.riskDifference","JungleRisk7.riskLower","JungleRisk7.riskUpper"
"Dr. Mundo",0.5167,198488,102559,0.5243,233273,122305,0,1,0,-0.0076,-0.0091,-0.0061
"Ekko",0.5105,1883914,961738,0.5083,1840475,935513,1,0,0,0.0022,0.0017,0.0027
"Elise",0.5005,1167259,584213,0.4957,1043101,517065,1,0,0,0.0048,0.0041,0.0055
"Gragas",0.4526,531682,240639,0.4502,514199,231492,0.9932,0.0068,0.0137,0.0024,0.0014,0.0034
"Graves",0.5094,1238264,630772,0.5115,1773705,907250,2e-04,0.9998,3e-04,-0.0021,-0.0027,-0.0015
"Hecarim",0.5004,665308,332920,0.4959,639795,317274,1,0,0,0.0045,0.0036,0.0054
"Jarvan IV",0.5036,1572027,791673,0.5001,1500268,750284,1,0,0,0.0035,0.0029,0.0041
"Jax",0.4967,1206674,599355,0.4945,1207097,596909,0.9997,3e-04,6e-04,0.0022,0.0016,0.0028
"Karthus",0.4867,419218,204033,0.4886,451094,220405,0.0381,0.9619,0.0761,-0.0019,-0.003,-8e-04
"Kayn",0.4847,1342958,650932,0.4831,1450929,700944,0.9963,0.0037,0.0075,0.0016,0.001,0.0022
"Kha'Zix",0.4925,1142320,562593,0.4912,1177871,578570,0.9762,0.0238,0.0476,0.0013,6e-04,0.002
"Lee Sin",0.4781,3367642,1610070,0.4774,3349616,1599107,0.9653,0.0347,0.0694,7e-04,3e-04,0.0011
"Nunu",0.516,568887,293546,0.5179,623802,323067,0.0191,0.9809,0.0381,-0.0019,-0.0028,-0.001
"Olaf",0.5009,1104870,553429,0.4988,1033228,515374,0.9989,0.0011,0.0022,0.0021,0.0014,0.0028
"Pantheon",0.4513,242681,109522,0.4473,228950,102409,0.9971,0.0029,0.0058,0.004,0.0026,0.0054
"Rek'Sai",0.4906,507396,248928,0.4875,458197,223371,0.9988,0.0012,0.0023,0.0031,0.0021,0.0041
"Rengar",0.473,589663,278911,0.4747,591755,280906,0.0322,0.9678,0.0644,-0.0017,-0.0026,-8e-04
"Sejuani",0.4974,658233,327405,0.4954,656521,325241,0.9891,0.0109,0.0219,0.002,0.0011,0.0029
"Shaco",0.5079,1075628,546311,0.5063,1089351,551538,0.9907,0.0093,0.0186,0.0016,9e-04,0.0023
"Shyvana",0.524,917767,480910,0.521,998084,520002,1,0,0,0.003,0.0023,0.0037
"Skarner",0.4988,109993,54865,0.4945,108377,53592,0.978,0.022,0.0441,0.0043,0.0022,0.0064
"Sylas",0.4726,324160,153198,0.4665,589709,275099,1,0,0,0.0061,0.005,0.0072
"Taliyah",0.4766,89887,42840,0.4706,82696,38917,0.9936,0.0064,0.0127,0.006,0.0036,0.0084
"Trundle",0.5267,840394,442636,0.5246,1052140,551953,0.998,0.002,0.004,0.0021,0.0014,0.0028
"Tryndamere",0.4551,119157,54228,0.4588,126865,58206,0.0326,0.9674,0.0652,-0.0037,-0.0057,-0.0017
"Twitch",0.4575,183533,83966,0.4544,169869,77188,0.9678,0.0322,0.0644,0.0031,0.0014,0.0048
"Udyr",0.5053,367444,185669,0.5027,359268,180604,0.9866,0.0134,0.0267,0.0026,0.0014,0.0038
"Volibear",0.5309,554722,294502,0.525,562567,295348,1,0,0,0.0059,0.005,0.0068
"Warwick",0.5251,1919197,1007770,0.5232,1953768,1022211,0.9999,1e-04,2e-04,0.0019,0.0014,0.0024
