"JungleRisk3.champName","JungleRisk3.winRate.x","JungleRisk3.gamesPlayed.x","JungleRisk3.gamesWon.x","JungleRisk3.winRate.y","JungleRisk3.gamesPlayed.y","JungleRisk3.gamesWon.y","JungleRisk3.HOlessequal","JungleRisk3.HOgreaterequal","JungleRisk3.HOequal","JungleRisk3.riskDifference","JungleRisk3.riskLower","JungleRisk3.riskUpper"
"Camille",0.4549,60009,27298,0.4429,56751,25135,1,0,0,0.012,0.0091,0.0149
"Cho'Gath",0.4782,69607,33286,0.4958,68662,34043,0,1,0,-0.0176,-0.0203,-0.0149
"Dr. Mundo",0.5166,322968,166845,0.5128,297968,152798,0.9986,0.0014,0.0028,0.0038,0.0025,0.0051
"Elise",0.5067,1513900,767093,0.5049,1210250,611055,0.9984,0.0016,0.0031,0.0018,0.0012,0.0024
"Evelynn",0.4843,608418,294657,0.4827,516065,249105,0.9546,0.0454,0.0908,0.0016,7e-04,0.0025
"Fiddlesticks",0.4849,154222,74782,0.4775,126695,60497,1,0,1e-04,0.0074,0.0055,0.0093
"Gragas",0.4617,569947,263145,0.455,506406,230415,1,0,0,0.0067,0.0057,0.0077
"Graves",0.5001,575303,287709,0.4941,463836,229181,1,0,0,0.006,0.005,0.007
"Hecarim",0.4904,499079,244748,0.4951,447387,221501,0,1,0,-0.0047,-0.0057,-0.0037
"Jarvan IV",0.5078,1431014,726669,0.5067,1269476,643243,0.9645,0.0355,0.071,0.0011,5e-04,0.0017
"Jax",0.5057,1079872,546091,0.5024,951673,478121,1,0,0,0.0033,0.0026,0.004
"Karthus",0.4941,392649,194008,0.4893,435189,212938,1,0,0,0.0048,0.0037,0.0059
"Kayn",0.4962,1244613,617577,0.4937,1104029,545059,0.9999,1e-04,1e-04,0.0025,0.0018,0.0032
"Kha'Zix",0.4958,1176747,583431,0.492,926340,455759,1,0,0,0.0038,0.0031,0.0045
"Lee Sin",0.4796,3900453,1870657,0.476,3308128,1574669,1,0,0,0.0036,0.0032,0.004
"Maokai",0.5018,38685,19412,0.5127,63492,32552,4e-04,0.9996,7e-04,-0.0109,-0.0141,-0.0077
"Master Yi",0.5229,2381647,1245363,0.5183,2226524,1154007,1,0,0,0.0046,0.0041,0.0051
"Nidalee",0.4714,606493,285901,0.4648,482486,224259,1,0,0,0.0066,0.0056,0.0076
"Nocturne",0.5141,1042759,536082,0.5069,851735,431744,1,0,0,0.0072,0.0065,0.0079
"Nunu",0.5056,450249,227646,0.5197,465655,242001,0,1,0,-0.0141,-0.0151,-0.0131
"Olaf",0.5035,1089340,548483,0.5005,947347,474147,1,0,0,0.003,0.0023,0.0037
"Pantheon",0.4621,211103,97551,0.4577,194189,88880,0.9975,0.0025,0.005,0.0044,0.0028,0.006
"Poppy",0.4923,94412,46479,0.4994,102407,51142,8e-04,0.9992,0.0016,-0.0071,-0.0094,-0.0048
"Qiyana",0.385,171832,66155,0.3947,64160,25324,0,1,0,-0.0097,-0.012,-0.0074
"Rek'Sai",0.4992,588855,293956,0.4891,505845,247409,1,0,0,0.0101,0.0091,0.0111
"Rengar",0.4794,619858,297160,0.4695,476325,223635,1,0,0,0.0099,0.0089,0.0109
"Shaco",0.5187,1064641,552229,0.5132,944003,484462,1,0,0,0.0055,0.0048,0.0062
"Shyvana",0.5306,689020,365594,0.5264,676180,355941,1,0,0,0.0042,0.0033,0.0051
"Tryndamere",0.4662,110624,51573,0.4598,109699,50440,0.9987,0.0013,0.0026,0.0064,0.0043,0.0085
"Twitch",0.4681,186179,87150,0.4571,150592,68836,1,0,0,0.011,0.0093,0.0127
"Vi",0.5198,935107,486069,0.5146,826952,425549,1,0,0,0.0052,0.0044,0.006
"Volibear",0.5217,368066,192020,0.534,358482,191429,0,1,0,-0.0123,-0.0135,-0.0111
"Wukong",0.4727,159846,75559,0.4653,143367,66709,1,0,0,0.0074,0.0056,0.0092
"Xin Zhao",0.4947,682279,337523,0.4896,567721,277956,1,0,0,0.0051,0.0042,0.006
"Zac",0.5173,921867,476882,0.5285,1297445,685700,0,1,0,-0.0112,-0.0119,-0.0105
