"JungleRisk4.champName","JungleRisk4.winRate.x","JungleRisk4.gamesPlayed.x","JungleRisk4.gamesWon.x","JungleRisk4.winRate.y","JungleRisk4.gamesPlayed.y","JungleRisk4.gamesWon.y","JungleRisk4.HOlessequal","JungleRisk4.HOgreaterequal","JungleRisk4.HOequal","JungleRisk4.riskDifference","JungleRisk4.riskLower","JungleRisk4.riskUpper"
"Camille",0.4429,56751,25135,0.4494,53483,24035,0.0151,0.9849,0.0301,-0.0065,-0.0095,-0.0035
"Diana",0.4933,383285,189074,0.4882,315046,153805,1,0,0,0.0051,0.0039,0.0063
"Dr. Mundo",0.5128,297968,152798,0.5107,329804,168431,0.9517,0.0483,0.0965,0.0021,8e-04,0.0034
"Ekko",0.5137,1591326,817464,0.5098,1722436,878098,1,0,0,0.0039,0.0034,0.0044
"Elise",0.5049,1210250,611055,0.5078,1228812,623991,0,1,0,-0.0029,-0.0035,-0.0023
"Evelynn",0.4827,516065,249105,0.478,557967,266708,1,0,0,0.0047,0.0037,0.0057
"Fiddlesticks",0.4775,126695,60497,0.4697,174487,81957,1,0,0,0.0078,0.006,0.0096
"Gragas",0.455,506406,230415,0.4575,588266,269132,0.0044,0.9956,0.0088,-0.0025,-0.0035,-0.0015
"Jarvan IV",0.5067,1269476,643243,0.5055,1468899,742528,0.9762,0.0238,0.0476,0.0012,6e-04,0.0018
"Jax",0.5024,951673,478121,0.5005,1121848,561485,0.9968,0.0032,0.0064,0.0019,0.0012,0.0026
"Karthus",0.4893,435189,212938,0.4845,422935,204912,1,0,0,0.0048,0.0037,0.0059
"Kha'Zix",0.492,926340,455759,0.4939,1018433,503004,0.0041,0.9959,0.0081,-0.0019,-0.0026,-0.0012
"Kindred",0.4798,321120,154073,0.477,340271,162309,0.9886,0.0114,0.0227,0.0028,0.0016,0.004
"Lee Sin",0.476,3308128,1574669,0.4797,3640733,1746460,0,1,0,-0.0037,-0.0041,-0.0033
"Master Yi",0.5183,2226524,1154007,0.5155,2492844,1285061,1,0,0,0.0028,0.0023,0.0033
"Nocturne",0.5069,851735,431744,0.5092,968233,493024,0.001,0.999,0.002,-0.0023,-0.003,-0.0016
"Nunu",0.5197,465655,242001,0.5162,527134,272107,0.9998,2e-04,5e-04,0.0035,0.0025,0.0045
"Olaf",0.5005,947347,474147,0.5027,1097788,551858,9e-04,0.9991,0.0017,-0.0022,-0.0029,-0.0015
"Poppy",0.4994,102407,51142,0.5062,190713,96539,2e-04,0.9998,4e-04,-0.0068,-0.0087,-0.0049
"Qiyana",0.3947,64160,25324,0.3746,104489,39142,1,0,0,0.0201,0.0177,0.0225
"Rek'Sai",0.4891,505845,247409,0.4919,548581,269847,0.002,0.998,0.0041,-0.0028,-0.0038,-0.0018
"Rengar",0.4695,476325,223635,0.4745,540372,256407,0,1,0,-0.005,-0.006,-0.004
"Sejuani",0.505,653295,329914,0.5034,696649,350693,0.9684,0.0316,0.0631,0.0016,7e-04,0.0025
"Shaco",0.5132,944003,484462,0.5161,1096948,566135,0,1,0,-0.0029,-0.0036,-0.0022
"Shyvana",0.5264,676180,355941,0.5245,824591,432498,0.9898,0.0102,0.0204,0.0019,0.0011,0.0027
"Tryndamere",0.4598,109699,50440,0.4551,124748,56773,0.9887,0.0113,0.0226,0.0047,0.0026,0.0068
"Twitch",0.4571,150592,68836,0.4516,156324,70596,0.9989,0.0011,0.0022,0.0055,0.0037,0.0073
"Vi",0.5146,826952,425549,0.5119,860898,440694,0.9998,2e-04,5e-04,0.0027,0.0019,0.0035
"Volibear",0.534,358482,191429,0.5319,454746,241879,0.9702,0.0298,0.0595,0.0021,0.001,0.0032
"Warwick",0.5202,1260333,655625,0.5291,1601353,847276,0,1,0,-0.0089,-0.0095,-0.0083
"Wukong",0.4653,143367,66709,0.4621,152256,70357,0.9597,0.0403,0.0807,0.0032,0.0014,0.005
"Xin Zhao",0.4896,567721,277956,0.4913,616890,303078,0.0322,0.9678,0.0644,-0.0017,-0.0026,-8e-04
"Zac",0.5285,1297445,685700,0.5258,1673342,879843,1,0,0,0.0027,0.0021,0.0033
