"JungleRisk12.champName","JungleRisk12.winRate.x","JungleRisk12.gamesPlayed.x","JungleRisk12.gamesWon.x","JungleRisk12.winRate.y","JungleRisk12.gamesPlayed.y","JungleRisk12.gamesWon.y","JungleRisk12.HOlessequal","JungleRisk12.HOgreaterequal","JungleRisk12.HOequal","JungleRisk12.riskDifference","JungleRisk12.riskLower","JungleRisk12.riskUpper"
"Amumu",0.5232,873615,457075,0.5206,804296,418716,0.9996,4e-04,8e-04,0.0026,0.0018,0.0034
"Diana",0.4734,119304,56479,0.4667,107630,50231,0.9993,7e-04,0.0014,0.0067,0.0046,0.0088
"Elise",0.4999,670708,335287,0.498,633349,315408,0.9849,0.0151,0.0301,0.0019,0.001,0.0028
"Graves",0.5031,1360244,684339,0.5046,1450964,732156,0.006,0.994,0.012,-0.0015,-0.0021,-9e-04
"Hecarim",0.5046,791243,399261,0.5022,629466,316118,0.9978,0.0022,0.0045,0.0024,0.0016,0.0032
"Ivern",0.5043,163066,82234,0.5001,148579,74304,0.9904,0.0096,0.0191,0.0042,0.0024,0.006
"Jarvan IV",0.4974,739702,367928,0.4923,681428,335467,1,0,0,0.0051,0.0043,0.0059
"Karthus",0.4805,194832,93617,0.4778,203236,97106,0.956,0.044,0.088,0.0027,0.0011,0.0043
"Kayn",0.5129,2302060,1180727,0.5084,2464162,1252780,1,0,0,0.0045,0.004,0.005
"Kindred",0.4875,317703,154880,0.483,321301,155188,0.9998,2e-04,3e-04,0.0045,0.0032,0.0058
"Lee Sin",0.4762,2558514,1218364,0.4724,2495263,1178762,1,0,0,0.0038,0.0034,0.0042
"Master Yi",0.5142,1668153,857764,0.5093,1592777,811201,1,0,0,0.0049,0.0043,0.0055
"Olaf",0.4967,765541,380244,0.4873,704180,343147,1,0,0,0.0094,0.0086,0.0102
"Rek'Sai",0.4899,387758,189963,0.4877,348310,169871,0.9703,0.0297,0.0594,0.0022,0.001,0.0034
"Rengar",0.4774,389339,185870,0.4735,365825,173218,0.9997,3e-04,7e-04,0.0039,0.0028,0.005
"Sejuani",0.4921,326417,160630,0.4884,306885,149883,0.9984,0.0016,0.0032,0.0037,0.0024,0.005
"Shaco",0.5061,712460,360576,0.504,750874,378440,0.9945,0.0055,0.0111,0.0021,0.0013,0.0029
"Sylas",0.4682,432430,202464,0.4647,447096,207766,0.9995,5e-04,0.001,0.0035,0.0024,0.0046
"Twitch",0.4659,145350,67719,0.4626,162685,75258,0.9668,0.0332,0.0665,0.0033,0.0015,0.0051
"Udyr",0.5146,301895,155355,0.5104,280244,143037,0.9993,7e-04,0.0014,0.0042,0.0029,0.0055
"Wukong",0.5146,515270,265158,0.5109,508587,259837,0.9999,1e-04,2e-04,0.0037,0.0027,0.0047
"Xin Zhao",0.494,489035,241583,0.4908,446011,218902,0.999,0.001,0.002,0.0032,0.0022,0.0042
"Zac",0.5171,992781,513367,0.5152,943653,486170,0.9959,0.0041,0.0082,0.0019,0.0012,0.0026
