"JungleRisk11.champName","JungleRisk11.winRate.x","JungleRisk11.gamesPlayed.x","JungleRisk11.gamesWon.x","JungleRisk11.winRate.y","JungleRisk11.gamesPlayed.y","JungleRisk11.gamesWon.y","JungleRisk11.HOlessequal","JungleRisk11.HOgreaterequal","JungleRisk11.HOequal","JungleRisk11.riskDifference","JungleRisk11.riskLower","JungleRisk11.riskUpper"
"Amumu",0.5258,856127,450152,0.5232,873615,457075,0.9997,3e-04,6e-04,0.0026,0.0018,0.0034
"Cho'Gath",0.4885,52089,25445,0.4785,51629,24704,0.9994,6e-04,0.0013,0.01,0.0069,0.0131
"Diana",0.478,116064,55479,0.4734,119304,56479,0.9873,0.0127,0.0255,0.0046,0.0025,0.0067
"Dr. Mundo",0.5228,186548,97527,0.5135,171175,87898,1,0,0,0.0093,0.0076,0.011
"Ekko",0.5078,1333055,676925,0.5066,1503649,761749,0.9781,0.0219,0.0437,0.0012,6e-04,0.0018
"Gragas",0.452,274456,124054,0.4468,296954,132679,1,0,1e-04,0.0052,0.0039,0.0065
"Jax",0.495,747228,369878,0.4909,772109,379028,1,0,0,0.0041,0.0033,0.0049
"Karthus",0.4757,188479,89659,0.4805,194832,93617,0.0015,0.9985,0.0029,-0.0048,-0.0064,-0.0032
"Kayn",0.5151,2214954,1140923,0.5129,2302060,1180727,1,0,0,0.0022,0.0017,0.0027
"Kha'Zix",0.4899,737107,361109,0.4879,703372,343175,0.9918,0.0082,0.0163,0.002,0.0012,0.0028
"Kindred",0.4897,303569,148658,0.4875,317703,154880,0.9587,0.0413,0.0827,0.0022,9e-04,0.0035
"Lee Sin",0.4779,2316739,1107170,0.4762,2558514,1218364,0.9999,1e-04,2e-04,0.0017,0.0012,0.0022
"Nidalee",0.471,450169,212030,0.4686,496922,232858,0.9903,0.0097,0.0194,0.0024,0.0014,0.0034
"Nocturne",0.4935,539861,266421,0.4918,567688,279189,0.9631,0.0369,0.0738,0.0017,7e-04,0.0027
"Nunu",0.5125,455435,233410,0.5098,466955,238054,0.9952,0.0048,0.0095,0.0027,0.0017,0.0037
"Olaf",0.503,746225,375351,0.4967,765541,380244,1,0,0,0.0063,0.0055,0.0071
"Rek'Sai",0.4934,372963,184020,0.4899,387758,189963,0.9989,0.0011,0.0023,0.0035,0.0024,0.0046
"Rengar",0.4803,400588,192402,0.4774,389339,185870,0.9951,0.0049,0.0099,0.0029,0.0018,0.004
"Sett",0.5076,265176,134603,0.5029,334459,168199,0.9999,1e-04,3e-04,0.0047,0.0034,0.006
"Shaco",0.5092,702935,357935,0.5061,712460,360576,0.9999,1e-04,2e-04,0.0031,0.0023,0.0039
"Shyvana",0.5229,677489,354259,0.5205,712462,370836,0.9977,0.0023,0.0046,0.0024,0.0016,0.0032
"Sylas",0.4715,389362,183584,0.4682,432430,202464,0.9986,0.0014,0.0028,0.0033,0.0022,0.0044
"Vi",0.5093,599831,305494,0.5078,625234,317494,0.9515,0.0485,0.0969,0.0015,6e-04,0.0024
"Warwick",0.5188,1264837,656197,0.5159,1273178,656833,1,0,0,0.0029,0.0023,0.0035
"Xin Zhao",0.4957,503552,249611,0.494,489035,241583,0.9549,0.0451,0.0901,0.0017,7e-04,0.0027
