"JungleRisk6.champName","JungleRisk6.winRate.x","JungleRisk6.gamesPlayed.x","JungleRisk6.gamesWon.x","JungleRisk6.winRate.y","JungleRisk6.gamesPlayed.y","JungleRisk6.gamesWon.y","JungleRisk6.HOlessequal","JungleRisk6.HOgreaterequal","JungleRisk6.HOequal","JungleRisk6.riskDifference","JungleRisk6.riskLower","JungleRisk6.riskUpper"
"Amumu",0.5304,1274013,675736,0.5293,1274256,674464,0.9606,0.0394,0.0787,0.0011,5e-04,0.0017
"Diana",0.4862,278890,135596,0.4814,251744,121190,0.9998,2e-04,5e-04,0.0048,0.0034,0.0062
"Ekko",0.5094,1847293,941011,0.5105,1883914,961738,0.0168,0.9832,0.0336,-0.0011,-0.0016,-6e-04
"Elise",0.5028,1191729,599201,0.5005,1167259,584213,0.9998,2e-04,4e-04,0.0023,0.0016,0.003
"Graves",0.5071,1039748,527256,0.5094,1238264,630772,3e-04,0.9997,5e-04,-0.0023,-0.003,-0.0016
"Jarvan IV",0.5021,1457111,731615,0.5036,1572027,791673,0.0045,0.9955,0.0091,-0.0015,-0.0021,-9e-04
"Jax",0.4981,1214544,604964,0.4967,1206674,599355,0.9853,0.0147,0.0294,0.0014,8e-04,0.002
"Kha'Zix",0.4906,1071258,525559,0.4925,1142320,562593,0.0024,0.9976,0.0047,-0.0019,-0.0026,-0.0012
"Lee Sin",0.4765,3413416,1626493,0.4781,3367642,1610070,0,1,0,-0.0016,-0.002,-0.0012
"Master Yi",0.5164,2477243,1279248,0.519,2489267,1291930,0,1,0,-0.0026,-0.003,-0.0022
"Olaf",0.499,1104455,551123,0.5009,1104870,553429,0.0024,0.9976,0.0047,-0.0019,-0.0026,-0.0012
"Poppy",0.5032,159671,80346,0.5083,147252,74848,0.0024,0.9976,0.0047,-0.0051,-0.0069,-0.0033
"Rammus",0.5233,875809,458311,0.5189,854816,443564,1,0,0,0.0044,0.0036,0.0052
"Rek'Sai",0.4881,511406,249617,0.4906,507396,248928,0.0058,0.9942,0.0116,-0.0025,-0.0035,-0.0015
"Rengar",0.47,553158,259984,0.473,589663,278911,7e-04,0.9993,0.0013,-0.003,-0.0039,-0.0021
"Sejuani",0.499,665097,331883,0.4974,658233,327405,0.9671,0.0329,0.0658,0.0016,7e-04,0.0025
"Sett",0.5139,483685,248566,0.516,502148,259108,0.0186,0.9814,0.0371,-0.0021,-0.0031,-0.0011
"Trundle",0.525,719628,377805,0.5267,840394,442636,0.017,0.983,0.034,-0.0017,-0.0025,-9e-04
"Twitch",0.449,171653,77072,0.4575,183533,83966,0,1,0,-0.0085,-0.0102,-0.0068
"Vi",0.508,927299,471068,0.511,947007,483921,0,1,0,-0.003,-0.0037,-0.0023
"Volibear",0.5288,523973,277077,0.5309,554722,294502,0.0145,0.9855,0.029,-0.0021,-0.0031,-0.0011
"Warwick",0.5261,1837206,966554,0.5251,1919197,1007770,0.9738,0.0262,0.0523,0.001,5e-04,0.0015
"Zac",0.5204,1647592,857407,0.5179,1630736,844558,1,0,0,0.0025,0.0019,0.0031
