"JungleRisk1.champName","JungleRisk1.winRate.x","JungleRisk1.gamesPlayed.x","JungleRisk1.gamesWon.x","JungleRisk1.winRate.y","JungleRisk1.gamesPlayed.y","JungleRisk1.gamesWon.y","JungleRisk1.HOlessequal","JungleRisk1.HOgreaterequal","JungleRisk1.HOequal","JungleRisk1.riskDifference","JungleRisk1.riskLower","JungleRisk1.riskUpper"
"Amumu",0.5193,938550,487389,0.5161,756493,390426,1,0,0,0.0032,0.0024,0.004
"Diana",0.4805,404133,194186,0.4775,336470,160664,0.995,0.005,0.01,0.003,0.0018,0.0042
"Elise",0.5125,1447568,741879,0.5074,1310701,665050,1,0,0,0.0051,0.0045,0.0057
"Evelynn",0.483,659260,318423,0.4813,522756,251602,0.967,0.033,0.066,0.0017,8e-04,0.0026
"Fiddlesticks",0.4892,174745,85485,0.484,144624,69998,0.9983,0.0017,0.0034,0.0052,0.0034,0.007
"Gragas",0.4675,511898,239312,0.4596,415783,191094,1,0,0,0.0079,0.0069,0.0089
"Graves",0.4994,538222,268788,0.4965,464295,230522,0.9981,0.0019,0.0038,0.0029,0.0019,0.0039
"Hecarim",0.4892,603422,295194,0.4874,469761,228962,0.9678,0.0322,0.0644,0.0018,8e-04,0.0028
"Ivern",0.5198,139344,72431,0.5111,117661,60137,1,0,0,0.0087,0.0067,0.0107
"Jarvan IV",0.5092,1374283,699785,0.5073,1222987,620421,0.9989,0.0011,0.0022,0.0019,0.0013,0.0025
"Karthus",0.5007,273010,136696,0.4963,247903,123034,0.9992,8e-04,0.0015,0.0044,0.003,0.0058
"Kayn",0.4979,1512971,753308,0.4966,1164213,578148,0.9825,0.0175,0.0349,0.0013,7e-04,0.0019
"Kha'Zix",0.4923,1283700,631966,0.4946,1067947,528207,2e-04,0.9998,4e-04,-0.0023,-0.003,-0.0016
"Malphite",0.4815,240986,116035,0.4784,189985,90889,0.9784,0.0216,0.0431,0.0031,0.0016,0.0046
"Master Yi",0.5169,2434514,1258400,0.5203,2100888,1093092,0,1,0,-0.0034,-0.0039,-0.0029
"Nidalee",0.4797,587478,281813,0.4767,515983,245969,0.9992,8e-04,0.0016,0.003,0.002,0.004
"Olaf",0.4998,1184124,591825,0.4979,930662,463377,0.9969,0.0031,0.0061,0.0019,0.0012,0.0026
"Pantheon",0.461,207929,95855,0.4651,180463,83933,0.0053,0.9947,0.0106,-0.0041,-0.0057,-0.0025
"Rammus",0.5125,600971,307998,0.5065,476898,241549,1,0,0,0.006,0.005,0.007
"Rek'Sai",0.5038,587232,295847,0.5009,495437,248164,0.9987,0.0013,0.0026,0.0029,0.0019,0.0039
"Skarner",0.4921,110837,54543,0.4991,60785,30338,0.0028,0.9972,0.0055,-0.007,-0.0095,-0.0045
"Taliyah",0.4889,133014,65031,0.4803,127519,61247,1,0,0,0.0086,0.0066,0.0106
"Twitch",0.4578,292907,134093,0.4545,250844,114009,0.9925,0.0075,0.0149,0.0033,0.0019,0.0047
"Udyr",0.5039,388504,195767,0.506,286018,144725,0.0441,0.9559,0.0882,-0.0021,-0.0033,-9e-04
"Volibear",0.5238,487276,255235,0.5188,354155,183736,1,0,0,0.005,0.0039,0.0061
"Zac",0.5191,943166,489597,0.515,816808,420656,1,0,0,0.0041,0.0033,0.0049
