"JungleRisk8.champName","JungleRisk8.winRate.x","JungleRisk8.gamesPlayed.x","JungleRisk8.gamesWon.x","JungleRisk8.winRate.y","JungleRisk8.gamesPlayed.y","JungleRisk8.gamesWon.y","JungleRisk8.HOlessequal","JungleRisk8.HOgreaterequal","JungleRisk8.HOequal","JungleRisk8.riskDifference","JungleRisk8.riskLower","JungleRisk8.riskUpper"
"Amumu",0.5292,1305008,690610,0.5258,1225528,644383,1,0,0,0.0034,0.0028,0.004
"Diana",0.4795,249470,119621,0.4769,215982,103002,0.9617,0.0383,0.0766,0.0026,0.0011,0.0041
"Dr. Mundo",0.5243,233273,122305,0.5215,225730,117718,0.9712,0.0288,0.0575,0.0028,0.0013,0.0043
"Ekko",0.5083,1840475,935513,0.5056,1718149,868696,1,0,0,0.0027,0.0022,0.0032
"Gragas",0.4502,514199,231492,0.4464,430915,192360,0.9999,1e-04,2e-04,0.0038,0.0028,0.0048
"Jarvan IV",0.5001,1500268,750284,0.4979,1223418,609140,0.9998,2e-04,3e-04,0.0022,0.0016,0.0028
"Jax",0.4945,1207097,596909,0.4919,1102762,542449,1,0,1e-04,0.0026,0.0019,0.0033
"Kindred",0.4869,405323,197352,0.4891,383799,187716,0.0254,0.9746,0.0508,-0.0022,-0.0033,-0.0011
"Lee Sin",0.4774,3349616,1599107,0.4762,3220801,1533745,0.999,0.001,0.0021,0.0012,8e-04,0.0016
"Malphite",0.4715,244439,115253,0.4665,218043,101717,0.9997,3e-04,7e-04,0.005,0.0035,0.0065
"Nunu",0.5179,623802,323067,0.5143,601407,309304,1,0,1e-04,0.0036,0.0027,0.0045
"Olaf",0.4988,1033228,515374,0.4959,926355,459379,1,0,1e-04,0.0029,0.0022,0.0036
"Rammus",0.518,819229,424361,0.5165,758113,391565,0.9703,0.0297,0.0595,0.0015,7e-04,0.0023
"Sejuani",0.4954,656521,325241,0.4918,566683,278695,1,0,1e-04,0.0036,0.0027,0.0045
"Shaco",0.5063,1089351,551538,0.5076,988510,501768,0.0305,0.9695,0.0611,-0.0013,-0.002,-6e-04
"Shyvana",0.521,998084,520002,0.5192,849080,440842,0.9927,0.0073,0.0146,0.0018,0.0011,0.0025
"Tryndamere",0.4588,126865,58206,0.4528,117840,53358,0.9986,0.0014,0.0029,0.006,0.004,0.008
"Volibear",0.525,562567,295348,0.5221,519657,271313,0.9987,0.0013,0.0025,0.0029,0.0019,0.0039
"Warwick",0.5232,1953768,1022211,0.5201,1842095,958074,1,0,0,0.0031,0.0026,0.0036
"Xin Zhao",0.4994,741045,370078,0.4969,706964,351290,0.9987,0.0013,0.0026,0.0025,0.0017,0.0033
"Zac",0.518,1608179,833037,0.5152,1417220,730152,1,0,0,0.0028,0.0022,0.0034
