"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Senna",0.4955,1745799,865043,0.496,1581264,784307,0.3754,-0.0016,6e-04,0.3621
"Alistar",0.5043,837891,422548,0.5046,781929,394561,0,-0.0104,-0.0073,0
"Anivia",0.4548,42385,19277,0.4427,42238,18699,0,0.0459,0.0593,0
"Annie",0.4671,71550,33421,0.4695,70758,33221,0,0.0222,0.0326,0
"Blitzcrank",0.5153,2236809,1152628,0.5149,2209749,1137800,0,-0.02,-0.0178,0
"Brand",0.5242,1146630,601063,0.5233,1110441,581094,0,-0.0287,-0.0261,0
"Braum",0.4835,835967,404190,0.4852,781460,379164,0,0.0095,0.0126,0
"Galio",0.5097,297705,151740,0.5083,300207,152595,0,-0.0142,-0.0092,0
"Ivern",0.4552,10688,4865,0.4488,10645,4777,0,0.0361,0.0628,0
"Janna",0.5231,864222,452075,0.5242,895243,469286,0,-0.0295,-0.0266,0
"Karma",0.4958,786433,389913,0.4968,823896,409312,0.3186,-0.0023,7e-04,0.2386
"Leona",0.5077,2528984,1283965,0.5082,2410932,1225236,0,-0.0134,-0.0111,0
"Lulu",0.5081,1517501,771042,0.5103,1637432,835582,0,-0.0155,-0.0133,0
"Lux",0.4912,2207011,1084084,0.4893,2105600,1030270,0,0.0057,0.0079,0
"Malphite",0.4917,522564,256945,0.4931,509573,251270,5e-04,0.0015,0.0054,3e-04
"Maokai",0.5259,365521,192227,0.5244,372060,195108,0,-0.0312,-0.0266,0
"Morgana",0.4964,2600204,1290741,0.4954,2452065,1214753,0.267,-5e-04,0.0017,0.2393
"Nautilus",0.4998,2430767,1214897,0.5015,2348190,1177617,0,-0.0064,-0.0042,0
"Neeko",0.4884,176664,86283,0.4851,178239,86464,0,0.0069,0.0135,0
"Pantheon",0.4825,90279,43560,0.4854,101069,49059,0,0.0083,0.017,0
"Poppy",0.4792,73825,35377,0.4832,74342,35922,0,0.0085,0.0187,0
"Pyke",0.4875,1872679,912931,0.4887,1824141,891458,0,0.0062,0.0084,0
"Rakan",0.486,818958,398014,0.4858,732280,355742,0,0.0087,0.0119,0
"Shaco",0.5286,226003,119465,0.5288,225425,119205,0,-0.0358,-0.03,0
"Shen",0.4885,180153,88005,0.4874,175099,85343,1e-04,0.0034,0.01,0
"Sion",0.5045,42340,21361,0.5013,41539,20824,0.172,-0.0115,0.0021,0.0326
"Sona",0.5221,755759,394582,0.5245,771426,404613,0,-0.0303,-0.0272,0
"Swain",0.5228,759873,397262,0.5225,734472,383762,0,-0.0276,-0.0244,0
"Tahm Kench",0.4468,169981,75948,0.4516,158298,71487,0,0.0413,0.0482,0
"Taliyah",0.4955,14762,7315,0.4975,14162,7046,0.8595,-0.0128,0.0107,0.7172
"Taric",0.5272,611205,322227,0.5279,570646,301244,0,-0.0338,-0.0301,0
"Thresh",0.4851,3300425,1601036,0.4871,3275640,1595564,0,0.0085,0.0108,0
"Veigar",0.483,285866,138073,0.483,272999,131859,0,0.0099,0.0152,0
"Vel'Koz",0.5161,528999,273016,0.5158,527401,272033,0,-0.023,-0.0192,0
"Volibear",0.4926,103335,50903,0.4943,103197,51010,0.4677,-0.0027,0.0059,0.2892
"Xerath",0.5103,606883,309692,0.511,590009,301495,0,-0.0172,-0.0136,0
"Yuumi",0.4915,2044259,1004753,0.4959,2303339,1142226,0.8256,-0.001,0.0012,0.8465
"Ziggs",0.4923,50612,24916,0.4914,50983,25053,0.0082,0.0021,0.0144,0.0408
"Zilean",0.5174,598176,309496,0.5173,583132,301654,0,-0.0227,-0.0191,0
"Zyra",0.5174,976208,505090,0.5207,894626,465832,0,-0.0263,-0.0234,0
