"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Maokai",0.522,302393,157849,0.5219,223722,116761,0.9023,-0.0031,0.0027,0.9443
"Alistar",0.504,689437,347476,0.5045,547732,276331,0,0.0143,0.0202,0
"Anivia",0.4533,36677,16626,0.4485,29928,13423,0,0.0645,0.0805,0
"Bard",0.5117,661734,338609,0.5101,674790,344210,0,0.0079,0.0137,0
"Blitzcrank",0.5152,1949201,1004228,0.513,1563757,802207,0,0.0065,0.0124,0
"Brand",0.5227,977578,510980,0.5222,811747,423894,0.7739,-0.0034,0.0025,0.8031
"Braum",0.4846,660824,320235,0.4849,517927,251143,0,0.0335,0.0393,0
"Galio",0.5124,268649,137656,0.5121,217317,111288,0,0.0067,0.0127,0
"Karma",0.4958,762114,377856,0.4957,700977,347474,0,0.0231,0.029,0
"Leona",0.508,2092433,1062956,0.509,1681892,856083,0,0.0106,0.0165,0
"Lulu",0.509,1528882,778201,0.5108,1356869,693089,0,0.0086,0.0145,0
"Malphite",0.4936,418988,206812,0.4892,484743,237136,0,0.0308,0.0366,0
"Morgana",0.494,2068456,1021817,0.4921,1676869,825187,0,0.0245,0.0303,0
"Nami",0.518,1093134,566243,0.5173,916725,474222,0.0795,-3e-04,0.0056,1e-04
"Nautilus",0.501,2067013,1035574,0.5008,1706539,854635,0,0.0185,0.0244,0
"Neeko",0.4845,152237,73759,0.4831,122806,59328,0,0.0363,0.0442,0
"Pantheon",0.4904,116653,57207,0.4867,82092,39954,0,0.0328,0.0424,0
"Poppy",0.4814,69594,33503,0.4795,59926,28735,0,0.0364,0.0477,0
"Pyke",0.4896,1571696,769502,0.4877,1280361,624432,0,0.0287,0.0345,0
"Rakan",0.4864,622565,302816,0.4866,499793,243199,0,0.032,0.0378,0
"Senna",0.4956,1405889,696759,0.4971,1517008,754105,0,0.0223,0.0282,0
"Sett",0.4827,442789,213734,0.483,375203,181223,0,0.0363,0.0421,0
"Shaco",0.528,193318,102072,0.5237,155623,81500,0.2124,-0.0058,0.0013,0.2751
"Shen",0.4871,159538,77711,0.4884,130306,63641,0,0.031,0.0386,0
"Sion",0.5036,34282,17264,0.4979,27634,13759,0,0.012,0.0287,0
"Sona",0.5217,668468,348740,0.5205,527803,274721,0.25,-0.0012,0.0046,0.2656
"Swain",0.5187,658496,341562,0.5177,542409,280805,0.0054,0.0012,0.0071,8e-04
"Tahm Kench",0.4504,129776,58451,0.4493,101968,45814,0,0.0673,0.076,0
"Taliyah",0.4959,12670,6283,0.5013,10136,5081,0,0.0158,0.0432,0
"Thresh",0.4874,2840000,1384216,0.4867,2321904,1130071,0,0.0326,0.0385,0
"Veigar",0.484,223935,108385,0.4814,173375,83463,0,0.037,0.0437,0
"Vel'Koz",0.5141,446413,229501,0.5137,378202,194282,0,0.0059,0.0117,0
"Xerath",0.5091,500183,254643,0.5031,395195,198823,0,0.0159,0.0217,0
"Yuumi",0.4965,2147317,1066143,0.5007,1887977,945310,0,0.0189,0.0248,0
"Ziggs",0.4917,44891,22073,0.4855,34802,16896,0,0.033,0.0479,0
"Zilean",0.5148,508295,261670,0.5156,396617,204496,0,0.0034,0.0093,0
"Zyra",0.5184,760764,394380,0.5179,629377,325954,0.0135,8e-04,0.0066,0.0011
