"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"Annie",0.33,30.56,0.01,0.63,1371
"Galio",1.11,40.48,0.03,0.51,5586
"Twisted Fate",1.69,42.52,0.05,0.29,8788
"LeBlanc",0.1,34.74,0.01,12.94,1212
"Vladimir",0.05,28.94,0,9.63,767
"Kayle",1,43.73,0.04,0.71,5909
"Alistar",0.52,36.74,0.02,0.5,2714
"Ryze",0.26,32.18,0.01,1.22,2321
"Sivir",0.07,24.83,0,0.33,302
"Soraka",0.16,21.67,0.01,4.65,1906
"Tristana",0.41,39.47,0.03,1.27,5163
"Miss Fortune",0.03,28.76,0.01,12.1,1335
"Ashe",0.1,33.9,0.01,1.75,2077
"Morgana",0.35,45.99,0.05,32.63,7472
"Zilean",0.08,29.95,0,0.55,434
"Anivia",0.4,18.1,0.01,0.44,1337
"Sona",0.08,25.93,0,0.97,513
"Kassadin",0.43,48.01,0.02,8.97,3520
"Irelia",0.28,31.62,0.02,3.62,3647
"Janna",0.1,21.58,0,0.3,695
"Gangplank",0.14,25.99,0,0.69,581
"Corki",0.41,34.46,0,0.21,531
"Karma",0.14,36.69,0.01,0.3,943
"Taric",0.99,47.8,0.03,0.93,4900
"Veigar",0.1,33.17,0.01,2.91,1251
"Swain",0.06,35.95,0,1.99,484
"Caitlyn",0.03,25.49,0.01,15.51,1165
"Blitzcrank",0.18,34.01,0.02,32.78,3781
"Katarina",0.21,33.82,0.02,8.32,3143
"Renekton",0.45,38.82,0.04,5.66,5757
"Orianna",0.07,32.48,0,0.64,468
"Brand",1.26,47.09,0.09,6.61,14282
"Vayne",0.51,43.23,0.08,11.54,13487
"Cassiopeia",0.09,34.51,0,4.2,710
"Heimerdinger",0.32,31.58,0.01,1,1330
"Ezreal",0.34,38.02,0.09,3.72,13987
"Yorick",0.67,42.18,0.02,1.25,3108
"Akali",0.17,22.79,0.01,7.36,1334
"Kennen",0.2,34.23,0,0.49,631
"Leona",0.3,44.75,0.04,31.49,6537
"Malzahar",0.3,35.9,0.01,5.37,2178
"Kog'Maw",0.91,43.77,0.01,0.09,1814
"Lux",0.09,38.04,0.01,4.05,2400
"Xerath",0.04,26.21,0,1.3,351
"Ahri",0.08,35.9,0.01,3.64,986
"Fizz",0.95,42.24,0.08,21.43,13614
"Varus",0.08,32.19,0,0.39,727
"Nautilus",1.26,46.03,0.18,31.46,28901
