"MiddleMerged6.champName","MiddleMerged6.winRate.x","MiddleMerged6.gamesPlayed.x","MiddleMerged6.gamesWon.x","MiddleMerged6.winRate.y","MiddleMerged6.gamesPlayed.y","MiddleMerged6.gamesWon.y","MiddleMerged6.HOlessequal","MiddleMerged6.HOgreaterequal","MiddleMerged6.HOequal"
"Aatrox",0.4991,110033,54917,0.5037,110888,55854,0.0153,0.9847,0.0305
"Ahri",0.5103,1423288,726304,0.51,1481980,755810,0.6954,0.3046,0.6092
"Annie",0.5034,430140,216532,0.5047,451737,227992,0.1108,0.8892,0.2216
"Aurelion Sol",0.5039,116285,58596,0.5065,131108,66406,0.0985,0.9015,0.197
"Azir",0.4591,315968,145061,0.4545,404833,183997,0.9999,1e-04,1e-04
"Brand",0.4956,226135,112073,0.4968,226170,112361,0.2105,0.7895,0.4209
"Camille",0.5057,52314,26455,0.5106,46415,23699,0.0624,0.9376,0.1248
"Cassiopeia",0.5099,683011,348267,0.5095,724216,368988,0.6822,0.3178,0.6355
"Cho'Gath",0.5067,167883,85066,0.5091,153946,78374,0.0866,0.9134,0.1733
"Diana",0.5245,1722512,903458,0.5241,1812886,950134,0.7742,0.2258,0.4516
"Ekko",0.5159,1157204,597002,0.5161,1220122,629705,0.3791,0.6209,0.7582
"Fizz",0.52,1641319,853486,0.5204,1755089,913348,0.2306,0.7694,0.4612
"Gangplank",0.47,56197,26413,0.4744,54919,26054,0.0709,0.9291,0.1418
"Heimerdinger",0.5115,226938,116079,0.5102,230086,117390,0.8104,0.1896,0.3792
"Irelia",0.4528,814944,369007,0.4534,825960,374490,0.2204,0.7796,0.4407
"Jayce",0.4905,113577,55710,0.4902,122530,60064,0.5591,0.4409,0.8819
"Karma",0.492,68512,33708,0.4877,64982,31692,0.9418,0.0582,0.1165
"Karthus",0.4794,52315,25080,0.4765,52087,24819,0.8269,0.1731,0.3462
"Kassadin",0.4977,915340,455565,0.4978,1069585,532439,0.4445,0.5555,0.8891
"Katarina",0.5073,1630358,827081,0.5075,1677699,851432,0.3583,0.6417,0.7166
"Kayle",0.5109,73174,37385,0.5073,72718,36890,0.9157,0.0843,0.1687
"Kennen",0.5094,63566,32381,0.5094,65579,33406,0.501,0.499,0.9981
"Kled",0.5491,56901,31244,0.5498,52429,28825,0.4085,0.5915,0.817
"LeBlanc",0.4754,1195227,568211,0.4755,1252196,595419,0.4379,0.5621,0.8759
"Lissandra",0.4955,324248,160665,0.491,338751,166327,0.9999,1e-04,2e-04
"Lucian",0.4641,352720,163697,0.4682,375618,175864,2e-04,0.9998,5e-04
"Lux",0.5138,1289576,662584,0.5128,1379509,707412,0.9488,0.0512,0.1024
"Malphite",0.5152,300851,154998,0.5159,290360,149797,0.2945,0.7055,0.589
"Malzahar",0.5179,707342,366332,0.5175,756159,391312,0.6857,0.3143,0.6286
"Mordekaiser",0.5256,284201,149376,0.5238,281051,147215,0.9121,0.0879,0.1759
"Neeko",0.5153,460492,237292,0.5139,479848,246594,0.9129,0.0871,0.1743
"Orianna",0.4834,686680,331941,0.4821,715481,344933,0.9383,0.0617,0.1235
"Pantheon",0.4874,662623,322962,0.49,641092,314135,0.0015,0.9985,0.003
"Pyke",0.5183,197337,102280,0.5206,223865,116544,0.0681,0.9319,0.1363
"Qiyana",0.4621,431982,199619,0.4633,423417,196169,0.133,0.867,0.266
"Quinn",0.5088,36017,18325,0.5094,33866,17251,0.4368,0.5632,0.8735
"Renekton",0.5138,182979,94015,0.516,185233,95580,0.0912,0.9088,0.1824
"Rumble",0.5186,305195,158274,0.5178,297909,154257,0.733,0.267,0.5339
"Swain",0.531,142062,75435,0.531,146379,77727,0.5005,0.4995,0.999
"Sylas",0.4838,1524966,737779,0.4853,1584298,768860,0.0041,0.9959,0.0082
"Syndra",0.5042,1008314,508392,0.504,1218536,614142,0.6169,0.3831,0.7661
"Taliyah",0.4965,57601,28599,0.4998,55256,27617,0.1339,0.8661,0.2678
"Vel'Koz",0.528,493895,260777,0.5281,523486,276453,0.4601,0.5399,0.9202
"Viktor",0.5055,381820,193010,0.5049,406818,205402,0.7031,0.2969,0.5937
"Vladimir",0.5003,956527,478550,0.5014,967846,485278,0.0634,0.9366,0.1269
"Yasuo",0.4996,2748518,1373160,0.502,2715251,1363056,0,1,0
"Zed",0.4966,1988508,987493,0.499,2082412,1039124,0,1,0
"Ziggs",0.5066,388678,196904,0.5061,413387,209215,0.6727,0.3273,0.6546
"Zilean",0.5333,118090,62977,0.5304,128287,68043,0.9252,0.0748,0.1496
"Zoe",0.477,664698,317061,0.476,713929,339830,0.88,0.12,0.2399
