"MiddleMerged8.champName","MiddleMerged8.winRate.x","MiddleMerged8.gamesPlayed.x","MiddleMerged8.gamesWon.x","MiddleMerged8.winRate.y","MiddleMerged8.gamesPlayed.y","MiddleMerged8.gamesWon.y","MiddleMerged8.HOlessequal","MiddleMerged8.HOgreaterequal","MiddleMerged8.HOequal"
"Aatrox",0.5028,110427,55523,0.5037,95791,48250,0.3421,0.6579,0.6842
"Ahri",0.5082,1491454,757957,0.5074,1352074,686042,0.9112,0.0888,0.1776
"Akali",0.4401,972314,427915,0.4427,972711,430619,1e-04,0.9999,3e-04
"Anivia",0.5149,323257,166445,0.5146,298855,153791,0.5932,0.4068,0.8135
"Annie",0.502,522715,262403,0.502,500515,251259,0.4997,0.5003,0.9994
"Aurelion Sol",0.5046,150518,75951,0.5097,142898,72835,0.0029,0.9971,0.0057
"Azir",0.4475,489053,218851,0.4528,399724,180995,0,1,0
"Brand",0.4968,210957,104803,0.4949,195147,96578,0.8867,0.1133,0.2265
"Camille",0.5119,45817,23454,0.5139,46344,23816,0.2728,0.7272,0.5456
"Cassiopeia",0.51,758176,386670,0.5122,749259,383770,0.0035,0.9965,0.0069
"Cho'Gath",0.5063,152806,77366,0.5105,158431,80879,0.0096,0.9904,0.0192
"Corki",0.48,376889,180907,0.4815,499972,240737,0.082,0.918,0.1639
"Diana",0.5254,1810129,951042,0.5253,1764696,926995,0.5751,0.4249,0.8498
"Ekko",0.5157,1192163,614798,0.5144,1227196,631270,0.9784,0.0216,0.0432
"Fizz",0.5182,1723624,893182,0.5184,1591409,824986,0.3581,0.6419,0.7162
"Galio",0.5193,886139,460172,0.5186,853301,442522,0.8221,0.1779,0.3557
"Gangplank",0.4719,59431,28045,0.4658,67888,31622,0.9852,0.0148,0.0297
"Heimerdinger",0.5141,231611,119071,0.5086,231100,117537,0.9999,1e-04,2e-04
"Irelia",0.4575,777249,355591,0.4585,760376,348632,0.1067,0.8933,0.2134
"Jayce",0.4878,147845,72119,0.4927,147433,72640,0.0039,0.9961,0.0078
"Kassadin",0.4943,1264006,624798,0.4924,1286967,633703,0.9988,0.0012,0.0024
"Katarina",0.5058,1642075,830562,0.5082,1525250,775132,0,1,0
"Kayle",0.5093,73812,37592,0.5071,73881,37465,0.8005,0.1995,0.3989
"Kennen",0.5102,62804,32043,0.5098,59049,30103,0.5568,0.4432,0.8864
"Kled",0.5471,50900,27847,0.5452,49644,27066,0.7264,0.2736,0.5472
"LeBlanc",0.4728,1374770,649991,0.4751,1292454,614045,1e-04,0.9999,2e-04
"Lucian",0.4688,365815,171494,0.4679,341324,159705,0.7761,0.2239,0.4479
"Lux",0.5091,1182407,601963,0.5101,1112225,567346,0.0649,0.9351,0.1298
"Malphite",0.5137,298390,153283,0.5139,280297,144045,0.4392,0.5608,0.8784
"Malzahar",0.5179,749227,388025,0.5197,730062,379413,0.0143,0.9857,0.0285
"Mordekaiser",0.5248,252122,132314,0.5229,231848,121233,0.9073,0.0927,0.1855
"Morgana",0.5273,268509,141585,0.5266,236896,124749,0.6912,0.3088,0.6176
"Neeko",0.5118,483285,247345,0.5095,462025,235402,0.9873,0.0127,0.0254
"Nocturne",0.5248,208507,109424,0.5294,206328,109230,0.0015,0.9985,0.003
"Pantheon",0.4868,602501,293297,0.485,576732,279715,0.9747,0.0253,0.0507
"Pyke",0.521,215927,112498,0.5227,204847,107074,0.1346,0.8654,0.2692
"Qiyana",0.4607,399879,184224,0.4633,391717,181482,0.0102,0.9898,0.0204
"Renekton",0.5136,194464,99877,0.5111,180398,92201,0.9373,0.0627,0.1254
"Riven",0.4883,59703,29153,0.4921,54268,26705,0.1003,0.8997,0.2006
"Rumble",0.5176,266095,137731,0.5179,255133,132133,0.4149,0.5851,0.8298
"Swain",0.5307,145620,77281,0.5288,139169,73593,0.8451,0.1549,0.3098
"Sylas",0.4839,1430590,692263,0.484,1399323,677272,0.4336,0.5664,0.8671
"Syndra",0.5049,1329227,671127,0.5063,1440694,729423,0.01,0.99,0.0199
"Taliyah",0.498,54052,26918,0.4959,51892,25733,0.7535,0.2465,0.493
"Talon",0.4945,981299,485252,0.4959,981639,486795,0.0249,0.9751,0.0497
"Twisted Fate",0.4871,598008,291290,0.4876,645978,314979,0.2887,0.7113,0.5775
"Veigar",0.5115,1254040,641441,0.5105,1182819,603829,0.9407,0.0593,0.1187
"Vel'Koz",0.5307,534708,283770,0.5312,523723,278202,0.3032,0.6968,0.6065
"Viktor",0.5049,399638,201777,0.5042,385176,194206,0.732,0.268,0.536
"Vladimir",0.5018,1032865,518292,0.5011,1012455,507341,0.8418,0.1582,0.3164
"Xerath",0.5138,658083,338123,0.5111,591839,302489,0.9987,0.0013,0.0026
"Yasuo",0.5066,2685377,1360412,0.5069,2604040,1319988,0.2451,0.7549,0.4902
"Zed",0.4994,2034886,1016222,0.4974,1945883,967882,1,0,1e-04
"Ziggs",0.5057,396027,200271,0.5039,371537,187217,0.9427,0.0573,0.1146
"Zilean",0.5293,133502,70663,0.5289,113749,60162,0.579,0.421,0.842
"Zoe",0.4762,719340,342550,0.4798,712260,341742,0,1,0
