"MiddleMerged12.champName","MiddleMerged12.winRate.x","MiddleMerged12.gamesPlayed.x","MiddleMerged12.gamesWon.x","MiddleMerged12.winRate.y","MiddleMerged12.gamesPlayed.y","MiddleMerged12.gamesWon.y","MiddleMerged12.HOlessequal","MiddleMerged12.HOgreaterequal","MiddleMerged12.HOequal"
"Aatrox",0.4988,76062,37940,0.497,74652,37102,0.7582,0.2418,0.4837
"Ahri",0.5115,1009446,516332,0.5124,1018772,522019,0.0999,0.9001,0.1999
"Anivia",0.5116,216717,110872,0.5159,218236,112588,0.0023,0.9977,0.0045
"Annie",0.5234,565504,295985,0.5273,548181,289056,0,1,0
"Aurelion Sol",0.5139,122993,63206,0.5128,126942,65096,0.7085,0.2915,0.583
"Azir",0.4532,286481,129833,0.4484,342375,153521,0.9999,1e-04,1e-04
"Camille",0.5154,49653,25591,0.5175,54172,28034,0.2491,0.7509,0.4982
"Cho'Gath",0.5058,100497,50831,0.5056,96858,48971,0.5355,0.4645,0.9291
"Corki",0.4803,279205,134102,0.4813,273198,131490,0.2285,0.7715,0.4571
"Diana",0.5183,1143805,592834,0.5139,1061839,545679,1,0,0
"Ekko",0.512,925166,473685,0.5161,958377,494618,0,1,0
"Fizz",0.5181,1179696,611200,0.5218,1169406,610196,0,1,0
"Galio",0.5198,708009,368023,0.5227,762858,398746,2e-04,0.9998,4e-04
"Gangplank",0.4673,39680,18542,0.4676,34898,16318,0.467,0.533,0.9341
"Gragas",0.4852,31481,15275,0.4884,31488,15379,0.2113,0.7887,0.4225
"Heimerdinger",0.5069,181912,92211,0.5102,186793,95302,0.0225,0.9775,0.0449
"Irelia",0.4645,646869,300471,0.4615,641808,296194,0.9997,3e-04,6e-04
"Jayce",0.4919,107496,52877,0.4929,116547,57446,0.3177,0.6823,0.6354
"Karma",0.4908,87847,43115,0.4938,138613,68447,0.0818,0.9182,0.1637
"Karthus",0.4632,29694,13754,0.4675,36144,16897,0.1355,0.8645,0.2711
"Kassadin",0.4987,822591,410226,0.5024,912691,458536,0,1,0
"Katarina",0.5058,1090202,551424,0.5056,1101363,556849,0.6164,0.3836,0.7672
"Kayle",0.5052,52422,26484,0.5066,50715,25692,0.3279,0.6721,0.6558
"Kennen",0.5072,44532,22587,0.5113,51579,26372,0.1032,0.8968,0.2065
"Kled",0.541,35798,19367,0.5424,36403,19745,0.3537,0.6463,0.7073
"LeBlanc",0.4747,839128,398334,0.4758,850791,404806,0.0762,0.9238,0.1524
"Lissandra",0.4948,297868,147385,0.496,291749,144708,0.178,0.822,0.356
"Lux",0.5229,896626,468846,0.5255,907878,477090,2e-04,0.9998,5e-04
"Malphite",0.515,198010,101975,0.5165,197457,101987,0.1722,0.8278,0.3443
"Malzahar",0.5185,516373,267739,0.5174,515939,266947,0.8681,0.1319,0.2639
"Mordekaiser",0.523,173222,90595,0.5181,163486,84702,0.9978,0.0022,0.0044
"Morgana",0.525,165003,86627,0.5243,179668,94200,0.66,0.34,0.6801
"Neeko",0.5094,327310,166732,0.5097,356750,181835,0.4028,0.5972,0.8056
"Orianna",0.5001,745782,372966,0.4994,864702,431832,0.8124,0.1876,0.3751
"Pantheon",0.4889,434486,212420,0.4871,438252,213473,0.9536,0.0464,0.0928
"Pyke",0.5263,194057,102132,0.5282,221486,116989,0.1103,0.8897,0.2206
"Qiyana",0.4684,274860,128744,0.4681,293552,137412,0.5888,0.4112,0.8223
"Quinn",0.5241,34150,17898,0.528,38462,20308,0.1466,0.8534,0.2932
"Renekton",0.5079,137841,70009,0.5116,136430,69798,0.0261,0.9739,0.0522
"Riven",0.4907,44356,21765,0.4893,42601,20845,0.6581,0.3419,0.6838
"Rumble",0.515,181139,93287,0.518,189352,98084,0.0341,0.9659,0.0681
"Swain",0.5252,94640,49705,0.5277,99437,52473,0.1351,0.8649,0.2702
"Sylas",0.486,911559,443018,0.4833,900407,435167,0.9999,1e-04,3e-04
"Taliyah",0.4994,45372,22659,0.4972,58975,29322,0.7606,0.2394,0.4788
"Talon",0.4919,733867,360989,0.4899,743676,364327,0.9925,0.0075,0.0151
"Twisted Fate",0.492,851226,418803,0.4907,927136,454946,0.9583,0.0417,0.0834
"Veigar",0.5065,759227,384548,0.509,760597,387144,0.001,0.999,0.002
"Vel'Koz",0.5278,432464,228254,0.5303,453573,240530,0.0092,0.9908,0.0184
"Vladimir",0.5016,763062,382752,0.5059,751121,379992,0,1,0
"Xerath",0.5077,396452,201279,0.5097,411912,209952,0.0361,0.9639,0.0721
"Zed",0.4941,1661973,821181,0.4937,1644864,812069,0.7667,0.2333,0.4666
"Ziggs",0.498,280563,139720,0.5009,294869,147700,0.0139,0.9861,0.0278
"Zilean",0.5295,67462,35721,0.5328,69639,37104,0.11,0.89,0.22
"Zoe",0.4807,537399,258328,0.4791,642588,307864,0.9585,0.0415,0.0831
