"MiddleMerged10.champName","MiddleMerged10.winRate.x","MiddleMerged10.gamesPlayed.x","MiddleMerged10.gamesWon.x","MiddleMerged10.winRate.y","MiddleMerged10.gamesPlayed.y","MiddleMerged10.gamesWon.y","MiddleMerged10.HOlessequal","MiddleMerged10.HOgreaterequal","MiddleMerged10.HOequal"
"Aatrox",0.4997,94000,46972,0.4972,76260,37916,0.8483,0.1517,0.3033
"Ahri",0.5135,1259088,646542,0.5109,1042680,532705,1,0,1e-04
"Akali",0.4437,861182,382106,0.4442,751639,333878,0.2617,0.7383,0.5234
"Anivia",0.5154,267015,137620,0.5129,219270,112464,0.9587,0.0413,0.0826
"Aurelion Sol",0.511,122221,62455,0.5151,105962,54581,0.0254,0.9746,0.0507
"Azir",0.4563,306567,139887,0.4562,247196,112771,0.5298,0.4702,0.9403
"Brand",0.4937,165281,81599,0.4899,137632,67426,0.9813,0.0187,0.0374
"Camille",0.5138,46668,23978,0.5164,41265,21309,0.2212,0.7788,0.4423
"Cho'Gath",0.5076,141368,71758,0.509,108974,55468,0.2429,0.7571,0.4857
"Corki",0.4803,336307,161528,0.48,290090,139243,0.5936,0.4064,0.8127
"Ekko",0.5129,1132516,580867,0.5113,942603,481953,0.9891,0.0109,0.0217
"Fizz",0.518,1408218,729457,0.5171,1188722,614688,0.926,0.074,0.1481
"Galio",0.5195,733600,381105,0.5199,615506,320002,0.3212,0.6788,0.6424
"Heimerdinger",0.51,205144,104623,0.5085,169936,86412,0.8199,0.1801,0.3601
"Jayce",0.492,133750,65805,0.4887,105891,51749,0.9457,0.0543,0.1086
"Karthus",0.4633,35790,16582,0.4599,27822,12795,0.805,0.195,0.3899
"Kassadin",0.4975,1029676,512264,0.498,824355,410529,0.2493,0.7507,0.4986
"Kayle",0.5027,69335,34855,0.5056,53425,27012,0.1567,0.8433,0.3134
"Kennen",0.5108,53569,27363,0.5107,45896,23439,0.5127,0.4873,0.9746
"LeBlanc",0.4735,1139224,539423,0.4727,897929,424451,0.872,0.128,0.2559
"Lissandra",0.4928,382630,188560,0.4944,304716,150652,0.0935,0.9065,0.1871
"Malphite",0.5149,232189,119554,0.5157,192710,99381,0.3011,0.6989,0.6021
"Malzahar",0.5172,681291,352364,0.5141,546679,281048,0.9997,3e-04,6e-04
"Mordekaiser",0.522,202882,105904,0.5218,180556,94214,0.5489,0.4511,0.9022
"Morgana",0.524,203296,106527,0.5214,164635,85841,0.9416,0.0584,0.1168
"Neeko",0.5088,396972,201979,0.5086,334773,170266,0.5669,0.4331,0.8661
"Nocturne",0.5321,195256,103896,0.53,180149,95479,0.9013,0.0987,0.1974
"Orianna",0.5039,749635,377741,0.5013,643687,322680,0.9989,0.0011,0.0022
"Pantheon",0.4833,536621,259349,0.4876,396498,193332,0,1,0
"Pyke",0.5228,190691,99693,0.5211,164242,85587,0.8434,0.1566,0.3133
"Qiyana",0.4672,327264,152898,0.4687,268526,125858,0.1243,0.8757,0.2487
"Quinn",0.5217,38357,20011,0.524,32328,16940,0.271,0.729,0.5419
"Renekton",0.5103,153942,78557,0.5072,133630,67777,0.9516,0.0484,0.0968
"Riven",0.4955,48218,23892,0.4899,42897,21015,0.9544,0.0456,0.0912
"Rumble",0.5181,233352,120900,0.5139,193203,99287,0.9969,0.0031,0.0063
"Ryze",0.4636,505348,234279,0.4626,410209,189763,0.8297,0.1703,0.3406
"Swain",0.5284,125417,66270,0.5257,97888,51460,0.8971,0.1029,0.2057
"Sylas",0.4834,1156537,559070,0.4843,922891,446956,0.0985,0.9015,0.197
"Taliyah",0.5015,48103,24124,0.4972,40345,20060,0.8984,0.1016,0.2032
"Veigar",0.5083,961648,488806,0.5058,786757,397942,0.9995,5e-04,0.001
"Vel'Koz",0.5286,467251,246989,0.5279,434462,229352,0.7475,0.2525,0.505
"Viktor",0.5004,327009,163635,0.5012,280512,140593,0.2665,0.7335,0.5329
"Vladimir",0.5008,879795,440601,0.4992,753429,376112,0.9792,0.0208,0.0416
"Xerath",0.509,491566,250207,0.5072,398790,202266,0.9545,0.0455,0.091
"Yasuo",0.5054,2252737,1138533,0.5144,2106352,1083507,0,1,0
"Zed",0.4975,1657840,824775,0.4957,1439459,713540,0.9992,8e-04,0.0016
"Ziggs",0.5008,313327,156914,0.4999,254658,127304,0.7495,0.2505,0.501
"Zilean",0.5277,94518,49877,0.525,71463,37518,0.8623,0.1377,0.2754
"Zoe",0.4823,573629,276661,0.4798,501110,240433,0.9951,0.0049,0.0097
