"MiddleMerged1.champName","MiddleMerged1.winRate.x","MiddleMerged1.gamesPlayed.x","MiddleMerged1.gamesWon.x","MiddleMerged1.winRate.y","MiddleMerged1.gamesPlayed.y","MiddleMerged1.gamesWon.y","MiddleMerged1.HOlessequal","MiddleMerged1.HOgreaterequal","MiddleMerged1.HOequal"
"Aatrox",0.4852,115182,55886,0.484,99370,48095,0.7101,0.2899,0.5798
"Ahri",0.515,1591394,819568,0.5149,1302158,670481,0.5673,0.4327,0.8653
"Akali",0.4527,1523378,689633,0.4561,1218180,555612,0,1,0
"Anivia",0.5165,322727,166688,0.5167,257417,133007,0.4398,0.5602,0.8795
"Annie",0.509,382466,194675,0.5091,323168,164525,0.4663,0.5337,0.9326
"Brand",0.5023,216132,108563,0.497,171152,85063,0.9995,5e-04,0.0011
"Camille",0.5063,60718,30742,0.5118,54865,28080,0.031,0.969,0.0621
"Cassiopeia",0.5126,732247,375350,0.5106,577975,295114,0.9885,0.0115,0.0229
"Cho'Gath",0.5086,161459,82118,0.5119,140822,72087,0.035,0.965,0.0701
"Diana",0.5342,1726009,922034,0.537,1530161,821696,0,1,0
"Ekko",0.5165,864174,446346,0.5191,706860,366931,6e-04,0.9994,0.0012
"Fizz",0.5277,1693834,893836,0.525,1359444,713708,1,0,0
"Galio",0.4921,377521,185778,0.488,289688,141368,0.9995,5e-04,9e-04
"Gangplank",0.4767,48875,23299,0.4739,45631,21625,0.8051,0.1949,0.3898
"Heimerdinger",0.5174,202324,104682,0.518,152582,79037,0.3618,0.6382,0.7237
"Irelia",0.4515,618674,279331,0.4523,570521,258047,0.1902,0.8098,0.3805
"Karthus",0.4849,55934,27122,0.4792,44095,21130,0.9634,0.0366,0.0732
"Katarina",0.508,1510386,767276,0.5061,1276628,646101,0.9992,8e-04,0.0016
"Kayle",0.5181,64588,33463,0.514,55607,28582,0.9219,0.0781,0.1562
"Kennen",0.5198,60191,31287,0.5167,53378,27580,0.8519,0.1481,0.2962
"Kled",0.5406,51003,27572,0.5426,48358,26239,0.2632,0.7368,0.5264
"LeBlanc",0.4789,1076140,515363,0.4772,963175,459627,0.9924,0.0076,0.0153
"Lissandra",0.4911,299176,146925,0.4859,245564,119320,0.9999,1e-04,1e-04
"Lucian",0.4767,262387,125080,0.4756,249059,118452,0.7849,0.2151,0.4301
"Lux",0.5167,1142956,590565,0.5113,874788,447279,1,0,0
"Malphite",0.5226,248948,130100,0.523,199365,104268,0.3946,0.6054,0.7892
"Malzahar",0.5223,804364,420119,0.521,661079,344422,0.9415,0.0585,0.117
"Morgana",0.5205,187072,97371,0.521,155286,80904,0.3854,0.6146,0.7707
"Neeko",0.4991,400074,199677,0.4972,297321,147828,0.9417,0.0583,0.1165
"Nocturne",0.5254,249787,131238,0.5259,193049,101524,0.3711,0.6289,0.7421
"Orianna",0.4939,810231,400173,0.4906,702457,344625,1,0,1e-04
"Pantheon",0.4915,175235,86128,0.4964,194479,96539,0.0015,0.9985,0.0029
"Quinn",0.5174,47852,24759,0.5167,35086,18129,0.5797,0.4203,0.8407
"Renekton",0.5073,131993,66960,0.5116,130333,66678,0.0139,0.9861,0.0277
"Rumble",0.5365,268418,144006,0.534,297854,159054,0.9701,0.0299,0.0597
"Ryze",0.4586,774071,354989,0.4558,622401,283690,0.9995,5e-04,0.001
"Swain",0.5375,175715,94447,0.5357,139015,74470,0.8432,0.1568,0.3137
"Syndra",0.4904,909276,445909,0.4847,654940,317449,1,0,0
"Taliyah",0.5086,74957,38123,0.5007,57673,28877,0.9978,0.0022,0.0044
"Talon",0.4898,1041542,510147,0.4911,989975,486177,0.0319,0.9681,0.0638
"Taric",0.6333,75582,47866,0.6387,117258,74893,0.008,0.992,0.016
"Twisted Fate",0.4934,552101,272407,0.4919,494457,243223,0.9375,0.0625,0.1251
"Veigar",0.5119,1109238,567819,0.5101,867265,442392,0.994,0.006,0.012
"Vel'Koz",0.5332,372744,198747,0.5268,300374,158237,1,0,0
"Vladimir",0.5048,930667,469801,0.5016,793027,397782,1,0,0
"Wukong",0.5434,95529,51910,0.55,81328,44730,0.0027,0.9973,0.0055
"Xerath",0.5059,565241,285955,0.5032,426881,214807,0.9961,0.0039,0.0078
"Yasuo",0.5008,2765409,1384917,0.4984,2338073,1165296,1,0,0
"Zed",0.4916,2039424,1002581,0.4937,1685549,832156,0,1,1e-04
"Zilean",0.5378,90957,48917,0.5357,77074,41289,0.8049,0.1951,0.3902
"Zoe",0.4883,558066,272504,0.4845,494483,239577,1,0,1e-04
