"MiddleMerged2.champName","MiddleMerged2.winRate.x","MiddleMerged2.gamesPlayed.x","MiddleMerged2.gamesWon.x","MiddleMerged2.winRate.y","MiddleMerged2.gamesPlayed.y","MiddleMerged2.gamesWon.y","MiddleMerged2.HOlessequal","MiddleMerged2.HOgreaterequal","MiddleMerged2.HOequal"
"Aatrox",0.484,99370,48095,0.4871,130211,63426,0.0703,0.9297,0.1406
"Ahri",0.5149,1302158,670481,0.5163,1406992,726430,0.0106,0.9894,0.0212
"Anivia",0.5167,257417,133007,0.5183,291674,151175,0.1178,0.8822,0.2356
"Aurelion Sol",0.523,127357,66608,0.5224,143148,74781,0.6222,0.3778,0.7556
"Brand",0.497,171152,85063,0.4981,183121,91213,0.2565,0.7435,0.513
"Camille",0.5118,54865,28080,0.5101,64660,32983,0.7213,0.2787,0.5573
"Cassiopeia",0.5106,577975,295114,0.5112,684853,350097,0.2507,0.7493,0.5014
"Cho'Gath",0.5119,140822,72087,0.511,168036,85866,0.6916,0.3084,0.6167
"Fizz",0.525,1359444,713708,0.5272,1498431,789973,1e-04,0.9999,2e-04
"Gangplank",0.4739,45631,21625,0.4723,58901,27819,0.6974,0.3026,0.6053
"Heimerdinger",0.518,152582,79037,0.5201,161360,83923,0.1195,0.8805,0.2389
"Irelia",0.4523,570521,258047,0.4548,664663,302289,0.0027,0.9973,0.0054
"Jayce",0.4767,78976,37648,0.4799,82163,39430,0.0995,0.9005,0.1989
"Karthus",0.4792,44095,21130,0.4783,48038,22977,0.6058,0.3942,0.7885
"Kassadin",0.4994,784924,391991,0.5042,845606,426355,0,1,0
"Katarina",0.5061,1276628,646101,0.5078,1443286,732901,0.0026,0.9974,0.0051
"Kayle",0.514,55607,28582,0.5149,66252,34113,0.3774,0.6226,0.7548
"Kennen",0.5167,53378,27580,0.5181,59154,30648,0.3179,0.6821,0.6357
"Kled",0.5426,48358,26239,0.5472,53820,29450,0.0704,0.9296,0.1408
"LeBlanc",0.4772,963175,459627,0.4782,1230953,588642,0.0705,0.9295,0.141
"Lissandra",0.4859,245564,119320,0.4873,259959,126678,0.1601,0.8399,0.3202
"Lucian",0.4756,249059,118452,0.4726,298471,141057,0.9866,0.0134,0.0269
"Lux",0.5113,874788,447279,0.5129,923434,473629,0.016,0.984,0.0319
"Malzahar",0.521,661079,344422,0.5198,683937,355510,0.9182,0.0818,0.1636
"Mordekaiser",0.5218,218313,113916,0.5261,260795,137204,0.0015,0.9985,0.003
"Morgana",0.521,155286,80904,0.5197,181324,94234,0.7742,0.2258,0.4515
"Neeko",0.4972,297321,147828,0.4982,300003,149461,0.2202,0.7798,0.4404
"Nocturne",0.5259,193049,101524,0.5301,197113,104490,0.0043,0.9957,0.0085
"Orianna",0.4906,702457,344625,0.4891,763594,373474,0.9652,0.0348,0.0697
"Pantheon",0.4964,194479,96539,0.4963,324559,161079,0.527,0.473,0.9461
"Quinn",0.5167,35086,18129,0.5213,39319,20497,0.1051,0.8949,0.2101
"Renekton",0.5116,130333,66678,0.5139,149064,76604,0.1122,0.8878,0.2244
"Riven",0.4895,69879,34206,0.4923,71068,34987,0.1466,0.8534,0.2931
"Ryze",0.4558,622401,283690,0.4577,718847,329016,0.0138,0.9862,0.0276
"Swain",0.5357,139015,74470,0.5368,148542,79737,0.2772,0.7228,0.5544
"Sylas",0.4858,884373,429628,0.4871,1101232,536410,0.0342,0.9658,0.0684
"Syndra",0.4847,654940,317449,0.486,779182,378682,0.0604,0.9396,0.1207
"Taliyah",0.5007,57673,28877,0.5033,64795,32611,0.1825,0.8175,0.365
"Talon",0.4911,989975,486177,0.4932,1145924,565170,0.0011,0.9989,0.0022
"Taric",0.6387,117258,74893,0.6338,67274,42638,0.9826,0.0174,0.0349
"Twisted Fate",0.4919,494457,243223,0.4913,507966,249564,0.7255,0.2745,0.5489
"Veigar",0.5101,867265,442392,0.5084,930830,473234,0.9887,0.0113,0.0227
"Vel'Koz",0.5268,300374,158237,0.5236,408739,214016,0.9962,0.0038,0.0077
"Vladimir",0.5016,793027,397782,0.5034,951188,478828,0.0089,0.9911,0.0179
"Wukong",0.55,81328,44730,0.544,124620,67793,0.9962,0.0038,0.0075
"Xerath",0.5032,426881,214807,0.5024,457079,229636,0.7745,0.2255,0.451
"Yasuo",0.4984,2338073,1165296,0.5041,2549903,1285406,0,1,0
"Zed",0.4937,1685549,832156,0.4942,1846183,912384,0.174,0.826,0.3479
"Zilean",0.5357,77074,41289,0.5336,85216,45471,0.8025,0.1975,0.395
"Zoe",0.4845,494483,239577,0.4812,642591,309215,0.9998,2e-04,5e-04
