"MiddleMerged7.champName","MiddleMerged7.winRate.x","MiddleMerged7.gamesPlayed.x","MiddleMerged7.gamesWon.x","MiddleMerged7.winRate.y","MiddleMerged7.gamesPlayed.y","MiddleMerged7.gamesWon.y","MiddleMerged7.HOlessequal","MiddleMerged7.HOgreaterequal","MiddleMerged7.HOequal"
"Aatrox",0.5037,110888,55854,0.5028,110427,55523,0.6631,0.3369,0.6738
"Ahri",0.51,1481980,755810,0.5082,1491454,757957,0.999,0.001,0.0019
"Anivia",0.5131,352537,180887,0.5149,323257,166445,0.0697,0.9303,0.1394
"Annie",0.5047,451737,227992,0.502,522715,262403,0.9961,0.0039,0.0078
"Aurelion Sol",0.5065,131108,66406,0.5046,150518,75951,0.8429,0.1571,0.3142
"Azir",0.4545,404833,183997,0.4475,489053,218851,1,0,0
"Brand",0.4968,226170,112361,0.4968,210957,104803,0.5002,0.4998,0.9995
"Camille",0.5106,46415,23699,0.5119,45817,23454,0.3446,0.6554,0.6892
"Cassiopeia",0.5095,724216,368988,0.51,758176,386670,0.2712,0.7288,0.5424
"Cho'Gath",0.5091,153946,78374,0.5063,152806,77366,0.9394,0.0606,0.1211
"Diana",0.5241,1812886,950134,0.5254,1810129,951042,0.0066,0.9934,0.0132
"Ekko",0.5161,1220122,629705,0.5157,1192163,614798,0.7331,0.2669,0.5338
"Fizz",0.5204,1755089,913348,0.5182,1723624,893182,1,0,0
"Gangplank",0.4744,54919,26054,0.4719,59431,28045,0.8027,0.1973,0.3946
"Heimerdinger",0.5102,230086,117390,0.5141,231611,119071,0.004,0.996,0.0081
"Irelia",0.4534,825960,374490,0.4575,777249,355591,0,1,0
"Jayce",0.4902,122530,60064,0.4878,147845,72119,0.8927,0.1073,0.2145
"Karma",0.4877,64982,31692,0.4902,64417,31577,0.1849,0.8151,0.3698
"Karthus",0.4765,52087,24819,0.4739,48361,22918,0.7949,0.2051,0.4102
"Kassadin",0.4978,1069585,532439,0.4943,1264006,624798,1,0,0
"Katarina",0.5075,1677699,851432,0.5058,1642075,830562,0.999,0.001,0.002
"Kayle",0.5073,72718,36890,0.5093,73812,37592,0.2229,0.7771,0.4458
"Kennen",0.5094,65579,33406,0.5102,62804,32043,0.3864,0.6136,0.7729
"Kled",0.5498,52429,28825,0.5471,50900,27847,0.8083,0.1917,0.3835
"LeBlanc",0.4755,1252196,595419,0.4728,1374770,649991,1,0,0
"Lissandra",0.491,338751,166327,0.4908,371289,182229,0.5668,0.4332,0.8664
"Lucian",0.4682,375618,175864,0.4688,365815,171494,0.3021,0.6979,0.6043
"Lux",0.5128,1379509,707412,0.5091,1182407,601963,1,0,0
"Malphite",0.5159,290360,149797,0.5137,298390,153283,0.9544,0.0456,0.0912
"Malzahar",0.5175,756159,391312,0.5179,749227,388025,0.3113,0.6887,0.6227
"Mordekaiser",0.5238,281051,147215,0.5248,252122,132314,0.2328,0.7672,0.4655
"Morgana",0.5276,237579,125347,0.5273,268509,141585,0.5846,0.4154,0.8307
"Neeko",0.5139,479848,246594,0.5118,483285,247345,0.9804,0.0196,0.0392
"Pantheon",0.49,641092,314135,0.4868,602501,293297,0.9998,2e-04,4e-04
"Pyke",0.5206,223865,116544,0.521,215927,112498,0.3952,0.6048,0.7903
"Qiyana",0.4633,423417,196169,0.4607,399879,184224,0.991,0.009,0.018
"Quinn",0.5094,33866,17251,0.5166,35456,18317,0.0286,0.9714,0.0572
"Renekton",0.516,185233,95580,0.5136,194464,99877,0.9302,0.0698,0.1396
"Rumble",0.5178,297909,154257,0.5176,266095,137731,0.5591,0.4409,0.8818
"Swain",0.531,146379,77727,0.5307,145620,77281,0.5635,0.4365,0.8731
"Sylas",0.4853,1584298,768860,0.4839,1430590,692263,0.9924,0.0076,0.0152
"Syndra",0.504,1218536,614142,0.5049,1329227,671127,0.0755,0.9245,0.1511
"Taliyah",0.4998,55256,27617,0.498,54052,26918,0.724,0.276,0.552
"Twisted Fate",0.4874,647532,315607,0.4871,598008,291290,0.6308,0.3692,0.7384
"Veigar",0.5095,1292359,658457,0.5115,1254040,641441,7e-04,0.9993,0.0014
"Vel'Koz",0.5281,523486,276453,0.5307,534708,283770,0.0037,0.9963,0.0074
"Viktor",0.5049,406818,205402,0.5049,399638,201777,0.4998,0.5002,0.9997
"Vladimir",0.5014,967846,485278,0.5018,1032865,518292,0.2857,0.7143,0.5714
"Xerath",0.5132,673819,345804,0.5138,658083,338123,0.2443,0.7557,0.4887
"Yasuo",0.502,2715251,1363056,0.5066,2685377,1360412,0,1,0
"Zed",0.499,2082412,1039124,0.4994,2034886,1016222,0.2086,0.7914,0.4173
"Ziggs",0.5061,413387,209215,0.5057,396027,200271,0.6403,0.3597,0.7195
"Zilean",0.5304,128287,68043,0.5293,133502,70663,0.7124,0.2876,0.5751
"Zoe",0.476,713929,339830,0.4762,719340,342550,0.405,0.595,0.8099
