"MiddleMerged9.champName","MiddleMerged9.winRate.x","MiddleMerged9.gamesPlayed.x","MiddleMerged9.gamesWon.x","MiddleMerged9.winRate.y","MiddleMerged9.gamesPlayed.y","MiddleMerged9.gamesWon.y","MiddleMerged9.HOlessequal","MiddleMerged9.HOgreaterequal","MiddleMerged9.HOequal"
"Aatrox",0.5037,95791,48250,0.4997,94000,46972,0.9592,0.0408,0.0815
"Ahri",0.5074,1352074,686042,0.5135,1259088,646542,0,1,0
"Akali",0.4427,972711,430619,0.4437,861182,382106,0.0869,0.9131,0.1738
"Anivia",0.5146,298855,153791,0.5154,267015,137620,0.2736,0.7264,0.5473
"Aurelion Sol",0.5097,142898,72835,0.511,122221,62455,0.252,0.748,0.504
"Azir",0.4528,399724,180995,0.4563,306567,139887,0.0017,0.9983,0.0034
"Brand",0.4949,195147,96578,0.4937,165281,81599,0.7636,0.2364,0.4727
"Camille",0.5139,46344,23816,0.5138,46668,23978,0.5117,0.4883,0.9765
"Cassiopeia",0.5122,749259,383770,0.5106,664298,339191,0.9711,0.0289,0.0577
"Cho'Gath",0.5105,158431,80879,0.5076,141368,71758,0.9437,0.0563,0.1125
"Corki",0.4815,499972,240737,0.4803,336307,161528,0.8596,0.1404,0.2808
"Ekko",0.5144,1227196,631270,0.5129,1132516,580867,0.9894,0.0106,0.0212
"Fizz",0.5184,1591409,824986,0.518,1408218,729457,0.7553,0.2447,0.4893
"Galio",0.5186,853301,442522,0.5195,733600,381105,0.1291,0.8709,0.2581
"Gangplank",0.4658,67888,31622,0.4658,52401,24408,0.5005,0.4995,0.9989
"Heimerdinger",0.5086,231100,117537,0.51,205144,104623,0.178,0.822,0.356
"Jayce",0.4927,147433,72640,0.492,133750,65805,0.6443,0.3557,0.7114
"Kassadin",0.4924,1286967,633703,0.4975,1029676,512264,0,1,0
"Kayle",0.5071,73881,37465,0.5027,69335,34855,0.9518,0.0482,0.0964
"Kennen",0.5098,59049,30103,0.5108,53569,27363,0.3684,0.6316,0.7369
"LeBlanc",0.4751,1292454,614045,0.4735,1139224,539423,0.9937,0.0063,0.0127
"Lucian",0.4679,341324,159705,0.4623,345604,159773,1,0,0
"Lux",0.5101,1112225,567346,0.5065,939320,475766,1,0,0
"Malphite",0.5139,280297,144045,0.5149,232189,119554,0.2383,0.7617,0.4766
"Malzahar",0.5197,730062,379413,0.5172,681291,352364,0.9985,0.0015,0.003
"Mordekaiser",0.5229,231848,121233,0.522,202882,105904,0.7234,0.2766,0.5531
"Morgana",0.5266,236896,124749,0.524,203296,106527,0.9574,0.0426,0.0852
"Neeko",0.5095,462025,235402,0.5088,396972,201979,0.7416,0.2584,0.5167
"Nocturne",0.5294,206328,109230,0.5321,195256,103896,0.0432,0.9568,0.0864
"Orianna",0.5069,814300,412769,0.5039,749635,377741,0.9999,1e-04,2e-04
"Pantheon",0.485,576732,279715,0.4833,536621,259349,0.9635,0.0365,0.0729
"Pyke",0.5227,204847,107074,0.5228,190691,99693,0.4758,0.5242,0.9517
"Qiyana",0.4633,391717,181482,0.4672,327264,152898,5e-04,0.9995,0.001
"Renekton",0.5111,180398,92201,0.5103,153942,78557,0.6767,0.3233,0.6467
"Riven",0.4921,54268,26705,0.4955,48218,23892,0.1383,0.8617,0.2765
"Rumble",0.5179,255133,132133,0.5181,233352,120900,0.4436,0.5564,0.8873
"Ryze",0.4636,611023,283270,0.4636,505348,234279,0.5001,0.4999,0.9998
"Swain",0.5288,139169,73593,0.5284,125417,66270,0.5827,0.4173,0.8346
"Sylas",0.484,1399323,677272,0.4834,1156537,559070,0.8302,0.1698,0.3396
"Syndra",0.5063,1440694,729423,0.5071,1406952,713465,0.0885,0.9115,0.177
"Taliyah",0.4959,51892,25733,0.5015,48103,24124,0.0381,0.9619,0.0762
"Talon",0.4959,981639,486795,0.4977,945996,470822,0.0062,0.9938,0.0125
"Veigar",0.5105,1182819,603829,0.5083,961648,488806,0.9993,7e-04,0.0014
"Vel'Koz",0.5312,523723,278202,0.5286,467251,246989,0.9952,0.0048,0.0096
"Viktor",0.5042,385176,194206,0.5004,327009,163635,0.9993,7e-04,0.0014
"Vladimir",0.5011,1012455,507341,0.5008,879795,440601,0.6598,0.3402,0.6804
"Xerath",0.5111,591839,302489,0.509,491566,250207,0.9853,0.0147,0.0295
"Yasuo",0.5069,2604040,1319988,0.5054,2252737,1138533,0.9995,5e-04,0.001
"Zed",0.4974,1945883,967882,0.4975,1657840,824775,0.4251,0.5749,0.8501
"Ziggs",0.5039,371537,187217,0.5008,313327,156914,0.9947,0.0053,0.0106
"Zilean",0.5289,113749,60162,0.5277,94518,49877,0.708,0.292,0.584
"Zoe",0.4798,712260,341742,0.4823,573629,276661,0.0024,0.9976,0.0048
