"MiddleMerged13.champName","MiddleMerged13.winRate.x","MiddleMerged13.gamesPlayed.x","MiddleMerged13.gamesWon.x","MiddleMerged13.winRate.y","MiddleMerged13.gamesPlayed.y","MiddleMerged13.gamesWon.y","MiddleMerged13.HOlessequal","MiddleMerged13.HOgreaterequal","MiddleMerged13.HOequal"
"Aatrox",0.497,74652,37102,0.5026,60507,30411,0.0202,0.9798,0.0405
"Ahri",0.5124,1018772,522019,0.5102,1021125,520978,0.9992,8e-04,0.0017
"Akali",0.4587,961120,440866,0.4555,959096,436868,1,0,0
"Anivia",0.5159,218236,112588,0.5121,211640,108381,0.9936,0.0064,0.0127
"Annie",0.5273,548181,289056,0.5264,527582,277719,0.8252,0.1748,0.3496
"Aurelion Sol",0.5128,126942,65096,0.516,117033,60389,0.0571,0.9429,0.1143
"Azir",0.4484,342375,153521,0.448,300073,134433,0.6259,0.3741,0.7482
"Brand",0.4999,145027,72499,0.5012,134200,67261,0.2463,0.7537,0.4925
"Camille",0.5175,54172,28034,0.5214,55929,29161,0.0981,0.9019,0.1961
"Cho'Gath",0.5056,96858,48971,0.5081,91018,46246,0.1392,0.8608,0.2784
"Corki",0.4813,273198,131490,0.479,270798,129712,0.9552,0.0448,0.0895
"Diana",0.5139,1061839,545679,0.5117,975814,499324,0.9992,8e-04,0.0017
"Ekko",0.5161,958377,494618,0.5102,944059,481659,1,0,0
"Fizz",0.5218,1169406,610196,0.5189,1180083,612345,1,0,0
"Galio",0.5227,762858,398746,0.522,764321,398976,0.8066,0.1934,0.3868
"Gangplank",0.4676,34898,16318,0.4699,32790,15408,0.2738,0.7262,0.5476
"Gragas",0.4884,31488,15379,0.4929,30241,14906,0.1319,0.8681,0.2637
"Heimerdinger",0.5102,186793,95302,0.5088,187061,95177,0.8039,0.1961,0.3922
"Irelia",0.4615,641808,296194,0.4587,591899,271504,0.9991,9e-04,0.0018
"Jayce",0.4929,116547,57446,0.4931,108117,53312,0.4631,0.5369,0.9262
"Karma",0.4938,138613,68447,0.4912,115248,56610,0.9038,0.0962,0.1924
"Kassadin",0.5024,912691,458536,0.5029,857530,431252,0.253,0.747,0.506
"Katarina",0.5056,1101363,556849,0.504,1057279,532869,0.9906,0.0094,0.0188
"Kayle",0.5066,50715,25692,0.5059,46706,23629,0.5848,0.4152,0.8305
"Kennen",0.5113,51579,26372,0.5106,49328,25187,0.5869,0.4131,0.8263
"Kled",0.5424,36403,19745,0.54,36700,19818,0.7425,0.2575,0.5149
"Kog'Maw",0.4875,123580,60245,0.4855,115202,55931,0.835,0.165,0.3299
"LeBlanc",0.4758,850791,404806,0.4742,934374,443080,0.9837,0.0163,0.0325
"Lissandra",0.496,291749,144708,0.4941,282038,139355,0.9251,0.0749,0.1498
"Lux",0.5255,907878,477090,0.5219,891445,465245,1,0,0
"Malphite",0.5165,197457,101987,0.5172,207649,107396,0.3285,0.6715,0.6571
"Malzahar",0.5174,515939,266947,0.5148,497833,256284,0.9956,0.0044,0.0088
"Mordekaiser",0.5181,163486,84702,0.5185,148522,77009,0.411,0.589,0.822
"Morgana",0.5243,179668,94200,0.5241,176589,92550,0.548,0.452,0.9039
"Neeko",0.5097,356750,181835,0.5067,373282,189142,0.9948,0.0052,0.0104
"Orianna",0.4994,864702,431832,0.4965,816574,405429,0.9999,1e-04,2e-04
"Pantheon",0.4871,438252,213473,0.4843,417099,202001,0.9952,0.0048,0.0096
"Qiyana",0.4681,293552,137412,0.4702,290378,136536,0.054,0.946,0.1079
"Quinn",0.528,38462,20308,0.5202,35883,18666,0.9835,0.0165,0.0331
"Renekton",0.5116,136430,69798,0.5122,126029,64552,0.38,0.62,0.76
"Rumble",0.518,189352,98084,0.5154,167487,86323,0.9393,0.0607,0.1213
"Swain",0.5277,99437,52473,0.5276,100160,52844,0.5188,0.4812,0.9625
"Sylas",0.4833,900407,435167,0.4815,904911,435715,0.9922,0.0078,0.0155
"Taliyah",0.4972,58975,29322,0.4937,55128,27217,0.8805,0.1195,0.2389
"Talon",0.4899,743676,364327,0.4891,701217,342965,0.832,0.168,0.336
"Tristana",0.492,83904,41281,0.4888,82151,40155,0.9044,0.0956,0.1911
"Twisted Fate",0.4907,927136,454946,0.4902,791120,387807,0.7435,0.2565,0.5131
"Veigar",0.509,760597,387144,0.5053,747530,377727,1,0,0
"Vel'Koz",0.5303,453573,240530,0.528,439894,232264,0.9853,0.0147,0.0294
"Viktor",0.5085,367370,186808,0.5071,314995,159734,0.8757,0.1243,0.2485
"Vladimir",0.5059,751121,379992,0.5033,682506,343505,0.9991,9e-04,0.0019
"Xerath",0.5097,411912,209952,0.5079,396200,201230,0.9473,0.0527,0.1054
"Yasuo",0.5021,2082633,1045690,0.4992,2109915,1053270,1,0,0
"Ziggs",0.5009,294869,147700,0.4975,270843,134744,0.9947,0.0053,0.0106
"Zilean",0.5328,69639,37104,0.5256,66002,34691,0.996,0.004,0.0079
"Zoe",0.4791,642588,307864,0.4775,721585,344557,0.9691,0.0309,0.0619
