"MiddleMerged11.champName","MiddleMerged11.winRate.x","MiddleMerged11.gamesPlayed.x","MiddleMerged11.gamesWon.x","MiddleMerged11.winRate.y","MiddleMerged11.gamesPlayed.y","MiddleMerged11.gamesWon.y","MiddleMerged11.HOlessequal","MiddleMerged11.HOgreaterequal","MiddleMerged11.HOequal"
"Aatrox",0.4972,76260,37916,0.4988,76062,37940,0.2649,0.7351,0.5298
"Ahri",0.5109,1042680,532705,0.5115,1009446,516332,0.1948,0.8052,0.3895
"Anivia",0.5129,219270,112464,0.5116,216717,110872,0.8054,0.1946,0.3892
"Annie",0.5238,588571,308293,0.5234,565504,295985,0.666,0.334,0.6681
"Aurelion Sol",0.5151,105962,54581,0.5139,122993,63206,0.7167,0.2833,0.5666
"Azir",0.4562,247196,112771,0.4532,286481,129833,0.9859,0.0141,0.0281
"Camille",0.5164,41265,21309,0.5154,49653,25591,0.6177,0.3823,0.7645
"Cho'Gath",0.509,108974,55468,0.5058,100497,50831,0.9287,0.0713,0.1426
"Corki",0.48,290090,139243,0.4803,279205,134102,0.4104,0.5896,0.8208
"Diana",0.5182,1190197,616760,0.5183,1143805,592834,0.4393,0.5607,0.8786
"Ekko",0.5113,942603,481953,0.512,925166,473685,0.1693,0.8307,0.3387
"Fizz",0.5171,1188722,614688,0.5181,1179696,611200,0.0618,0.9382,0.1237
"Galio",0.5199,615506,320002,0.5198,708009,368023,0.5461,0.4539,0.9078
"Gragas",0.4853,27206,13203,0.4852,31481,15275,0.5081,0.4919,0.9838
"Heimerdinger",0.5085,169936,86412,0.5069,181912,92211,0.8284,0.1716,0.3433
"Irelia",0.462,622013,287370,0.4645,646869,300471,0.0024,0.9976,0.0047
"Jayce",0.4887,105891,51749,0.4919,107496,52877,0.0698,0.9302,0.1397
"Karma",0.4893,66812,32691,0.4908,87847,43115,0.2797,0.7203,0.5593
"Karthus",0.4599,27822,12795,0.4632,29694,13754,0.2136,0.7864,0.4271
"Kassadin",0.498,824355,410529,0.4987,822591,410226,0.1846,0.8154,0.3693
"Katarina",0.5038,1057314,532675,0.5058,1090202,551424,0.0017,0.9983,0.0034
"Kayle",0.5056,53425,27012,0.5052,52422,26484,0.5515,0.4485,0.8969
"Kennen",0.5107,45896,23439,0.5072,44532,22587,0.853,0.147,0.294
"Kled",0.5471,34072,18641,0.541,35798,19367,0.9471,0.0529,0.1057
"LeBlanc",0.4727,897929,424451,0.4747,839128,398334,0.0042,0.9958,0.0083
"Lissandra",0.4944,304716,150652,0.4948,297868,147385,0.3786,0.6214,0.7571
"Malphite",0.5157,192710,99381,0.515,198010,101975,0.6699,0.3301,0.6602
"Malzahar",0.5141,546679,281048,0.5185,516373,267739,0,1,0
"Mordekaiser",0.5218,180556,94214,0.523,173222,90595,0.2375,0.7625,0.475
"Morgana",0.5214,164635,85841,0.525,165003,86627,0.0192,0.9808,0.0385
"Neeko",0.5086,334773,170266,0.5094,327310,166732,0.2576,0.7424,0.5153
"Nocturne",0.53,180149,95479,0.5326,194563,103624,0.0556,0.9444,0.1112
"Orianna",0.5013,643687,322680,0.5001,745782,372966,0.9207,0.0793,0.1587
"Pantheon",0.4876,396498,193332,0.4889,434486,212420,0.1181,0.8819,0.2361
"Pyke",0.5211,164242,85587,0.5263,194057,102132,0.001,0.999,0.0019
"Qiyana",0.4687,268526,125858,0.4684,274860,128744,0.588,0.412,0.8241
"Quinn",0.524,32328,16940,0.5241,34150,17898,0.4902,0.5098,0.9803
"Renekton",0.5072,133630,67777,0.5079,137841,70009,0.3581,0.6419,0.7162
"Riven",0.4899,42897,21015,0.4907,44356,21765,0.4072,0.5928,0.8144
"Rumble",0.5139,193203,99287,0.515,181139,93287,0.25,0.75,0.5
"Ryze",0.4626,410209,189763,0.4623,396983,183525,0.607,0.393,0.786
"Swain",0.5257,97888,51460,0.5252,94640,49705,0.5873,0.4127,0.8254
"Sylas",0.4843,922891,446956,0.486,911559,443018,0.0106,0.9894,0.0212
"Taliyah",0.4972,40345,20060,0.4994,45372,22659,0.2607,0.7393,0.5215
"Twisted Fate",0.4931,770318,379844,0.492,851226,418803,0.9192,0.0808,0.1616
"Veigar",0.5058,786757,397942,0.5065,759227,384548,0.1924,0.8076,0.3848
"Vel'Koz",0.5279,434462,229352,0.5278,432464,228254,0.5372,0.4628,0.9257
"Vladimir",0.4992,753429,376112,0.5016,763062,382752,0.0016,0.9984,0.0031
"Xerath",0.5072,398790,202266,0.5077,396452,201279,0.3273,0.6727,0.6547
"Zed",0.4957,1439459,713540,0.4941,1661973,821181,0.9975,0.0025,0.0049
"Ziggs",0.4999,254658,127304,0.498,280563,139720,0.9178,0.0822,0.1643
"Zilean",0.525,71463,37518,0.5295,67462,35721,0.0466,0.9534,0.0932
"Zoe",0.4798,501110,240433,0.4807,537399,258328,0.1796,0.8204,0.3591
