"MiddleMerged3.champName","MiddleMerged3.winRate.x","MiddleMerged3.gamesPlayed.x","MiddleMerged3.gamesWon.x","MiddleMerged3.winRate.y","MiddleMerged3.gamesPlayed.y","MiddleMerged3.gamesWon.y","MiddleMerged3.HOlessequal","MiddleMerged3.HOgreaterequal","MiddleMerged3.HOequal"
"Aatrox",0.4871,130211,63426,0.4892,122630,59991,0.1454,0.8546,0.2907
"Ahri",0.5163,1406992,726430,0.5121,1253351,641841,1,0,0
"Anivia",0.5183,291674,151175,0.518,271497,140635,0.5899,0.4101,0.8202
"Brand",0.4981,183121,91213,0.4986,172471,85994,0.3834,0.6166,0.7669
"Camille",0.5101,64660,32983,0.5031,58941,29653,0.993,0.007,0.0139
"Cassiopeia",0.5112,684853,350097,0.5141,630188,323980,4e-04,0.9996,9e-04
"Cho'Gath",0.511,168036,85866,0.5149,147202,75794,0.0144,0.9856,0.0288
"Fizz",0.5272,1498431,789973,0.5261,1379959,725996,0.9691,0.0309,0.0618
"Gangplank",0.4723,58901,27819,0.4727,54665,25840,0.4468,0.5532,0.8937
"Heimerdinger",0.5201,161360,83923,0.5156,147626,76116,0.9938,0.0062,0.0124
"Irelia",0.4548,664663,302289,0.448,625939,280421,1,0,0
"Karma",0.4945,60280,29808,0.498,56040,27908,0.1158,0.8842,0.2317
"Karthus",0.4783,48038,22977,0.478,45060,21539,0.5367,0.4633,0.9266
"Kassadin",0.5042,845606,426355,0.5067,766300,388284,8e-04,0.9992,0.0015
"Katarina",0.5078,1443286,732901,0.5051,1446172,730461,1,0,0
"Kayle",0.5149,66252,34113,0.5191,60949,31639,0.0667,0.9333,0.1335
"Kennen",0.5181,59154,30648,0.5128,50137,25710,0.96,0.04,0.08
"Kled",0.5472,53820,29450,0.5467,47618,26033,0.5621,0.4379,0.8758
"LeBlanc",0.4782,1230953,588642,0.4796,1142016,547711,0.0155,0.9845,0.031
"Lissandra",0.4873,259959,126678,0.4875,236326,115209,0.4439,0.5561,0.8878
"Lucian",0.4726,298471,141057,0.4675,351899,164513,1,0,0
"Malzahar",0.5198,683937,355510,0.5187,647593,335906,0.8979,0.1021,0.2041
"Mordekaiser",0.5261,260795,137204,0.5294,247436,130993,0.0092,0.9908,0.0184
"Morgana",0.5197,181324,94234,0.5194,177051,91960,0.5716,0.4284,0.8568
"Neeko",0.4982,300003,149461,0.4987,268909,134105,0.3527,0.6473,0.7054
"Nocturne",0.5301,197113,104490,0.5266,191030,100596,0.9856,0.0144,0.0288
"Orianna",0.4891,763594,373474,0.4894,644485,315411,0.3614,0.6386,0.7229
"Ornn",0.5036,138457,69727,0.516,209325,108012,0,1,0
"Pantheon",0.4963,324559,161079,0.4916,456876,224600,1,0,0
"Pyke",0.5213,204356,106531,0.5226,201170,105131,0.2042,0.7958,0.4085
"Qiyana",0.469,739611,346878,0.4697,613091,287969,0.2085,0.7915,0.417
"Quinn",0.5213,39319,20497,0.5207,36486,18998,0.5664,0.4336,0.8672
"Renekton",0.5139,149064,76604,0.5119,148849,76196,0.8624,0.1376,0.2751
"Riven",0.4923,71068,34987,0.4902,59333,29085,0.7754,0.2246,0.4492
"Ryze",0.4577,718847,329016,0.4592,594693,273083,0.0429,0.9571,0.0858
"Swain",0.5368,148542,79737,0.529,134522,71162,1,0,0
"Syndra",0.486,779182,378682,0.483,700013,338106,0.9999,1e-04,3e-04
"Taliyah",0.5033,64795,32611,0.5001,61842,30927,0.8724,0.1276,0.2552
"Talon",0.4932,1145924,565170,0.4914,1044550,513292,0.9961,0.0039,0.0078
"Taric",0.6338,67274,42638,0.6504,73376,47724,0,1,0
"Twisted Fate",0.4913,507966,249564,0.4884,478000,233455,0.998,0.002,0.004
"Veigar",0.5084,930830,473234,0.5066,871613,441559,0.9922,0.0078,0.0157
"Vel'Koz",0.5236,408739,214016,0.5229,372604,194835,0.7319,0.2681,0.5363
"Viktor",0.5118,386790,197959,0.5106,400450,204470,0.8563,0.1437,0.2873
"Vladimir",0.5034,951188,478828,0.5049,887529,448113,0.0211,0.9789,0.0421
"Wukong",0.544,124620,67793,0.5389,122090,65794,0.9945,0.0055,0.011
"Xerath",0.5024,457079,229636,0.5032,419048,210865,0.2269,0.7731,0.4537
"Yasuo",0.5041,2549903,1285406,0.5019,2459830,1234589,1,0,0
"Zed",0.4942,1846183,912384,0.493,1800350,887573,0.989,0.011,0.0219
"Ziggs",0.5103,352623,179944,0.507,363444,184266,0.9974,0.0026,0.0052
"Zilean",0.5336,85216,45471,0.5355,87042,46611,0.2143,0.7857,0.4285
"Zoe",0.4812,642591,309215,0.4766,684769,326361,1,0,0
