"BottomMerged3.champName","BottomMerged3.winRate.x","BottomMerged3.gamesPlayed.x","BottomMerged3.gamesWon.x","BottomMerged3.winRate.y","BottomMerged3.gamesPlayed.y","BottomMerged3.gamesWon.y","BottomMerged3.HOlessequal","BottomMerged3.HOgreaterequal","BottomMerged3.HOequal"
"Ashe",0.5158,2061208,1063171,0.5132,1992788,1022699,1,0,0
"Cassiopeia",0.533,104619,55762,0.5399,97096,52422,0.001,0.999,0.0019
"Draven",0.4907,741765,363984,0.4909,625497,307056,0.4082,0.5918,0.8163
"Heimerdinger",0.5203,124106,64572,0.5178,108082,55965,0.8851,0.1149,0.2299
"Jhin",0.5141,2504390,1287507,0.5147,2195746,1130150,0.0971,0.9029,0.1943
"Jinx",0.5152,2506533,1291366,0.514,2215308,1138668,0.9954,0.0046,0.0092
"Kai'Sa",0.4671,2105861,983648,0.467,1855260,866406,0.5792,0.4208,0.8416
"Kalista",0.4964,256069,127113,0.5021,328479,164929,0,1,0
"Kog'Maw",0.5176,184569,95533,0.5187,182576,94702,0.2527,0.7473,0.5053
"Lucian",0.491,2704584,1327951,0.4912,2302864,1131167,0.3277,0.6723,0.6555
"Quinn",0.4937,36186,17865,0.4964,35360,17553,0.2343,0.7657,0.4687
"Sivir",0.4965,476386,236526,0.4929,442338,218028,0.9997,3e-04,6e-04
"Syndra",0.4944,64487,31882,0.4956,57046,28272,0.3374,0.6626,0.6748
"Taliyah",0.51,59217,30201,0.5189,36329,18851,0.0038,0.9962,0.0076
"Tristana",0.4904,1192158,584634,0.4907,1122083,550606,0.324,0.676,0.6481
"Twitch",0.5099,395795,201816,0.5086,378769,192642,0.8737,0.1263,0.2526
"Varus",0.4929,885721,436572,0.4918,883822,434664,0.9283,0.0717,0.1434
"Vayne",0.5113,2246594,1148684,0.5131,2160173,1108385,1e-04,0.9999,2e-04
"Veigar",0.5235,93416,48903,0.5211,91401,47629,0.8489,0.1511,0.3022
"Xayah",0.4756,1011920,481269,0.4752,869690,413277,0.7078,0.2922,0.5843
"Yasuo",0.5259,374590,196997,0.528,403058,212815,0.0319,0.9681,0.0638
"Ziggs",0.529,59884,31679,0.5326,68524,36496,0.0989,0.9011,0.1977
