"BottomMerged12.champName","BottomMerged12.winRate.x","BottomMerged12.gamesPlayed.x","BottomMerged12.gamesWon.x","BottomMerged12.winRate.y","BottomMerged12.gamesPlayed.y","BottomMerged12.gamesWon.y","BottomMerged12.HOlessequal","BottomMerged12.HOgreaterequal","BottomMerged12.HOequal"
"Ashe",0.5107,2341433,1195770,0.5138,2638200,1355507,0,1,0
"Caitlyn",0.5052,2816421,1422856,0.5063,2854421,1445193,0.0044,0.9956,0.0088
"Corki",0.4676,23755,11108,0.4655,22487,10468,0.674,0.326,0.652
"Draven",0.5023,716400,359848,0.5036,706801,355945,0.0605,0.9395,0.121
"Ezreal",0.5,4692349,2346174,0.4971,4814903,2393488,1,0,0
"Heimerdinger",0.5125,58553,30008,0.5161,59735,30829,0.1075,0.8925,0.2151
"Jhin",0.5203,2242161,1166596,0.5222,2352272,1228356,0,1,0
"Jinx",0.5181,1763355,913594,0.5172,1806235,934185,0.9555,0.0445,0.089
"Kai'Sa",0.4804,2180927,1047717,0.4824,2436930,1175575,0,1,0
"Kog'Maw",0.5232,245436,128412,0.5214,336417,175408,0.9126,0.0874,0.1749
"Miss Fortune",0.5034,2050270,1032106,0.5042,1935976,976119,0.0552,0.9448,0.1104
"Sivir",0.5086,554122,281826,0.5099,561454,286285,0.0848,0.9152,0.1696
"Taliyah",0.5144,13659,7026,0.5151,16464,8481,0.4493,0.5507,0.8985
"Tristana",0.4915,1104587,542905,0.4905,1058335,519113,0.9294,0.0706,0.1411
"Twitch",0.5135,570559,292982,0.5145,652796,335864,0.1346,0.8654,0.2692
"Vayne",0.5094,2031079,1034632,0.5081,1964180,998000,0.9953,0.0047,0.0094
"Veigar",0.5199,75580,39294,0.5185,79834,41394,0.7094,0.2906,0.5813
"Ziggs",0.5118,67777,34688,0.5125,72014,36907,0.3966,0.6034,0.7931
