"BottomMerged13.champName","BottomMerged13.winRate.x","BottomMerged13.gamesPlayed.x","BottomMerged13.gamesWon.x","BottomMerged13.winRate.y","BottomMerged13.gamesPlayed.y","BottomMerged13.gamesWon.y","BottomMerged13.HOlessequal","BottomMerged13.HOgreaterequal","BottomMerged13.HOequal"
"Ashe",0.5138,2638200,1355507,0.5272,3574443,1884446,0,1,0
"Caitlyn",0.5063,2854421,1445193,0.505,2803428,1415731,0.999,0.001,0.002
"Corki",0.4655,22487,10468,0.4702,23039,10833,0.158,0.842,0.3161
"Draven",0.5036,706801,355945,0.5034,683466,344057,0.5931,0.4069,0.8139
"Heimerdinger",0.5161,59735,30829,0.5154,65341,33677,0.5967,0.4033,0.8067
"Jhin",0.5222,2352272,1228356,0.5195,2352152,1221943,1,0,0
"Jinx",0.5172,1806235,934185,0.5168,1765036,912171,0.7752,0.2248,0.4496
"Kai'Sa",0.4824,2436930,1175575,0.4834,2430480,1174894,0.0136,0.9864,0.0273
"Kog'Maw",0.5214,336417,175408,0.5163,410489,211935,1,0,0
"Miss Fortune",0.5042,1935976,976119,0.5015,1774195,889759,1,0,0
"Sivir",0.5099,561454,286285,0.5077,556119,282342,0.99,0.01,0.0201
"Taliyah",0.5151,16464,8481,0.5169,17383,8985,0.373,0.627,0.746
"Tristana",0.4905,1058335,519113,0.4884,1036554,506253,0.9988,0.0012,0.0024
"Twitch",0.5145,652796,335864,0.511,765816,391332,1,0,0
"Vayne",0.5081,1964180,998000,0.5074,1891022,959505,0.9153,0.0847,0.1694
"Veigar",0.5185,79834,41394,0.5209,83723,43611,0.1662,0.8338,0.3324
"Xayah",0.4914,736860,362093,0.4887,687334,335900,0.9994,6e-04,0.0013
"Yasuo",0.5155,413879,213355,0.5156,403599,208096,0.464,0.536,0.9279
"Ziggs",0.5125,72014,36907,0.5162,63611,32836,0.0867,0.9133,0.1734
