"BottomMerged8.champName","BottomMerged8.winRate.x","BottomMerged8.gamesPlayed.x","BottomMerged8.gamesWon.x","BottomMerged8.winRate.y","BottomMerged8.gamesPlayed.y","BottomMerged8.gamesWon.y","BottomMerged8.HOlessequal","BottomMerged8.HOgreaterequal","BottomMerged8.HOequal"
"Caitlyn",0.5022,3934300,1975805,0.5003,3728121,1865179,1,0,0
"Cassiopeia",0.5365,109729,58870,0.5319,133420,70966,0.9882,0.0118,0.0235
"Corki",0.4833,37698,18219,0.4821,41537,20025,0.6309,0.3691,0.7382
"Draven",0.497,963765,478991,0.5002,914204,457285,0,1,0
"Ezreal",0.4869,4506839,2194380,0.4868,4646728,2262027,0.619,0.381,0.762
"Heimerdinger",0.5144,104721,53868,0.5174,76890,39783,0.1027,0.8973,0.2053
"Jhin",0.516,3076039,1587236,0.5155,2874069,1481583,0.8886,0.1114,0.2228
"Jinx",0.5129,2572146,1319254,0.5126,2436612,1249007,0.7492,0.2508,0.5016
"Kai'Sa",0.4724,2632075,1243392,0.4733,2380280,1126587,0.0219,0.9781,0.0438
"Kog'Maw",0.5157,294394,151819,0.5163,286668,148007,0.3234,0.6766,0.6467
"Lucian",0.4838,2466944,1193508,0.4836,2330548,1127053,0.6695,0.3305,0.661
"Miss Fortune",0.5204,4431960,2306392,0.5197,4251910,2209718,0.9805,0.0195,0.039
"Sivir",0.503,598143,300866,0.5011,618972,310167,0.9819,0.0181,0.0361
"Taliyah",0.5114,16638,8509,0.5134,16041,8235,0.3621,0.6379,0.7241
"Twitch",0.5097,624504,318310,0.5103,682642,348352,0.2468,0.7532,0.4936
"Vayne",0.5098,2716910,1385081,0.5105,2798357,1428561,0.0501,0.9499,0.1003
"Veigar",0.5278,128752,67955,0.5247,119001,62440,0.9385,0.0615,0.1231
"Yasuo",0.5311,518722,275493,0.5322,531717,282980,0.1291,0.8709,0.2583
"Ziggs",0.5253,93674,49207,0.5256,155347,81650,0.4428,0.5572,0.8857
