"BottomMerged9.champName","BottomMerged9.winRate.x","BottomMerged9.gamesPlayed.x","BottomMerged9.gamesWon.x","BottomMerged9.winRate.y","BottomMerged9.gamesPlayed.y","BottomMerged9.gamesWon.y","BottomMerged9.HOlessequal","BottomMerged9.HOgreaterequal","BottomMerged9.HOequal"
"Aphelios",0.477,1191781,568480,0.4843,1168533,565921,0,1,0
"Ashe",0.5103,2864736,1461875,0.5113,2461075,1258348,0.0107,0.9893,0.0213
"Caitlyn",0.5003,3728121,1865179,0.502,3309749,1661494,0,1,0
"Cassiopeia",0.5319,133420,70966,0.531,123984,65836,0.6754,0.3246,0.6492
"Corki",0.4821,41537,20025,0.4779,30181,14423,0.8678,0.1322,0.2645
"Draven",0.5002,914204,457285,0.5021,784012,393652,0.0068,0.9932,0.0136
"Ezreal",0.4868,4646728,2262027,0.4914,4530378,2226228,0,1,0
"Heimerdinger",0.5174,76890,39783,0.5207,61799,32179,0.1106,0.8894,0.2211
"Jhin",0.5155,2874069,1481583,0.5157,2521036,1300098,0.3216,0.6784,0.6432
"Jinx",0.5126,2436612,1249007,0.5139,2084085,1071011,0.0029,0.9971,0.0058
"Kai'Sa",0.4733,2380280,1126587,0.4759,2205156,1049434,0,1,0
"Kalista",0.489,601027,293902,0.4905,532126,261008,0.0554,0.9446,0.1107
"Kog'Maw",0.5163,286668,148007,0.5167,247016,127633,0.3858,0.6142,0.7716
"Lucian",0.4836,2330548,1127053,0.4824,2425193,1169913,0.9956,0.0044,0.0088
"Syndra",0.5177,124279,64339,0.5186,136382,70728,0.3223,0.6777,0.6445
"Taliyah",0.5134,16041,8235,0.5315,15499,8238,6e-04,0.9994,0.0013
"Tristana",0.4909,1694893,832023,0.4924,1404372,691513,0.0043,0.9957,0.0085
"Twitch",0.5103,682642,348352,0.51,577528,294539,0.6315,0.3685,0.737
"Varus",0.505,2204016,1113028,0.5066,1828670,926404,7e-04,0.9993,0.0014
"Vayne",0.5105,2798357,1428561,0.5109,2480785,1267433,0.1794,0.8206,0.3587
"Veigar",0.5247,119001,62440,0.5264,100930,53130,0.2127,0.7873,0.4255
"Xayah",0.4826,976498,471258,0.4847,803708,389557,0.0026,0.9974,0.0053
"Yasuo",0.5322,531717,282980,0.5346,454784,243128,0.0086,0.9914,0.0172
"Ziggs",0.5256,155347,81650,0.528,115637,61056,0.108,0.892,0.2159
