"BottomMerged4.champName","BottomMerged4.winRate.x","BottomMerged4.gamesPlayed.x","BottomMerged4.gamesWon.x","BottomMerged4.winRate.y","BottomMerged4.gamesPlayed.y","BottomMerged4.gamesWon.y","BottomMerged4.HOlessequal","BottomMerged4.HOgreaterequal","BottomMerged4.HOequal"
"Ashe",0.5132,1992788,1022699,0.5127,2220015,1138202,0.8473,0.1527,0.3054
"Cassiopeia",0.5399,97096,52422,0.539,99238,53489,0.6557,0.3443,0.6887
"Corki",0.4696,21171,9942,0.4788,23654,11326,0.0256,0.9744,0.0511
"Draven",0.4909,625497,307056,0.4887,663052,324034,0.9937,0.0063,0.0126
"Ezreal",0.4802,3856442,1851863,0.4807,4432946,2130917,0.0753,0.9247,0.1506
"Heimerdinger",0.5178,108082,55965,0.5203,118247,61524,0.1173,0.8827,0.2345
"Jhin",0.5147,2195746,1130150,0.5223,2547389,1330501,0,1,0
"Jinx",0.514,2215308,1138668,0.5128,2348990,1204562,0.9948,0.0052,0.0104
"Kalista",0.5021,328479,164929,0.4983,554503,276309,0.9997,3e-04,6e-04
"Kog'Maw",0.5187,182576,94702,0.5209,199844,104099,0.0867,0.9133,0.1733
"Lucian",0.4912,2302864,1131167,0.4899,2370076,1161100,0.9975,0.0025,0.0049
"Miss Fortune",0.5213,4061806,2117419,0.5204,4168706,2169395,0.9951,0.0049,0.0098
"Quinn",0.4964,35360,17553,0.4938,39398,19455,0.7612,0.2388,0.4775
"Senna",0.5247,726928,381419,0.5237,559725,293128,0.8699,0.1301,0.2603
"Tahm Kench",0.5495,40866,22456,0.5559,112833,62724,0.0129,0.9871,0.0258
"Taliyah",0.5189,36329,18851,0.5216,31691,16530,0.2408,0.7592,0.4816
"Tristana",0.4907,1122083,550606,0.4908,1260339,618574,0.4389,0.5611,0.8777
"Twitch",0.5086,378769,192642,0.5076,448013,227411,0.8179,0.1821,0.3643
"Varus",0.4918,883822,434664,0.5002,1069402,534915,0,1,0
"Vayne",0.5131,2160173,1108385,0.5126,2366345,1212988,0.8563,0.1437,0.2875
"Veigar",0.5211,91401,47629,0.5252,106812,56098,0.0341,0.9659,0.0682
"Xayah",0.4752,869690,413277,0.4743,854278,405184,0.8817,0.1183,0.2365
"Yasuo",0.528,403058,212815,0.5287,457023,241628,0.2585,0.7415,0.517
"Ziggs",0.5326,68524,36496,0.5335,76004,40548,0.3665,0.6335,0.733
