"BottomMerged6.champName","BottomMerged6.winRate.x","BottomMerged6.gamesPlayed.x","BottomMerged6.gamesWon.x","BottomMerged6.winRate.y","BottomMerged6.gamesPlayed.y","BottomMerged6.gamesWon.y","BottomMerged6.HOlessequal","BottomMerged6.HOgreaterequal","BottomMerged6.HOequal"
"Ashe",0.5095,2327400,1185810,0.5081,2410230,1224638,0.9988,0.0012,0.0023
"Caitlyn",0.5037,4129390,2079974,0.5029,4048416,2035948,0.9889,0.0111,0.0221
"Cassiopeia",0.5389,101369,54628,0.5348,109644,58638,0.9704,0.0296,0.0592
"Ezreal",0.4842,4499405,2178612,0.4851,4487386,2176831,0.0035,0.9965,0.0069
"Heimerdinger",0.5213,113272,59049,0.5167,102995,53218,0.9837,0.0163,0.0326
"Jhin",0.5192,2952313,1532841,0.5183,3156246,1635882,0.987,0.013,0.0261
"Jinx",0.514,2608334,1340684,0.5133,2644325,1357332,0.9458,0.0542,0.1085
"Kai'Sa",0.4703,2777516,1306266,0.4723,2866493,1353845,0,1,0
"Kalista",0.4977,705957,351355,0.4974,872147,433806,0.6462,0.3538,0.7076
"Kog'Maw",0.5178,227362,117728,0.5164,234949,121328,0.8293,0.1707,0.3415
"Lucian",0.4883,2551813,1246050,0.4876,2592655,1264179,0.9438,0.0562,0.1124
"Miss Fortune",0.5201,4233330,2201755,0.5218,4417391,2304995,0,1,0
"Quinn",0.4942,44606,22044,0.4885,44206,21595,0.9549,0.0451,0.0902
"Sivir",0.5062,639108,323516,0.5044,591712,298460,0.9769,0.0231,0.0462
"Tahm Kench",0.5042,57947,29217,0.5108,54356,27765,0.0136,0.9864,0.0271
"Taliyah",0.5209,24968,13006,0.5251,19739,10365,0.1889,0.8111,0.3778
"Tristana",0.4886,1479471,722870,0.4852,1570698,762103,1,0,0
"Twitch",0.5064,536997,271935,0.5083,570495,289983,0.0227,0.9773,0.0455
"Varus",0.5037,1549382,780424,0.5054,1958261,989705,8e-04,0.9992,0.0016
"Vayne",0.5106,2609520,1332421,0.5102,2712878,1384110,0.8221,0.1779,0.3559
"Xayah",0.4743,879834,417305,0.4705,871104,409854,1,0,0
"Yasuo",0.53,489678,259529,0.5301,473322,250908,0.4606,0.5394,0.9211
"Ziggs",0.5324,75202,40038,0.5256,77040,40492,0.9961,0.0039,0.0078
