"BottomMerged5.champName","BottomMerged5.winRate.x","BottomMerged5.gamesPlayed.x","BottomMerged5.gamesWon.x","BottomMerged5.winRate.y","BottomMerged5.gamesPlayed.y","BottomMerged5.gamesWon.y","BottomMerged5.HOlessequal","BottomMerged5.HOgreaterequal","BottomMerged5.HOequal"
"Ashe",0.5127,2220015,1138202,0.5095,2327400,1185810,1,0,0
"Caitlyn",0.502,3869411,1942444,0.5037,4129390,2079974,0,1,0
"Cassiopeia",0.539,99238,53489,0.5389,101369,54628,0.517,0.483,0.9661
"Corki",0.4788,23654,11326,0.4781,25137,12018,0.5632,0.4368,0.8736
"Ezreal",0.4807,4432946,2130917,0.4842,4499405,2178612,0,1,0
"Heimerdinger",0.5203,118247,61524,0.5213,113272,59049,0.3148,0.6852,0.6295
"Jhin",0.5223,2547389,1330501,0.5192,2952313,1532841,1,0,0
"Jinx",0.5128,2348990,1204562,0.514,2608334,1340684,0.0038,0.9962,0.0076
"Kalista",0.4983,554503,276309,0.4977,705957,351355,0.7482,0.2518,0.5037
"Kog'Maw",0.5209,199844,104099,0.5178,227362,117728,0.9785,0.0215,0.0429
"Lucian",0.4899,2370076,1161100,0.4883,2551813,1246050,0.9998,2e-04,4e-04
"Miss Fortune",0.5204,4168706,2169395,0.5201,4233330,2201755,0.808,0.192,0.384
"Quinn",0.4938,39398,19455,0.4942,44606,22044,0.4554,0.5446,0.9109
"Tahm Kench",0.5559,112833,62724,0.5042,57947,29217,1,0,0
"Taliyah",0.5216,31691,16530,0.5209,24968,13006,0.5651,0.4349,0.8699
"Tristana",0.4908,1260339,618574,0.4886,1479471,722870,0.9999,1e-04,3e-04
"Twitch",0.5076,448013,227411,0.5064,536997,271935,0.8822,0.1178,0.2357
"Varus",0.5002,1069402,534915,0.5037,1549382,780424,0,1,0
"Vayne",0.5126,2366345,1212988,0.5106,2609520,1332421,1,0,0
"Xayah",0.4743,854278,405184,0.4743,879834,417305,0.5001,0.4999,0.9997
"Yasuo",0.5287,457023,241628,0.53,489678,259529,0.1028,0.8972,0.2056
"Ziggs",0.5335,76004,40548,0.5324,75202,40038,0.6648,0.3352,0.6704
