"BottomMerged1.champName","BottomMerged1.winRate.x","BottomMerged1.gamesPlayed.x","BottomMerged1.gamesWon.x","BottomMerged1.winRate.y","BottomMerged1.gamesPlayed.y","BottomMerged1.gamesWon.y","BottomMerged1.HOlessequal","BottomMerged1.HOgreaterequal","BottomMerged1.HOequal"
"Ashe",0.5068,2169141,1099321,0.513,1671027,857237,0,1,0
"Caitlyn",0.501,4902006,2455905,0.486,3295977,1601845,1,0,0
"Cassiopeia",0.5288,104686,55358,0.539,88945,47941,0,1,0
"Ezreal",0.4674,2168416,1013518,0.4743,1991035,944348,0,1,0
"Heimerdinger",0.5134,170090,87324,0.5201,120126,62478,2e-04,0.9998,4e-04
"Jhin",0.5178,2950030,1527526,0.5124,2291939,1174390,1,0,0
"Kai'Sa",0.476,3359368,1599059,0.4662,2213024,1031712,1,0,0
"Lucian",0.493,2898031,1428729,0.4942,2504062,1237507,0.0027,0.9973,0.0054
"Miss Fortune",0.5265,3787254,1993989,0.529,3776223,1997622,0,1,0
"Quinn",0.4967,43280,21497,0.4942,31646,15639,0.7514,0.2486,0.4973
"Senna",0.5265,692591,364649,0.5332,1512542,806487,0,1,0
"Sivir",0.493,585887,288842,0.4954,450166,223012,0.0077,0.9923,0.0154
"Syndra",0.4906,72152,35398,0.4892,53648,26245,0.6878,0.3122,0.6243
"Taliyah",0.513,19247,9874,0.5087,74771,38036,0.8572,0.1428,0.2855
"Tristana",0.4927,1405680,692579,0.4892,1098318,537297,1,0,0
"Twitch",0.5066,425927,215775,0.5119,342517,175334,0,1,0
"Vayne",0.5054,2216325,1120131,0.5084,1932365,982414,0,1,0
"Xayah",0.4789,1220066,584290,0.4762,942139,448647,1,0,1e-04
"Yasuo",0.5187,442299,229420,0.521,335902,175005,0.0221,0.9779,0.0442
