"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"Master Yi",4.01,48.13,0.58,36.1,106643
"Azir",2.63,46.74,0.04,0.23,7906
"Pantheon",27,46.18,1.79,3.21,331186
"Nidalee",2.93,43.58,0.09,0.62,16247
"Shyvana",3.85,49.23,0.18,1.49,33440
"Kennen",77.45,47.96,1.38,0.45,254771
"Twisted Fate",2.12,45.84,0.07,0.26,12079
"Aatrox",86.1,46.42,5.86,4.28,1084698
"Lissandra",8.14,48.23,0.17,0.39,31835
"Sylas",18.49,47.4,2.34,10.27,433298
"Veigar",2.99,48.57,0.22,2.85,40941
"Corki",4.48,48.4,0.03,0.22,6066
"Sona",2.11,46.64,0.09,0.33,15856
"Sejuani",2.05,48.02,0.08,0.66,14755
"Annie",3.11,48.43,0.08,0.66,15115
"Soraka",3.31,46.72,0.18,2.08,33667
"Galio",5.95,45.84,0.18,0.5,33759
"Akali",30.4,44.32,1.54,5.52,284485
"Ryze",31.92,44.96,1.58,1.01,292137
"Tristana",2.55,45.89,0.19,1.33,35717
"Kalista",23.95,44.18,0.98,0.9,180993
"Xin Zhao",3.98,44.43,0.14,0.49,26338
"Udyr",7.05,44.07,0.14,0.53,26407
