"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"LeBlanc",0.88,46.24,0.06,10.97,11439
"Alistar",0.6,41.79,0.02,0.6,5008
"Sivir",0.3,37.42,0.01,0.37,1780
"Soraka",1.1,44.55,0.05,1.1,10917
"Tristana",1.91,45.35,0.16,1.54,32746
"Nunu",1.01,29.21,0.03,0.42,6073
"Miss Fortune",0.16,40.04,0.04,10.25,7182
"Ashe",0.62,42.32,0.08,1.82,15587
"Morgana",0.63,50.14,0.09,34.83,18134
"Evelynn",0.09,33.76,0,2.79,545
"Twitch",1.33,49.46,0.05,0.57,10314
"Amumu",1.06,49.74,0.07,1.43,13891
"Sona",0.46,44.07,0.02,0.26,3576
"Janna",0.65,47.19,0.03,0.26,5692
"Taric",1.38,46.65,0.05,0.7,9338
"Caitlyn",0.49,42.34,0.1,17.45,20054
"Blitzcrank",0.17,33.96,0.02,31.36,3793
"Katarina",1.16,48.23,0.1,9.74,19889
"Jarvan IV",1.49,46.11,0.12,1.43,24355
"Elise",0.22,43.66,0.01,9.25,2554
"Orianna",0.85,48.34,0.03,0.45,6309
"Brand",0.84,47.37,0.06,8.56,12279
"Lee Sin",0.47,42.41,0.08,19.39,16229
"Ezreal",0.66,42.44,0.15,5.02,31084
"Leona",0.28,40.45,0.04,26.64,7394
"Kog'Maw",1.74,47.41,0.02,0.12,4389
"Lux",0.37,46.02,0.07,5.63,14222
"Xerath",0.5,48.57,0.03,1.97,6551
"Ahri",0.9,50.32,0.07,3.12,13865
"Fizz",1.62,47.73,0.14,20.65,29302
"Varus",0.33,42.53,0.03,3.23,6793
"Nautilus",1.41,48.32,0.18,27.63,36495
"Sejuani",1.48,47.99,0.05,0.5,9984
"Ziggs",1.65,47.88,0.04,0.23,9074
"Lulu",1.46,49.56,0.1,1.73,20170
"Draven",1.53,46.41,0.08,7.88,15603
"Syndra",0.86,50.58,0.06,2.69,11643
"Kayn",1.06,45.34,0.07,2.73,14514
"Zoe",0.76,46.52,0.03,2.54,5798
"Zyra",0.52,46.23,0.02,2.1,4696
"Kai'Sa",0.31,39.94,0.04,2.12,9053
"Vel'Koz",1.31,52.41,0.07,1.17,14294
"Taliyah",0.75,43.4,0.01,0.07,1364
"Braum",0.29,33.37,0.01,0.98,2505
"Jhin",0.57,47.06,0.09,4.6,18352
"Kindred",0.83,43.09,0.02,0.3,3467
"Jinx",0.16,40.66,0.02,1.95,4390
"Senna",0.63,45.59,0.07,13.65,13664
"Ekko",1.72,47.51,0.27,18.53,54663
"Vi",1.27,43.71,0.06,0.71,12314
"Nami",0.06,37.98,0.01,0.67,1019
"Yuumi",0.26,24.77,0.02,11.61,4619
"Thresh",0.15,32.99,0.03,6.54,5119
"Rek'Sai",0.65,46.28,0.02,1.41,3321
"Ivern",1.22,39.9,0.01,0.18,2020
"Bard",0.59,40.91,0.02,0.74,4182
"Rakan",0.16,38.53,0.01,0.34,1225
"Xayah",0.15,36.7,0.01,0.6,1289
"Aphelios",0.43,40.49,0.03,16.56,5396
"Pyke",0.87,46.36,0.1,18.33,19469
"Sett",66.08,50.7,10.09,28.65,2044193
"Kled",88.4,52.26,2.51,1.79,507811
"Rengar",26.63,51.21,1.09,1.97,220722
"Fiora",96.95,50.61,6.99,7.36,1416049
"Cassiopeia",7.8,51.56,0.35,3.43,71050
"Wukong",38.79,52.46,4.52,28.48,915536
"Shen",78.35,51.56,5.07,0.78,1027313
"Maokai",69.14,52.71,4.95,1.66,1002335
"Singed",91.95,52.73,1.91,0.35,387853
"Zac",6.46,51.26,0.58,11.86,117977
"Graves",4.21,50.24,0.29,1.57,57747
"Garen",90.45,51.59,13.92,20.3,2821079
"Volibear",37.65,52.52,2.02,1.21,408241
"Zilean",2.46,52.06,0.09,0.91,18394
"Diana",2.44,50.13,0.26,19.72,52011
"Mordekaiser",84.97,50.01,10.65,21.07,2157817
"Shyvana",10.83,51.96,0.56,2.1,112718
"Karthus",2.38,46.81,0.06,0.98,11832
"Jax",50.31,49.51,6.21,10.12,1258908
"Hecarim",5.08,49.96,0.18,0.9,35797
"Nasus",91.53,52.73,9.91,10.77,2007566
"Nocturne",5.99,52.45,0.37,4.43,74099
"Talon",2.57,48.3,0.13,4.28,25851
"Illaoi",96.48,51.28,4.24,9.82,859897
